종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
000150,두산,KOSPI,56511.5157,20240324,144300,163400,137500,147000,2274554
000150,두산,KOSPI,56511.5157,20240331,146600,178200,141000,155500,1729437
000150,두산,KOSPI,56511.5157,20240407,153700,154300,135100,141800,1174951
000150,두산,KOSPI,56511.5157,20240414,143100,165900,138800,164000,1037824
000150,두산,KOSPI,56511.5157,20240421,161900,162000,125000,131700,1075708
000150,두산,KOSPI,56511.5157,20240428,133000,143000,128300,137600,684843
000150,두산,KOSPI,56511.5157,20240505,139000,160000,139000,154200,763028
000150,두산,KOSPI,56511.5157,20240512,158800,169200,155300,161300,544627
000150,두산,KOSPI,56511.5157,20240519,162900,174900,162000,165000,571097
000150,두산,KOSPI,56511.5157,20240526,166900,199500,161900,189700,1095862
000150,두산,KOSPI,56511.5157,20240602,208500,225500,196500,206000,1060783
000150,두산,KOSPI,56511.5157,20240609,208000,212000,193200,206000,514326
000150,두산,KOSPI,56511.5157,20240616,204000,244000,199500,216500,790571
000150,두산,KOSPI,56511.5157,20240623,216500,232500,208000,212500,353403
000150,두산,KOSPI,56511.5157,20240630,212500,217000,199800,217000,421632
000150,두산,KOSPI,56511.5157,20240707,216500,240000,203000,223000,559652
000150,두산,KOSPI,56511.5157,20240714,224000,263500,215500,237000,1171601
000150,두산,KOSPI,56511.5157,20240721,238500,250000,202000,206000,1085799
000150,두산,KOSPI,56511.5157,20240728,206000,213000,159700,163400,1150989
000150,두산,KOSPI,56511.5157,20240804,164800,179000,148500,149100,1481672
000150,두산,KOSPI,56511.5157,20240811,142200,143000,122000,136500,1217956
000150,두산,KOSPI,56511.5157,20240818,138100,157900,138100,152500,648076
000150,두산,KOSPI,56511.5157,20240825,152200,154000,144000,146200,453321
000150,두산,KOSPI,56511.5157,20240901,146400,152100,138000,149500,652402
000150,두산,KOSPI,56511.5157,20240908,149000,152800,138700,138900,625262
000150,두산,KOSPI,56511.5157,20240915,134000,164000,131400,159100,660438
000150,두산,KOSPI,56511.5157,20240922,163700,171300,159100,164900,212635
000150,두산,KOSPI,56511.5157,20240929,165700,177500,162800,169000,997299
000150,두산,KOSPI,56511.5157,20241006,171200,175900,163000,169200,222459
000150,두산,KOSPI,56511.5157,20241013,168600,184100,166200,182900,350445
000150,두산,KOSPI,56511.5157,20241020,182900,215500,182800,206000,1091845
000150,두산,KOSPI,56511.5157,20241027,210000,216500,196500,206000,597462
000150,두산,KOSPI,56511.5157,20241103,206000,218500,185300,191300,626421
000150,두산,KOSPI,56511.5157,20241110,191300,238000,185600,234500,803639
000150,두산,KOSPI,56511.5157,20241117,233000,245000,213000,237500,700510
000150,두산,KOSPI,56511.5157,20241124,233000,235000,202500,224000,831781
000150,두산,KOSPI,56511.5157,20241201,224000,227500,187900,193000,650111
000150,두산,KOSPI,56511.5157,20241208,196000,223500,190200,219500,780950
000150,두산,KOSPI,56511.5157,20241215,219000,253500,202500,244500,1093162
000150,두산,KOSPI,56511.5157,20241222,252000,273500,243500,251000,869260
000150,두산,KOSPI,56511.5157,20241229,257000,272000,245500,255000,655035
000150,두산,KOSPI,56511.5157,20250105,254000,293500,246500,289500,728728
000150,두산,KOSPI,56511.5157,20250112,289000,304500,279500,289500,571661
000150,두산,KOSPI,56511.5157,20250119,286000,293000,268000,285500,585512
000150,두산,KOSPI,56511.5157,20250126,290500,335500,279000,332500,682310
000150,두산,KOSPI,56511.5157,20250202,288500,291000,268500,284000,308436
000150,두산,KOSPI,56511.5157,20250209,273000,294000,254000,283500,596890
000150,두산,KOSPI,56511.5157,20250216,282500,346500,276500,334500,503751
000150,두산,KOSPI,56511.5157,20250223,330500,380000,313000,376000,874184
000150,두산,KOSPI,56511.5157,20250302,363000,386000,319500,322500,879514
000150,두산,KOSPI,56511.5157,20250309,308500,331500,301000,313500,602072
000150,두산,KOSPI,56511.5157,20250316,310500,351500,282000,342000,972416
