종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
323280,태성,KOSDAQ,9421.405935,20240324,3994,4306,3923,4206,3083825
323280,태성,KOSDAQ,9421.405935,20240331,4195,4569,3980,4100,7233875
323280,태성,KOSDAQ,9421.405935,20240407,4128,4243,3716,3870,3123691
323280,태성,KOSDAQ,9421.405935,20240414,3875,4014,3453,3544,3218424
323280,태성,KOSDAQ,9421.405935,20240421,3525,3573,3247,3372,1932212
323280,태성,KOSDAQ,9421.405935,20240428,3410,3702,3123,3525,3661437
323280,태성,KOSDAQ,9421.405935,20240505,3530,4282,3496,3880,12851858
323280,태성,KOSDAQ,9421.405935,20240512,4014,5115,3927,4622,40470512
323280,태성,KOSDAQ,9421.405935,20240519,4564,5844,4215,5183,38040208
323280,태성,KOSDAQ,9421.405935,20240526,5211,5690,5019,5317,17637034
323280,태성,KOSDAQ,9421.405935,20240602,5355,7127,5211,6658,56207308
323280,태성,KOSDAQ,9421.405935,20240609,6811,9073,6716,9073,37673432
323280,태성,KOSDAQ,9421.405935,20240616,9935,12857,9580,11765,42781458
323280,태성,KOSDAQ,9421.405935,20240623,12128,13249,10749,12100,9059774
323280,태성,KOSDAQ,9421.405935,20240630,11687,13613,10806,10931,7280961
323280,태성,KOSDAQ,9421.405935,20240707,10701,10816,9101,9657,8047766
323280,태성,KOSDAQ,9421.405935,20240714,9685,9963,8353,8507,6869509
323280,태성,KOSDAQ,9421.405935,20240721,8612,9656,7300,9513,15164291
323280,태성,KOSDAQ,9421.405935,20240728,9551,11113,9149,10222,13575735
323280,태성,KOSDAQ,9421.405935,20240804,10528,11017,9618,9801,4868706
323280,태성,KOSDAQ,9421.405935,20240811,9196,11698,7788,11018,8030227
323280,태성,KOSDAQ,9421.405935,20240818,11333,17944,11228,17542,23289876
323280,태성,KOSDAQ,9421.405935,20240825,17388,17809,15434,16795,7499679
323280,태성,KOSDAQ,9421.405935,20240901,17245,22035,16344,18012,8733119
323280,태성,KOSDAQ,9421.405935,20240908,17723,19093,14428,16718,7324095
323280,태성,KOSDAQ,9421.405935,20240915,16717,19400,16373,18088,5009271
323280,태성,KOSDAQ,9421.405935,20240922,18107,18145,16402,16575,1427193
323280,태성,KOSDAQ,9421.405935,20240929,16143,23520,15722,23233,10144890
323280,태성,KOSDAQ,9421.405935,20241006,23233,32957,22227,32287,6863490
323280,태성,KOSDAQ,9421.405935,20241013,31616,40143,29221,37078,9523250
323280,태성,KOSDAQ,9421.405935,20241020,37078,42826,33724,40862,3555733
323280,태성,KOSDAQ,9421.405935,20241027,41197,43832,24287,27641,13542078
323280,태성,KOSDAQ,9421.405935,20241103,28885,29891,25101,28215,6203568
323280,태성,KOSDAQ,9421.405935,20241110,28742,34251,27975,30371,6088891
323280,태성,KOSDAQ,9421.405935,20241117,30370,31233,23904,25533,3379894
323280,태성,KOSDAQ,9421.405935,20241124,24910,26155,20119,23617,4678074
323280,태성,KOSDAQ,9421.405935,20241201,23904,29413,23856,24718,3758733
323280,태성,KOSDAQ,9421.405935,20241208,22035,26826,21748,23521,3835516
323280,태성,KOSDAQ,9421.405935,20241215,22515,24622,20982,24431,2077194
323280,태성,KOSDAQ,9421.405935,20241222,25771,27880,24143,25389,2069723
323280,태성,KOSDAQ,9421.405935,20241229,25820,26394,21843,22323,1437769
323280,태성,KOSDAQ,9421.405935,20250105,22179,25724,21892,24500,1019267
323280,태성,KOSDAQ,9421.405935,20250112,24750,30350,24400,28100,2900818
323280,태성,KOSDAQ,9421.405935,20250119,28200,29200,25250,26100,1278205
323280,태성,KOSDAQ,9421.405935,20250126,26550,35750,26000,32450,7517252
323280,태성,KOSDAQ,9421.405935,20250202,31550,33850,30050,30300,692824
323280,태성,KOSDAQ,9421.405935,20250209,30400,35400,28250,31650,3338585
323280,태성,KOSDAQ,9421.405935,20250216,33800,34700,28550,29000,3774494
323280,태성,KOSDAQ,9421.405935,20250223,29950,35000,29600,34100,5285688
323280,태성,KOSDAQ,9421.405935,20250302,33600,41300,31200,37000,10795832
323280,태성,KOSDAQ,9421.405935,20250309,35950,36450,27500,29400,3567466
323280,태성,KOSDAQ,9421.405935,20250316,28850,32000,27000,30150,3446016
