종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
226950,올릭스,KOSDAQ,8556.0120855,20240324,16430,17230,15090,16860,602278
226950,올릭스,KOSDAQ,8556.0120855,20240331,16860,17820,16140,16650,517474
226950,올릭스,KOSDAQ,8556.0120855,20240407,16800,16840,14600,14700,381945
226950,올릭스,KOSDAQ,8556.0120855,20240414,14700,15880,14120,15130,225224
226950,올릭스,KOSDAQ,8556.0120855,20240421,14900,14970,13870,14970,182432
226950,올릭스,KOSDAQ,8556.0120855,20240428,14700,16460,14700,15220,411477
226950,올릭스,KOSDAQ,8556.0120855,20240505,15070,15870,15050,15400,130047
226950,올릭스,KOSDAQ,8556.0120855,20240512,15420,15600,14600,14750,103385
226950,올릭스,KOSDAQ,8556.0120855,20240519,14710,15430,14230,14820,139717
226950,올릭스,KOSDAQ,8556.0120855,20240526,14900,15090,13890,14430,211004
226950,올릭스,KOSDAQ,8556.0120855,20240602,14200,15000,13980,14200,222747
226950,올릭스,KOSDAQ,8556.0120855,20240609,14150,15060,14140,14740,183641
226950,올릭스,KOSDAQ,8556.0120855,20240616,14460,14560,13430,13430,225125
226950,올릭스,KOSDAQ,8556.0120855,20240623,13410,13690,11400,11560,452044
226950,올릭스,KOSDAQ,8556.0120855,20240630,8600,9800,8280,8750,1169182
226950,올릭스,KOSDAQ,8556.0120855,20240707,8760,9500,8690,9120,218500
226950,올릭스,KOSDAQ,8556.0120855,20240714,9170,11340,9150,10810,664329
226950,올릭스,KOSDAQ,8556.0120855,20240721,10810,13950,10290,13320,2380957
226950,올릭스,KOSDAQ,8556.0120855,20240728,13860,17300,13700,15900,5998611
226950,올릭스,KOSDAQ,8556.0120855,20240804,15580,16120,14410,14920,798999
226950,올릭스,KOSDAQ,8556.0120855,20240811,14510,15460,12910,13640,1485065
226950,올릭스,KOSDAQ,8556.0120855,20240818,13870,13990,12400,12500,399196
226950,올릭스,KOSDAQ,8556.0120855,20240825,12400,13260,11200,11300,518874
226950,올릭스,KOSDAQ,8556.0120855,20240901,11580,16700,11400,15790,2234012
226950,올릭스,KOSDAQ,8556.0120855,20240908,15600,17290,14770,17060,2458454
226950,올릭스,KOSDAQ,8556.0120855,20240915,16900,19130,15450,18890,2164436
226950,올릭스,KOSDAQ,8556.0120855,20240922,18890,19800,18260,19000,926103
226950,올릭스,KOSDAQ,8556.0120855,20240929,19030,21150,16660,17280,1923580
226950,올릭스,KOSDAQ,8556.0120855,20241006,17280,17780,15950,17330,718170
226950,올릭스,KOSDAQ,8556.0120855,20241013,17330,27400,16680,26900,4846206
226950,올릭스,KOSDAQ,8556.0120855,20241020,26200,31800,24800,29200,4526294
226950,올릭스,KOSDAQ,8556.0120855,20241027,29200,32750,26000,27100,3745001
226950,올릭스,KOSDAQ,8556.0120855,20241103,26850,27600,21900,22150,3072508
226950,올릭스,KOSDAQ,8556.0120855,20241110,21900,24100,18370,20750,3915142
226950,올릭스,KOSDAQ,8556.0120855,20241117,22350,23000,19510,21150,2673156
226950,올릭스,KOSDAQ,8556.0120855,20241124,20150,21850,15130,18510,4984863
226950,올릭스,KOSDAQ,8556.0120855,20241201,18700,22600,18700,21000,1617294
226950,올릭스,KOSDAQ,8556.0120855,20241208,21300,25950,20700,24700,2888331
226950,올릭스,KOSDAQ,8556.0120855,20241215,23700,26600,22900,24450,1912932
226950,올릭스,KOSDAQ,8556.0120855,20241222,24500,24500,16320,16490,3270840
226950,올릭스,KOSDAQ,8556.0120855,20241229,17300,19020,16510,17020,1391504
226950,올릭스,KOSDAQ,8556.0120855,20250105,16980,19940,16950,19290,1048968
226950,올릭스,KOSDAQ,8556.0120855,20250112,19300,19460,14800,15700,2292485
226950,올릭스,KOSDAQ,8556.0120855,20250119,16030,16310,13380,14200,1343080
226950,올릭스,KOSDAQ,8556.0120855,20250126,14500,14500,13650,14120,857071
226950,올릭스,KOSDAQ,8556.0120855,20250202,14250,16410,14250,16300,1251624
226950,올릭스,KOSDAQ,8556.0120855,20250209,16280,21150,15170,20550,3175458
226950,올릭스,KOSDAQ,8556.0120855,20250216,26700,46950,26700,42100,11308239
226950,올릭스,KOSDAQ,8556.0120855,20250223,43500,52400,41000,43150,8509369
226950,올릭스,KOSDAQ,8556.0120855,20250302,42150,59700,41050,58800,9989832
226950,올릭스,KOSDAQ,8556.0120855,20250309,57200,64000,46600,48250,9972723
226950,올릭스,KOSDAQ,8556.0120855,20250316,45800,49750,41750,49700,7189364
