종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
KOSPI,KOSPI 지수,KOSPI,0,20240331,2756.59,2779.4,2731.7,2746.63,2363339
KOSPI,KOSPI 지수,KOSPI,0,20240407,2766.24,2769.87,2705.31,2714.21,2767784
KOSPI,KOSPI 지수,KOSPI,0,20240414,2718.76,2741.23,2661.92,2681.82,2166745
KOSPI,KOSPI 지수,KOSPI,0,20240421,2661.36,2673.26,2553.55,2591.86,2834769
KOSPI,KOSPI 지수,KOSPI,0,20240428,2615.72,2677.85,2604.37,2656.33,1942491
KOSPI,KOSPI 지수,KOSPI,0,20240505,2675.46,2710.23,2665.21,2676.63,1620329
KOSPI,KOSPI 지수,KOSPI,0,20240512,2718.17,2749.14,2710.25,2727.63,1978462
KOSPI,KOSPI 지수,KOSPI,0,20240519,2735.2,2773.46,2713.92,2724.62,2166351
KOSPI,KOSPI 지수,KOSPI,0,20240526,2741.24,2756.41,2681.17,2687.6,2557332
KOSPI,KOSPI 지수,KOSPI,0,20240602,2697.16,2730.12,2635.44,2636.52,2423108
KOSPI,KOSPI 지수,KOSPI,0,20240609,2657.81,2729.63,2657.81,2722.67,3221141
KOSPI,KOSPI 지수,KOSPI,0,20240616,2698.71,2776.72,2689.19,2758.42,2921800
KOSPI,KOSPI 지수,KOSPI,0,20240623,2754.83,2812.62,2741.03,2784.26,3191975
KOSPI,KOSPI 지수,KOSPI,0,20240630,2772.85,2797.82,2758.09,2797.82,2851161
KOSPI,KOSPI 지수,KOSPI,0,20240707,2792.96,2871.96,2774.71,2862.23,2110296
KOSPI,KOSPI 지수,KOSPI,0,20240714,2862.58,2896.43,2844.88,2857.0,2224353
KOSPI,KOSPI 지수,KOSPI,0,20240721,2869.15,2872.9,2776.99,2795.46,2736040
KOSPI,KOSPI 지수,KOSPI,0,20240728,2790.99,2796.92,2703.86,2731.9,2313288
KOSPI,KOSPI 지수,KOSPI,0,20240804,2748.32,2794.11,2666.4,2676.19,2419093
KOSPI,KOSPI 지수,KOSPI,0,20240811,2611.3,2611.3,2386.96,2588.43,2778346
KOSPI,KOSPI 지수,KOSPI,0,20240818,2602.16,2699.61,2602.01,2697.23,1386216
KOSPI,KOSPI 지수,KOSPI,0,20240825,2697.97,2712.84,2664.28,2701.69,2069503
KOSPI,KOSPI 지수,KOSPI,0,20240901,2716.88,2718.47,2649.56,2674.31,1446200
KOSPI,KOSPI 지수,KOSPI,0,20240908,2683.8,2695.59,2529.31,2544.28,1779707
KOSPI,KOSPI 지수,KOSPI,0,20240915,2498.67,2584.11,2491.3,2575.41,1619184
KOSPI,KOSPI 지수,KOSPI,0,20240922,2594.67,2619.55,2550.09,2593.37,881045
KOSPI,KOSPI 지수,KOSPI,0,20240929,2596.47,2681.45,2588.49,2649.78,1886602
KOSPI,KOSPI 지수,KOSPI,0,20241006,2665.24,2668.66,2555.46,2569.71,1124249
KOSPI,KOSPI 지수,KOSPI,0,20241013,2579.2,2621.93,2561.46,2596.91,1771747
KOSPI,KOSPI 지수,KOSPI,0,20241020,2602.63,2635.32,2587.96,2593.82,1874018
KOSPI,KOSPI 지수,KOSPI,0,20241027,2600.77,2618.71,2564.46,2583.27,1742410
KOSPI,KOSPI 지수,KOSPI,0,20241103,2588.45,2617.8,2536.84,2542.36,1910847
KOSPI,KOSPI 지수,KOSPI,0,20241110,2549.04,2593.15,2540.48,2561.15,2147204
KOSPI,KOSPI 지수,KOSPI,0,20241117,2562.05,2562.05,2390.56,2416.86,3190503
KOSPI,KOSPI 지수,KOSPI,0,20241124,2440.31,2511.23,2437.53,2501.24,2258209
KOSPI,KOSPI 지수,KOSPI,0,20241201,2524.11,2541.76,2446.96,2455.91,2147589
KOSPI,KOSPI 지수,KOSPI,0,20241208,2479.02,2500.67,2397.73,2428.16,2472293
KOSPI,KOSPI 지수,KOSPI,0,20241215,2392.37,2500.32,2360.18,2494.46,3050054
KOSPI,KOSPI 지수,KOSPI,0,20241222,2511.08,2515.62,2389.86,2404.15,2649675
KOSPI,KOSPI 지수,KOSPI,0,20241229,2423.36,2452.85,2388.33,2404.77,1449036
KOSPI,KOSPI 지수,KOSPI,0,20250105,2397.49,2454.67,2386.84,2441.92,1062192
KOSPI,KOSPI 지수,KOSPI,0,20250112,2453.3,2535.87,2446.82,2515.78,1855240
KOSPI,KOSPI 지수,KOSPI,0,20250119,2508.15,2534.01,2482.74,2523.55,2428535
KOSPI,KOSPI 지수,KOSPI,0,20250126,2533.68,2552.57,2507.95,2536.8,2805051
KOSPI,KOSPI 지수,KOSPI,0,20250202,2534.33,2537.98,2496.95,2517.37,454403
KOSPI,KOSPI 지수,KOSPI,0,20250209,2468.74,2537.63,2437.61,2521.92,2339138
KOSPI,KOSPI 지수,KOSPI,0,20250216,2510.64,2600.57,2499.18,2591.05,2489258
KOSPI,KOSPI 지수,KOSPI,0,20250223,2595.99,2680.7,2592.57,2654.58,2288139
KOSPI,KOSPI 지수,KOSPI,0,20250302,2636.12,2648.06,2531.24,2532.78,2435884
KOSPI,KOSPI 지수,KOSPI,0,20250309,2522.2,2583.65,2513.31,2563.48,2230300
KOSPI,KOSPI 지수,KOSPI,0,20250316,2555.4,2600.07,2505.91,2566.36,2025977
KOSPI,KOSPI 지수,KOSPI,0,20250323,2588.32,2650.72,2587.52,2643.13,2542766
