종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240331,906.45,922.57,903.61,905.5,5183883
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240407,909.62,920.05,867.45,872.29,5001531
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240414,873.76,873.76,847.54,860.47,3435497
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240421,850.21,856.05,824.99,841.91,4756786
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240428,844.95,865.15,840.29,856.82,4259502
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240505,860.53,875.64,860.53,865.59,3262771
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240512,874.69,876.94,862.81,864.16,3749937
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240519,866.67,874.86,852.75,855.06,3780341
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240526,856.22,857.51,836.95,839.41,4830993
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240602,843.76,852.42,829.81,839.98,6370191
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240609,840.33,866.48,839.58,866.18,3641224
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240616,862.21,879.52,859.69,862.19,5066485
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240623,860.13,866.21,848.5,852.67,4305004
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240630,852.27,852.48,836.12,840.44,3558739
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240707,840.59,849.25,828.49,847.49,3644885
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240714,848.59,864.11,845.03,850.37,4292667
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240721,852.62,852.93,812.9,828.72,4230249
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240728,827.98,828.09,794.23,797.56,4489671
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240804,800.64,815.28,778.39,779.33,3783744
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240811,765.57,768.21,672.57,764.43,5052669
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240818,767.21,788.86,757.19,786.33,4247044
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240825,787.32,788.79,764.83,773.26,5061937
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240901,776.94,777.91,754.0,767.66,4191865
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240908,769.85,773.15,705.67,706.59,4415950
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240915,696.25,734.35,693.86,733.2,4627076
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240922,738.41,750.75,729.93,748.33,1968946
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20240929,749.24,780.91,747.83,774.49,4927647
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241006,777.06,777.2,754.38,768.98,2895014
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241013,774.77,784.03,769.68,770.98,3491532
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241020,770.85,777.0,749.53,753.22,4450433
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241027,754.35,761.62,725.27,727.41,4623821
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241103,729.75,746.23,728.34,729.05,3816322
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241110,730.5,761.01,727.1,743.38,4372360
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241117,744.86,745.42,668.38,685.42,4314454
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241124,683.53,697.45,672.83,677.01,4569689
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241201,683.37,699.7,677.08,678.19,4378740
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241208,684.15,692.81,644.39,661.33,4127682
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241215,649.35,695.76,627.01,693.73,4716532
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241222,699.81,701.67,667.0,668.31,4474104
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20241229,674.26,685.87,661.24,665.97,2946231
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250105,662.68,706.46,661.92,705.76,2257767
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250112,707.87,723.7,707.87,717.89,5371257
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250119,713.98,725.78,707.6,724.69,4331592
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250126,727.59,733.91,720.73,728.74,4219517
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250202,724.96,728.41,723.3,728.29,687449
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250209,718.26,744.68,700.57,742.9,4487721
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250216,740.12,758.72,735.71,756.32,4605187
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250223,759.21,781.54,757.77,774.65,4816260
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250302,766.94,776.57,743.95,743.96,4443001
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250309,739.68,750.43,725.97,727.7,2804910
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250316,724.78,737.29,706.96,734.26,3511194
KOSDAQ,KOSDAQ 지수,KOSDAQ,0,20250323,740.14,748.07,713.82,719.41,3564317
