번호,업종,종목코드,종목명,시가총액,2025(E),2025(E),2025(E),2024 PER,직전 4분기 PER,2025(E) PER,2026(E) PER,2027(E) PER,버틀러
,,,,,매출액,영업이익,순익,,,,,,
1,반도체와반도체장비,5930,삼성전자,3326837,3228719,336726,321782,9.89,10.33,10.34,8.45,8.49,버틀러
2,반도체와반도체장비,660,SK하이닉스,1311860,845252,341473,267355,6.63,5.68,4.91,4.29,4.14,버틀러
3,전기제품,373220,LG에너지솔루션,802620,276255,16839,5922,-,-,135.53,49,26.46,버틀러
4,제약,207940,삼성바이오로직스,738786,55975,16359,13210,68.2,60.82,55.93,46.28,39.21,버틀러
5,자동차,5380,현대차,375483,1812313,142649,126176,3,2.99,2.98,2.9,2.96,버틀러
6,제약,68270,셀트리온,365027,45058,13485,10971,86.36,60.3,33.27,24.85,15.1,버틀러
7,우주항공과국방,12450,한화에어로스페이스,361003,202301,25494,15911,15.7,13.87,22.69,18.63,15,버틀러
8,자동차,270,기아,330068,1123848,126019,99936,3.38,3.47,3.3,3.25,3.41,버틀러
9,조선,329180,HD현대중공업,308487,160462,12802,9344,49.64,40.33,33.01,24.53,20.63,버틀러
10,은행,105560,KB금융,299475,0,76203,54497,5.9,5.32,5.5,5.33,5.12,버틀러
11,양방향미디어와서비스,35420,NAVER,289464,118991,22975,19097,15.05,15.9,15.16,13.27,11.38,버틀러
12,조선,42660,한화오션,245437,121236,6591,4909,46.48,43.66,50,33.44,24.76,버틀러
13,은행,55550,신한지주,232843,0,69265,49426,5.23,5.1,4.71,4.53,4.44,버틀러
14,자동차부품,12330,현대모비스,218538,604330,35271,42996,5.39,5.16,5.08,4.73,4.47,버틀러
15,증권,138040,메리츠금융지주,209000,0,33968,24248,9.06,8.8,8.62,8.21,-,버틀러
16,생물공학,196170,알테오젠,206344,2207,1104,250,331.21,499.62,825.38,36.46,25.63,버틀러
17,철강,5490,POSCO홀딩스,205974,731497,27687,15197,18.81,21.55,13.55,10.33,8.87,버틀러
18,복합기업,28260,삼성물산,193263,416723,30503,22891,8.67,9.53,8.44,7.81,7.26,버틀러
19,게임엔터테인먼트,259960,크래프톤,179906,31091,13575,11515,13.77,14,15.62,13.99,12.96,버틀러
20,양방향미디어와서비스,35720,카카오,173110,81893,5443,3771,313.04,247.65,45.91,33.93,30.12,버틀러
21,해운사,11200,HMM,169336,105560,19813,22306,4.48,4.31,7.59,10.39,11.69,버틀러
22,손해보험,810,삼성화재,165101,0,28638,21334,7.96,8.16,7.74,7.29,7.03,버틀러
23,조선,9540,HD한국조선해양,159947,284654,24270,16158,13.64,12.44,9.9,6.95,5.7,버틀러
24,은행,86790,하나금융지주,159706,0,51305,38984,4.27,4.28,4.1,3.94,3.85,버틀러
25,화학,51910,LG화학,158480,518986,18976,5368,-,-,29.52,8.47,4.22,버틀러
26,생명보험,32830,삼성생명,157200,0,27542,22946,7.46,7.39,6.85,6.59,6.31,버틀러
27,전기유틸리티,15760,한국전력,151183,979946,135132,71471,4.33,3,2.12,1.87,1.53,버틀러
28,기계,34020,두산에너빌리티,149571,159478,11186,4066,134.26,226.97,36.79,26.89,23.29,버틀러
29,석유와가스,96770,SK이노베이션,147712,838928,17878,2319,-,-,63.7,13.23,8.73,버틀러
30,비철금속,10130,고려아연,141196,137352,6868,2346,73.96,87.75,60.19,41.56,-,버틀러
31,담배,33780,KT&G,130119,62161,12794,10590,11.16,11.55,12.29,11.57,11.24,버틀러
32,조선,10140,삼성중공업,127160,108565,7368,4819,199,90.44,26.39,16.44,14.14,버틀러
33,전기제품,6400,삼성SDI,122676,153373,1718,3661,20.47,125.31,33.51,9.16,6.69,버틀러
34,무선통신서비스,17670,SK텔레콤,120068,181247,19830,12817,9.6,9.64,9.37,8.84,7.82,버틀러
35,다각화된통신서비스,30200,KT,119206,277982,24791,16936,25.35,17.56,7.04,7.98,7.65,버틀러
36,은행,316140,우리금융지주,119037,0,43423,31174,3.86,3.96,3.82,3.65,3.5,버틀러
