  번호,업종,대분류,중분류,종목코드,종목명,시가총액,2025(E) 매출액,2025(E) 영업이익,2025(E) 순익,2024 PER,직전 4분기 PER,2025(E) PER,2026(E) PER,2027(E) PER
1,반도체,반도체,메모리반도체,005930,삼성전자,3238042,3229529,337879,322858,9.63,11.11,10.03,8.22,8.25
2,반도체,반도체,메모리반도체,000660,SK하이닉스,1266724,846542,342472,268179,6.40,4.95,4.72,4.13,4.00
3,배터리,배터리,배터리셀,373220,LG에너지솔루션,802620,276255,17101,4159,-,-,192.98,56.96,26.46
4,헬스케어,헬스케어,바이오_CMO,207940,삼성바이오로직스,728110,55975,16359,13210,67.21,59.38,55.12,45.62,38.64
5,Auto,Auto,완성차,005380,현대차,380509,1813073,141561,125241,3.04,3.17,3.04,2.95,2.97
6,방산,방산,방산,012450,한화에어로스페이스,359180,220202,26676,16381,15.62,12.55,21.93,17.77,13.51
7,헬스케어,헬스케어,바이오의약품,068270,셀트리온,355204,45162,13452,10883,84.03,47.42,32.64,24.48,21.12
8,Auto,Auto,완성차,000270,기아,336829,1124639,125271,99540,3.45,3.65,3.38,3.32,3.31
9,금융,금융,금융지주,105560,KB금융,314823,0,76288,54553,6.20,5.79,5.77,5.59,5.39
10,조선,조선,조선,329180,HD현대중공업,313369,160574,12778,9266,50.42,38.07,33.82,24.82,20.10
11,인터넷,인터넷,플랫폼,035420,NAVER,292158,118897,22866,18981,15.19,15.24,15.39,13.42,11.71
12,금융,금융,금융지주,055550,신한지주,240647,0,69295,49414,5.41,5.33,4.87,4.69,4.59
13,조선,조선,조선,042660,한화오션,236858,122481,6803,5138,44.85,34.76,46.10,31.44,23.27
14,Auto,Auto,자동차부품_대형사,012330,현대모비스,222723,604100,35515,43102,5.49,5.11,5.17,4.79,4.54
15,금융,금융,금융지주,138040,메리츠금융지주,206657,0,33968,24248,8.96,8.90,8.52,8.12,-
16,철강,철강,철강,005490,POSCO홀딩스,205165,730783,27230,14787,18.74,23.76,13.87,10.49,8.84
17,헬스케어,헬스케어,바이오_기술이전,196170,알테오젠,195414,2207,1104,250,313.67,442.11,781.66,34.53,24.28
18,건설,건설,건설,028260,삼성물산,193773,416723,30503,22891,8.69,9.59,8.47,7.83,7.28
19,게임,게임,게임_KOSPI,259960,크래프톤,180625,31156,13603,11536,13.83,14.82,15.66,14.03,12.82
20,운송,운송,해운,011200,HMM,171274,104377,19600,22248,4.53,4.80,7.70,10.73,12.99
21,인터넷,인터넷,플랫폼,035720,카카오,167562,81861,5423,3755,303.01,233.05,44.62,33.21,29.66
22,금융,금융,손해보험,000810,삼성화재,166049,0,28638,21334,8.01,8.23,7.78,7.33,7.23
