종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
000250,삼천당제약,KOSDAQ,45296.378432,20240324,79400,91900,77800,85500,4324912
000250,삼천당제약,KOSDAQ,45296.378432,20240331,103000,148700,102700,140600,21159310
000250,삼천당제약,KOSDAQ,45296.378432,20240407,146500,151200,98900,112400,20884434
000250,삼천당제약,KOSDAQ,45296.378432,20240414,108900,111100,97000,105800,6134363
000250,삼천당제약,KOSDAQ,45296.378432,20240421,104600,108600,95400,102700,4816483
000250,삼천당제약,KOSDAQ,45296.378432,20240428,105100,110800,99300,106600,4132232
000250,삼천당제약,KOSDAQ,45296.378432,20240505,107200,121100,103100,116600,3793314
000250,삼천당제약,KOSDAQ,45296.378432,20240512,119700,120800,108800,114100,2638885
000250,삼천당제약,KOSDAQ,45296.378432,20240519,116000,118000,105500,112300,3334104
000250,삼천당제약,KOSDAQ,45296.378432,20240526,111300,122400,107100,114500,3205960
000250,삼천당제약,KOSDAQ,45296.378432,20240602,112600,120400,99200,119300,4180544
000250,삼천당제약,KOSDAQ,45296.378432,20240609,117800,128900,115500,127000,3168796
000250,삼천당제약,KOSDAQ,45296.378432,20240616,126300,134900,118600,123000,3824128
000250,삼천당제약,KOSDAQ,45296.378432,20240623,126200,167000,120200,158500,12297789
000250,삼천당제약,KOSDAQ,45296.378432,20240630,157900,161300,138600,146100,7405337
000250,삼천당제약,KOSDAQ,45296.378432,20240707,151300,203000,146100,196700,13134801
000250,삼천당제약,KOSDAQ,45296.378432,20240714,196700,230000,186600,199000,8254430
000250,삼천당제약,KOSDAQ,45296.378432,20240721,203000,229500,181300,192400,9235531
000250,삼천당제약,KOSDAQ,45296.378432,20240728,194100,194400,169000,176900,4240349
000250,삼천당제약,KOSDAQ,45296.378432,20240804,180600,187200,174900,179500,2160529
000250,삼천당제약,KOSDAQ,45296.378432,20240811,172000,174900,145500,163800,3853628
000250,삼천당제약,KOSDAQ,45296.378432,20240818,167000,168300,150000,166000,1930618
000250,삼천당제약,KOSDAQ,45296.378432,20240825,165300,168900,138400,147400,2651720
000250,삼천당제약,KOSDAQ,45296.378432,20240901,146600,159100,145000,158000,2253856
000250,삼천당제약,KOSDAQ,45296.378432,20240908,162800,162800,128400,132500,2721168
000250,삼천당제약,KOSDAQ,45296.378432,20240915,127500,136100,127500,131800,1575839
000250,삼천당제약,KOSDAQ,45296.378432,20240922,134100,142300,131000,139100,746523
000250,삼천당제약,KOSDAQ,45296.378432,20240929,142500,147800,131100,136600,1940077
000250,삼천당제약,KOSDAQ,45296.378432,20241006,135500,145000,132300,143300,935083
000250,삼천당제약,KOSDAQ,45296.378432,20241013,143300,149300,122800,146200,3612188
000250,삼천당제약,KOSDAQ,45296.378432,20241020,147000,148500,131000,135800,2148344
000250,삼천당제약,KOSDAQ,45296.378432,20241027,135800,138800,122300,125900,1978710
000250,삼천당제약,KOSDAQ,45296.378432,20241103,126500,142800,125400,138700,1751907
000250,삼천당제약,KOSDAQ,45296.378432,20241110,137400,148500,133800,135600,1463515
000250,삼천당제약,KOSDAQ,45296.378432,20241117,134300,135400,106000,116500,2312304
000250,삼천당제약,KOSDAQ,45296.378432,20241124,115100,118700,108700,109800,1230133
000250,삼천당제약,KOSDAQ,45296.378432,20241201,111300,113200,98300,99500,1881237
000250,삼천당제약,KOSDAQ,45296.378432,20241208,99500,103400,92600,96000,1530569
000250,삼천당제약,KOSDAQ,45296.378432,20241215,92800,104400,88200,102000,1578021
000250,삼천당제약,KOSDAQ,45296.378432,20241222,103800,121700,102200,118100,2450091
000250,삼천당제약,KOSDAQ,45296.378432,20241229,151000,166300,138600,147000,5219411
000250,삼천당제약,KOSDAQ,45296.378432,20250105,146500,162700,144700,155400,1428164
000250,삼천당제약,KOSDAQ,45296.378432,20250112,153900,172900,150500,160800,2324891
000250,삼천당제약,KOSDAQ,45296.378432,20250119,159000,178000,154700,168800,2357557
000250,삼천당제약,KOSDAQ,45296.378432,20250126,169500,177300,160500,172000,2731457
000250,삼천당제약,KOSDAQ,45296.378432,20250202,175000,184300,174600,184000,601031
000250,삼천당제약,KOSDAQ,45296.378432,20250209,177000,212500,162000,201000,4997523
000250,삼천당제약,KOSDAQ,45296.378432,20250216,197100,198600,171300,175200,2508106
000250,삼천당제약,KOSDAQ,45296.378432,20250223,172900,184900,171300,179900,1512791
000250,삼천당제약,KOSDAQ,45296.378432,20250302,179700,198700,176800,185600,1905142
000250,삼천당제약,KOSDAQ,45296.378432,20250309,182200,204000,175500,194500,1713728
000250,삼천당제약,KOSDAQ,45296.378432,20250316,194400,201500,185500,191400,1754409
