종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
079900,전진건설로봇,KOSPI,8128.047565,20240825,27500,28900,19370,19980,34240034
079900,전진건설로봇,KOSPI,8128.047565,20240901,20200,21250,18050,18200,3759744
079900,전진건설로봇,KOSPI,8128.047565,20240908,18580,19690,16610,16630,2484340
079900,전진건설로봇,KOSPI,8128.047565,20240915,16300,18380,15030,16010,4394149
079900,전진건설로봇,KOSPI,8128.047565,20240922,16020,16310,15310,16170,496241
079900,전진건설로봇,KOSPI,8128.047565,20240929,16540,16950,15720,15810,769780
079900,전진건설로봇,KOSPI,8128.047565,20241006,15770,15810,14500,15170,383205
079900,전진건설로봇,KOSPI,8128.047565,20241013,15980,17160,15450,16130,1674897
079900,전진건설로봇,KOSPI,8128.047565,20241020,16320,17880,16110,17230,1507096
079900,전진건설로봇,KOSPI,8128.047565,20241027,17350,23500,16530,23000,12129180
079900,전진건설로봇,KOSPI,8128.047565,20241103,22750,28350,22050,22600,9789324
079900,전진건설로봇,KOSPI,8128.047565,20241110,22100,29500,19480,26850,14412396
079900,전진건설로봇,KOSPI,8128.047565,20241117,26750,31850,23700,31000,10441373
079900,전진건설로봇,KOSPI,8128.047565,20241124,30000,32700,27000,27500,7450510
079900,전진건설로봇,KOSPI,8128.047565,20241201,27950,32300,26500,26550,4618184
079900,전진건설로봇,KOSPI,8128.047565,20241208,26350,26950,22000,23150,3143966
079900,전진건설로봇,KOSPI,8128.047565,20241215,22750,26200,22100,25100,3000429
079900,전진건설로봇,KOSPI,8128.047565,20241222,25100,41400,24100,38150,17733054
079900,전진건설로봇,KOSPI,8128.047565,20241229,37750,38800,34050,35000,5653418
079900,전진건설로봇,KOSPI,8128.047565,20250105,34250,38450,33750,37050,3744417
079900,전진건설로봇,KOSPI,8128.047565,20250112,37000,43150,34200,42600,11833079
079900,전진건설로봇,KOSPI,8128.047565,20250119,42600,46350,41550,44800,10626934
079900,전진건설로봇,KOSPI,8128.047565,20250126,44050,49800,43000,46500,10908960
079900,전진건설로봇,KOSPI,8128.047565,20250202,45050,45300,40100,40100,1012635
079900,전진건설로봇,KOSPI,8128.047565,20250209,39300,54600,35850,54600,12100813
079900,전진건설로봇,KOSPI,8128.047565,20250216,57500,71900,52800,63000,18029182
079900,전진건설로봇,KOSPI,8128.047565,20250223,59800,67500,56200,56900,5351975
079900,전진건설로봇,KOSPI,8128.047565,20250302,57400,62300,54500,55100,4958983
079900,전진건설로봇,KOSPI,8128.047565,20250309,49300,61500,47100,61300,5167757
079900,전진건설로봇,KOSPI,8128.047565,20250316,61200,61200,54100,55100,2273460
