종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
082270,젬백스,KOSDAQ,16637.576384,20240324,11750,12200,11360,12040,465069
082270,젬백스,KOSDAQ,16637.576384,20240331,12000,12200,11230,11780,476980
082270,젬백스,KOSDAQ,16637.576384,20240407,11890,12030,11300,11580,479962
082270,젬백스,KOSDAQ,16637.576384,20240414,11580,11730,11120,11440,331711
082270,젬백스,KOSDAQ,16637.576384,20240421,11520,11520,10950,11000,352164
082270,젬백스,KOSDAQ,16637.576384,20240428,11190,11330,11020,11200,258209
082270,젬백스,KOSDAQ,16637.576384,20240505,11290,12250,11220,12110,268176
082270,젬백스,KOSDAQ,16637.576384,20240512,12200,12290,11510,11610,254469
082270,젬백스,KOSDAQ,16637.576384,20240519,11610,12090,11500,11690,283886
082270,젬백스,KOSDAQ,16637.576384,20240526,11800,11800,11040,11130,521899
082270,젬백스,KOSDAQ,16637.576384,20240602,11020,11690,10560,10960,1167478
082270,젬백스,KOSDAQ,16637.576384,20240609,11030,12380,10620,11430,992560
082270,젬백스,KOSDAQ,16637.576384,20240616,11430,11450,10530,10530,810393
082270,젬백스,KOSDAQ,16637.576384,20240623,10500,10700,10250,10400,534871
082270,젬백스,KOSDAQ,16637.576384,20240630,10410,10640,10220,10420,443665
082270,젬백스,KOSDAQ,16637.576384,20240707,10420,11580,10280,11550,516899
082270,젬백스,KOSDAQ,16637.576384,20240714,11550,12430,10900,11880,716949
082270,젬백스,KOSDAQ,16637.576384,20240721,11700,11950,10840,10900,357840
082270,젬백스,KOSDAQ,16637.576384,20240728,10900,11110,10530,10740,374307
082270,젬백스,KOSDAQ,16637.576384,20240804,10960,10960,10410,10590,278468
082270,젬백스,KOSDAQ,16637.576384,20240811,10590,10670,9700,10560,703119
082270,젬백스,KOSDAQ,16637.576384,20240818,10560,10970,9790,10200,535942
082270,젬백스,KOSDAQ,16637.576384,20240825,10190,10700,9950,10100,386517
082270,젬백스,KOSDAQ,16637.576384,20240901,10120,10590,9060,10430,849520
082270,젬백스,KOSDAQ,16637.576384,20240908,10320,10490,9840,10360,738593
082270,젬백스,KOSDAQ,16637.576384,20240915,10140,10770,9590,10180,1697266
082270,젬백스,KOSDAQ,16637.576384,20240922,10190,16800,10180,15180,9902571
082270,젬백스,KOSDAQ,16637.576384,20240929,15240,21600,15150,20400,7532788
082270,젬백스,KOSDAQ,16637.576384,20241006,19710,20750,18120,19410,2247798
082270,젬백스,KOSDAQ,16637.576384,20241013,19400,21200,19070,20500,2078746
082270,젬백스,KOSDAQ,16637.576384,20241020,20500,23500,20050,22950,2740493
082270,젬백스,KOSDAQ,16637.576384,20241027,22950,23000,13290,13290,5326173
082270,젬백스,KOSDAQ,16637.576384,20241103,13170,15620,12590,13920,10444445
082270,젬백스,KOSDAQ,16637.576384,20241110,13940,15240,13070,13650,2648066
082270,젬백스,KOSDAQ,16637.576384,20241117,13540,13750,11900,12080,1671487
082270,젬백스,KOSDAQ,16637.576384,20241124,11950,14000,11270,13360,2706454
082270,젬백스,KOSDAQ,16637.576384,20241201,13680,23150,13420,19500,7635429
082270,젬백스,KOSDAQ,16637.576384,20241208,20450,21000,16350,17000,3403478
082270,젬백스,KOSDAQ,16637.576384,20241215,16480,16690,14370,14370,2361124
082270,젬백스,KOSDAQ,16637.576384,20241222,14300,15770,13670,13850,2332581
082270,젬백스,KOSDAQ,16637.576384,20241229,14050,15590,13470,13580,1464894
082270,젬백스,KOSDAQ,16637.576384,20250105,13580,15210,13420,15170,733461
082270,젬백스,KOSDAQ,16637.576384,20250112,14910,17630,14820,17410,1575095
082270,젬백스,KOSDAQ,16637.576384,20250119,17140,19990,17140,18200,2569595
082270,젬백스,KOSDAQ,16637.576384,20250126,18100,19390,17540,18230,1246028
082270,젬백스,KOSDAQ,16637.576384,20250202,18400,19100,18160,18870,227625
082270,젬백스,KOSDAQ,16637.576384,20250209,18490,21800,17660,20150,2978729
082270,젬백스,KOSDAQ,16637.576384,20250216,22300,24300,20000,23500,4311790
082270,젬백스,KOSDAQ,16637.576384,20250223,25250,34200,25050,32500,7341951
082270,젬백스,KOSDAQ,16637.576384,20250302,34050,37900,33200,37450,3643420
082270,젬백스,KOSDAQ,16637.576384,20250309,36600,41700,36450,40200,3215678
082270,젬백스,KOSDAQ,16637.576384,20250316,39350,42950,34950,39300,3808766
