종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
064350,현대로템,KOSPI,102921.182299,20240324,30750,32900,30700,32400,7452821
064350,현대로템,KOSPI,102921.182299,20240331,33000,38800,32250,36800,20996881
064350,현대로템,KOSPI,102921.182299,20240407,36950,39600,36800,37300,19206574
064350,현대로템,KOSPI,102921.182299,20240414,37750,43450,37150,41600,26083865
064350,현대로템,KOSPI,102921.182299,20240421,42000,42550,37450,41150,19781168
064350,현대로템,KOSPI,102921.182299,20240428,40950,42950,37950,38450,16422392
064350,현대로템,KOSPI,102921.182299,20240505,38050,39050,37300,37950,7646439
064350,현대로템,KOSPI,102921.182299,20240512,38000,38350,36900,37600,3582362
064350,현대로템,KOSPI,102921.182299,20240519,37550,39250,37200,37550,4703515
064350,현대로템,KOSPI,102921.182299,20240526,37550,39600,37000,38650,5409442
064350,현대로템,KOSPI,102921.182299,20240602,39050,40150,35850,35950,8341951
064350,현대로템,KOSPI,102921.182299,20240609,36250,38200,35700,37900,4006689
064350,현대로템,KOSPI,102921.182299,20240616,38150,39000,37200,38700,4805505
064350,현대로템,KOSPI,102921.182299,20240623,40350,43000,38850,39650,25109104
064350,현대로템,KOSPI,102921.182299,20240630,39650,40800,38350,40800,6293357
064350,현대로템,KOSPI,102921.182299,20240707,40850,41200,37450,38000,6164282
064350,현대로템,KOSPI,102921.182299,20240714,38200,43300,38050,39950,16726088
064350,현대로템,KOSPI,102921.182299,20240721,40950,44900,40800,41550,21220217
064350,현대로템,KOSPI,102921.182299,20240728,42150,48300,41800,47750,24657265
064350,현대로템,KOSPI,102921.182299,20240804,49500,52300,48050,48550,16561492
064350,현대로템,KOSPI,102921.182299,20240811,47550,48250,41000,46250,13441706
064350,현대로템,KOSPI,102921.182299,20240818,46600,55100,44650,54400,17949564
064350,현대로템,KOSPI,102921.182299,20240825,54400,55300,51000,53900,9825479
064350,현대로템,KOSPI,102921.182299,20240901,54400,55800,51900,54000,7026008
064350,현대로템,KOSPI,102921.182299,20240908,54400,55500,48400,49450,9856982
064350,현대로템,KOSPI,102921.182299,20240915,48000,52300,47500,51800,6309602
064350,현대로템,KOSPI,102921.182299,20240922,52400,57100,51500,56100,4870658
064350,현대로템,KOSPI,102921.182299,20240929,56400,56900,53500,54000,6167225
064350,현대로템,KOSPI,102921.182299,20241006,53900,57500,53000,57000,5051818
064350,현대로템,KOSPI,102921.182299,20241013,57600,62900,57200,61500,8710721
064350,현대로템,KOSPI,102921.182299,20241020,62100,68000,60400,65000,9410830
064350,현대로템,KOSPI,102921.182299,20241027,65600,67300,62300,64300,7996492
064350,현대로템,KOSPI,102921.182299,20241103,65100,67600,60200,61500,7978026
064350,현대로템,KOSPI,102921.182299,20241110,61800,65500,60200,63100,10073188
064350,현대로템,KOSPI,102921.182299,20241117,62700,66500,61500,64800,9489782
064350,현대로템,KOSPI,102921.182299,20241124,64800,69500,61500,64800,10853591
064350,현대로템,KOSPI,102921.182299,20241201,64800,65700,50200,50600,22111185
064350,현대로템,KOSPI,102921.182299,20241208,50600,54100,45750,47250,10786523
064350,현대로템,KOSPI,102921.182299,20241215,45500,51000,43650,49900,8921775
064350,현대로템,KOSPI,102921.182299,20241222,50600,50900,46950,48350,4716716
064350,현대로템,KOSPI,102921.182299,20241229,48500,51400,48100,48750,3574329
064350,현대로템,KOSPI,102921.182299,20250105,48300,53000,48250,52000,3118009
064350,현대로템,KOSPI,102921.182299,20250112,52100,56300,50800,54700,7243287
064350,현대로템,KOSPI,102921.182299,20250119,54300,58400,54000,56700,5532012
064350,현대로템,KOSPI,102921.182299,20250126,56700,59600,55300,59200,5458001
064350,현대로템,KOSPI,102921.182299,20250202,59600,59900,58300,59200,840667
064350,현대로템,KOSPI,102921.182299,20250209,58300,81100,56200,79600,18403399
064350,현대로템,KOSPI,102921.182299,20250216,79900,84000,75800,82900,13828895
064350,현대로템,KOSPI,102921.182299,20250223,82900,94500,81700,91000,13966201
064350,현대로템,KOSPI,102921.182299,20250302,89000,94300,78200,78200,7612188
064350,현대로템,KOSPI,102921.182299,20250309,82600,90800,81500,89700,5024439
064350,현대로템,KOSPI,102921.182299,20250316,93000,104800,88400,101600,14563767
