종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
005690,파미셀,KOSPI,7352.07809,20240324,6030,7320,5960,6550,20943577
005690,파미셀,KOSPI,7352.07809,20240331,6550,6850,6180,6250,3660827
005690,파미셀,KOSPI,7352.07809,20240407,6280,6490,5560,5660,2208047
005690,파미셀,KOSPI,7352.07809,20240414,5710,5740,5440,5690,765372
005690,파미셀,KOSPI,7352.07809,20240421,5580,5740,5320,5550,1029872
005690,파미셀,KOSPI,7352.07809,20240428,5560,5870,5560,5750,642226
005690,파미셀,KOSPI,7352.07809,20240505,5830,5970,5780,5810,576306
005690,파미셀,KOSPI,7352.07809,20240512,5840,5930,5600,5720,533097
005690,파미셀,KOSPI,7352.07809,20240519,5720,5750,5530,5560,614678
005690,파미셀,KOSPI,7352.07809,20240526,5560,6200,5430,5620,2228069
005690,파미셀,KOSPI,7352.07809,20240602,5570,6390,5490,5970,5526261
005690,파미셀,KOSPI,7352.07809,20240609,6000,6090,5800,5980,1058620
005690,파미셀,KOSPI,7352.07809,20240616,5980,6030,5620,5660,1085667
005690,파미셀,KOSPI,7352.07809,20240623,5630,5730,5570,5700,802709
005690,파미셀,KOSPI,7352.07809,20240630,5700,5780,5530,5600,852869
005690,파미셀,KOSPI,7352.07809,20240707,5570,5690,5320,5400,920474
005690,파미셀,KOSPI,7352.07809,20240714,5380,5660,5380,5560,790691
005690,파미셀,KOSPI,7352.07809,20240721,5600,5630,5300,5320,631279
005690,파미셀,KOSPI,7352.07809,20240728,5340,5450,5130,5300,863959
005690,파미셀,KOSPI,7352.07809,20240804,5300,5460,5190,5200,801227
005690,파미셀,KOSPI,7352.07809,20240811,5150,5600,4300,5400,3813296
005690,파미셀,KOSPI,7352.07809,20240818,5510,7040,5300,7040,22473874
005690,파미셀,KOSPI,7352.07809,20240825,7650,8870,6580,6730,69198123
005690,파미셀,KOSPI,7352.07809,20240901,6500,6590,5670,5850,10733238
005690,파미셀,KOSPI,7352.07809,20240908,5810,5880,5030,5070,4293337
005690,파미셀,KOSPI,7352.07809,20240915,4950,5750,4950,5300,5011822
005690,파미셀,KOSPI,7352.07809,20240922,5310,5520,5290,5520,1690955
005690,파미셀,KOSPI,7352.07809,20240929,5510,5540,5350,5510,1784340
005690,파미셀,KOSPI,7352.07809,20241006,5480,5540,5110,5200,1087189
005690,파미셀,KOSPI,7352.07809,20241013,5220,5700,5150,5160,2659247
005690,파미셀,KOSPI,7352.07809,20241020,5140,5640,5080,5320,3255444
005690,파미셀,KOSPI,7352.07809,20241027,5310,5370,4875,4905,1895376
005690,파미셀,KOSPI,7352.07809,20241103,4900,5090,4900,4980,1026284
005690,파미셀,KOSPI,7352.07809,20241110,5000,5330,4960,5210,1361246
005690,파미셀,KOSPI,7352.07809,20241117,5270,5280,4555,4715,1764932
005690,파미셀,KOSPI,7352.07809,20241124,4900,5060,4715,4790,1211974
005690,파미셀,KOSPI,7352.07809,20241201,4795,5270,4715,4735,3103218
005690,파미셀,KOSPI,7352.07809,20241208,4740,5250,4420,5170,7319999
005690,파미셀,KOSPI,7352.07809,20241215,5110,7470,5110,7210,24141257
005690,파미셀,KOSPI,7352.07809,20241222,7220,8550,7090,8250,9373784
005690,파미셀,KOSPI,7352.07809,20241229,8250,8410,7800,8280,3938956
005690,파미셀,KOSPI,7352.07809,20250105,8120,8840,8030,8510,2611421
005690,파미셀,KOSPI,7352.07809,20250112,8530,9540,8110,8940,7642788
005690,파미셀,KOSPI,7352.07809,20250119,8940,9680,8080,8440,4581774
005690,파미셀,KOSPI,7352.07809,20250126,8350,9250,8210,9170,2845085
005690,파미셀,KOSPI,7352.07809,20250202,8970,8970,7520,7980,2371460
005690,파미셀,KOSPI,7352.07809,20250209,7780,9200,7150,8890,4474621
005690,파미셀,KOSPI,7352.07809,20250216,8830,11800,8760,11000,18414246
005690,파미셀,KOSPI,7352.07809,20250223,11000,11750,10320,11300,9177079
005690,파미셀,KOSPI,7352.07809,20250302,11300,11650,9610,10100,6200201
005690,파미셀,KOSPI,7352.07809,20250309,9980,10940,9580,10150,3979780
005690,파미셀,KOSPI,7352.07809,20250316,10220,12920,9770,12360,16806456
