종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
065500,오리엔트정공,KOSDAQ,2329.9297408,20240324,1339,1743,1327,1699,3704535
065500,오리엔트정공,KOSDAQ,2329.9297408,20240331,1710,2045,1695,1750,5698618
065500,오리엔트정공,KOSDAQ,2329.9297408,20240407,1783,1830,1499,1514,1643551
065500,오리엔트정공,KOSDAQ,2329.9297408,20240414,1515,1735,1328,1455,3246961
065500,오리엔트정공,KOSDAQ,2329.9297408,20240421,1411,1511,1339,1384,1489869
065500,오리엔트정공,KOSDAQ,2329.9297408,20240428,1436,1501,1385,1386,1139528
065500,오리엔트정공,KOSDAQ,2329.9297408,20240505,1380,1429,1342,1350,489077
065500,오리엔트정공,KOSDAQ,2329.9297408,20240512,1369,1500,1352,1438,801711
065500,오리엔트정공,KOSDAQ,2329.9297408,20240519,1438,1447,1400,1420,362081
065500,오리엔트정공,KOSDAQ,2329.9297408,20240526,1411,1640,1384,1545,1576895
065500,오리엔트정공,KOSDAQ,2329.9297408,20240602,1540,1605,1481,1594,763530
065500,오리엔트정공,KOSDAQ,2329.9297408,20240609,1600,1765,1584,1604,1133761
065500,오리엔트정공,KOSDAQ,2329.9297408,20240616,1580,1615,1473,1480,892219
065500,오리엔트정공,KOSDAQ,2329.9297408,20240623,1470,1550,1435,1481,544494
065500,오리엔트정공,KOSDAQ,2329.9297408,20240630,1472,1530,1410,1478,386565
065500,오리엔트정공,KOSDAQ,2329.9297408,20240707,1459,1540,1451,1480,464927
065500,오리엔트정공,KOSDAQ,2329.9297408,20240714,1470,1499,1310,1375,1268468
065500,오리엔트정공,KOSDAQ,2329.9297408,20240721,1395,1395,1255,1310,738285
065500,오리엔트정공,KOSDAQ,2329.9297408,20240728,1297,1338,1247,1262,382084
065500,오리엔트정공,KOSDAQ,2329.9297408,20240804,1241,1364,1230,1275,251576
065500,오리엔트정공,KOSDAQ,2329.9297408,20240811,1270,1308,1099,1268,611410
065500,오리엔트정공,KOSDAQ,2329.9297408,20240818,1276,1292,1243,1277,194274
065500,오리엔트정공,KOSDAQ,2329.9297408,20240825,1270,1289,1186,1186,380778
065500,오리엔트정공,KOSDAQ,2329.9297408,20240901,1185,1227,1128,1173,382787
065500,오리엔트정공,KOSDAQ,2329.9297408,20240908,1159,1175,1100,1131,439722
065500,오리엔트정공,KOSDAQ,2329.9297408,20240915,1131,1282,1104,1268,295536
065500,오리엔트정공,KOSDAQ,2329.9297408,20240922,1252,1296,1245,1283,202583
065500,오리엔트정공,KOSDAQ,2329.9297408,20240929,1279,1292,1229,1272,290624
065500,오리엔트정공,KOSDAQ,2329.9297408,20241006,1272,1309,1245,1270,205415
065500,오리엔트정공,KOSDAQ,2329.9297408,20241013,1257,1272,1211,1215,245092
065500,오리엔트정공,KOSDAQ,2329.9297408,20241020,1221,1269,1198,1198,201701
065500,오리엔트정공,KOSDAQ,2329.9297408,20241027,1244,1246,1159,1166,282104
065500,오리엔트정공,KOSDAQ,2329.9297408,20241103,1225,1329,1163,1269,505680
065500,오리엔트정공,KOSDAQ,2329.9297408,20241110,1269,1335,1266,1293,387929
065500,오리엔트정공,KOSDAQ,2329.9297408,20241117,1286,1364,1032,1100,1438673
065500,오리엔트정공,KOSDAQ,2329.9297408,20241124,1100,1101,998,1036,933397
065500,오리엔트정공,KOSDAQ,2329.9297408,20241201,1038,1346,1028,1101,5242925
065500,오리엔트정공,KOSDAQ,2329.9297408,20241208,1100,2480,1100,2480,18773316
065500,오리엔트정공,KOSDAQ,2329.9297408,20241215,2710,7070,0,6700,60822038
065500,오리엔트정공,KOSDAQ,2329.9297408,20241222,0,7560,0,6100,156838023
065500,오리엔트정공,KOSDAQ,2329.9297408,20241229,5850,6450,5200,5820,57722815
065500,오리엔트정공,KOSDAQ,2329.9297408,20250105,5950,7300,5820,6540,56287352
065500,오리엔트정공,KOSDAQ,2329.9297408,20250112,6200,6540,5800,6430,18711737
065500,오리엔트정공,KOSDAQ,2329.9297408,20250119,6300,6980,4830,4920,28654253
065500,오리엔트정공,KOSDAQ,2329.9297408,20250126,4940,5430,4180,5150,47464889
065500,오리엔트정공,KOSDAQ,2329.9297408,20250202,5270,5420,4915,5060,6810474
065500,오리엔트정공,KOSDAQ,2329.9297408,20250209,4860,5330,4350,4380,16009256
065500,오리엔트정공,KOSDAQ,2329.9297408,20250216,4400,6210,4230,5980,56125158
065500,오리엔트정공,KOSDAQ,2329.9297408,20250223,5940,6600,5410,5920,37027285
065500,오리엔트정공,KOSDAQ,2329.9297408,20250302,6050,7360,6000,6620,38496379
065500,오리엔트정공,KOSDAQ,2329.9297408,20250309,6840,8340,6300,7490,35197820
065500,오리엔트정공,KOSDAQ,2329.9297408,20250316,7200,8090,7000,8020,27958993
