종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240324,177700,209500,176400,195500,6681358
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240331,196400,199300,185000,187500,3135294
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240407,187200,190700,175500,177100,1199627
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240414,184000,185900,173500,179900,794441
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240421,177500,177600,165100,169500,917376
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240428,171000,178400,170000,171100,653062
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240505,171900,178400,171100,175300,462698
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240512,176800,185000,170000,175900,1106367
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240519,179300,185100,174900,175000,837894
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240526,175000,177100,168100,168300,560469
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240602,168300,172400,157800,158500,718279
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240609,158800,164400,158500,162600,347969
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240616,163000,171800,160100,164000,752889
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240623,174000,174300,162300,165200,734170
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240630,164600,164700,159100,159500,351940
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240707,159000,164600,148100,155200,1020843
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240714,155300,164400,153300,160000,765033
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240721,159000,163800,154400,156000,411087
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240728,156000,156100,139000,140700,452200
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240804,140300,144000,131100,132800,391311
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240811,126800,127100,109100,121800,719439
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240818,122300,138100,122300,135300,685147
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240825,134100,159000,133100,151800,1075196
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240901,154000,158000,144200,144300,521575
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240908,144400,151700,130400,130700,442212
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240915,127800,138700,127100,134500,363469
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240922,135000,138600,132800,136600,118240
277810,레인보우로보틱스,KOSDAQ,61206.55199,20240929,136700,139600,134000,136100,340110
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241006,137500,143900,134600,135600,252264
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241013,135600,144500,134900,135700,404011
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241020,141000,144100,131100,132000,539558
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241027,132200,137200,120600,122000,368105
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241103,122000,126300,119100,120200,271801
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241110,119600,133600,118700,131200,547396
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241117,133800,138500,126600,135400,766856
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241124,135900,146100,134500,139300,797478
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241201,140000,153000,137500,151700,1049832
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241208,151500,152000,128000,132900,847337
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241215,128700,132800,122900,132400,526276
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241222,133600,139000,127200,127900,463177
277810,레인보우로보틱스,KOSDAQ,61206.55199,20241229,129800,148900,128500,141200,1014771
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250105,144000,238500,142000,233000,6730369
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250112,231000,256000,220000,230000,7073473
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250119,228000,265500,226500,261500,4260740
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250126,261000,269000,242000,247000,2320495
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250202,243000,301000,242500,299500,1839937
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250209,294000,416500,294000,410500,8153347
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250216,419000,422500,365500,402000,7101965
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250223,409000,429000,382000,404500,5270814
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250302,400000,406500,338500,342500,3150617
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250309,342500,375000,317000,321000,3165788
277810,레인보우로보틱스,KOSDAQ,61206.55199,20250316,319500,329500,297000,317500,2885551
