종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
042660,한화오션,KOSPI,217553.50974,20240324,28050,30900,27200,30700,12436800
042660,한화오션,KOSPI,217553.50974,20240331,30850,30900,27100,27600,9817451
042660,한화오션,KOSPI,217553.50974,20240407,27600,28600,24850,27150,10430627
042660,한화오션,KOSPI,217553.50974,20240414,26950,28600,25850,28500,5553990
042660,한화오션,KOSPI,217553.50974,20240421,28550,34100,27800,32700,16159512
042660,한화오션,KOSPI,217553.50974,20240428,33000,36400,31550,32500,21287260
042660,한화오션,KOSPI,217553.50974,20240505,32850,33250,30750,31000,5881500
042660,한화오션,KOSPI,217553.50974,20240512,31250,33250,30600,31650,6357623
042660,한화오션,KOSPI,217553.50974,20240519,31850,33400,31450,32050,6424567
042660,한화오션,KOSPI,217553.50974,20240526,32050,32100,29800,31700,5181826
042660,한화오션,KOSPI,217553.50974,20240602,32400,32400,28800,29700,6380659
042660,한화오션,KOSPI,217553.50974,20240609,29600,31650,28950,30500,5800800
042660,한화오션,KOSPI,217553.50974,20240616,29850,32700,29550,32250,8756677
042660,한화오션,KOSPI,217553.50974,20240623,33000,34450,31450,31750,10503548
042660,한화오션,KOSPI,217553.50974,20240630,32100,33400,29300,30550,9372754
042660,한화오션,KOSPI,217553.50974,20240707,30700,31800,29750,30100,5810116
042660,한화오션,KOSPI,217553.50974,20240714,30150,30900,29400,29900,4678281
042660,한화오션,KOSPI,217553.50974,20240721,30150,32900,29750,30100,10470621
042660,한화오션,KOSPI,217553.50974,20240728,30300,31150,28900,30950,10962731
042660,한화오션,KOSPI,217553.50974,20240804,30900,32950,29600,31150,12560202
042660,한화오션,KOSPI,217553.50974,20240811,30200,31800,25400,31500,10417225
042660,한화오션,KOSPI,217553.50974,20240818,31500,32100,30500,31800,3588032
042660,한화오션,KOSPI,217553.50974,20240825,32000,33800,31000,33150,8955832
042660,한화오션,KOSPI,217553.50974,20240901,33550,35300,32000,34550,10582105
042660,한화오션,KOSPI,217553.50974,20240908,35050,35100,30550,30650,7829484
042660,한화오션,KOSPI,217553.50974,20240915,29750,31400,28650,30600,5085649
042660,한화오션,KOSPI,217553.50974,20240922,31050,33150,30650,32750,2269039
042660,한화오션,KOSPI,217553.50974,20240929,33000,33500,30400,30550,4955757
042660,한화오션,KOSPI,217553.50974,20241006,30800,31650,30050,31300,2075229
042660,한화오션,KOSPI,217553.50974,20241013,31450,31950,30200,30850,3575436
042660,한화오션,KOSPI,217553.50974,20241020,31150,31600,30450,30850,3577036
042660,한화오션,KOSPI,217553.50974,20241027,30900,31250,29500,29750,3161198
042660,한화오션,KOSPI,217553.50974,20241103,29800,29900,26100,26800,5776017
042660,한화오션,KOSPI,217553.50974,20241110,26850,38750,26650,36200,32561647
042660,한화오션,KOSPI,217553.50974,20241117,37550,41050,33650,39100,70759225
042660,한화오션,KOSPI,217553.50974,20241124,38250,39100,34950,38150,32347329
042660,한화오션,KOSPI,217553.50974,20241201,38350,39950,34100,35000,27200964
042660,한화오션,KOSPI,217553.50974,20241208,35050,35200,30500,31900,18318005
042660,한화오션,KOSPI,217553.50974,20241215,30900,34450,29850,34050,16106928
042660,한화오션,KOSPI,217553.50974,20241222,34300,34600,31200,33400,18385244
042660,한화오션,KOSPI,217553.50974,20241229,35000,38250,34550,36900,23400631
042660,한화오션,KOSPI,217553.50974,20250105,37700,38750,36650,37350,11313538
042660,한화오션,KOSPI,217553.50974,20250112,37500,45500,36300,45000,48405825
042660,한화오션,KOSPI,217553.50974,20250119,45850,51700,43600,50700,37903439
042660,한화오션,KOSPI,217553.50974,20250126,49950,57200,49150,56700,38789722
042660,한화오션,KOSPI,217553.50974,20250202,57100,59900,56100,57200,8325636
042660,한화오션,KOSPI,217553.50974,20250209,55700,64500,55600,61900,36311550
042660,한화오션,KOSPI,217553.50974,20250216,62900,79500,57200,77900,63869305
042660,한화오션,KOSPI,217553.50974,20250223,76000,81000,69700,73000,36043970
042660,한화오션,KOSPI,217553.50974,20250302,74600,76500,69600,74300,28575338
042660,한화오션,KOSPI,217553.50974,20250309,76900,87200,75700,80400,36632055
042660,한화오션,KOSPI,217553.50974,20250316,80400,81100,70600,74300,48452039
