종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
003230,삼양식품,KOSPI,66290.532,20240324,195300,199800,186400,193000,260062
003230,삼양식품,KOSPI,66290.532,20240331,193500,215500,192300,210500,390204
003230,삼양식품,KOSPI,66290.532,20240407,212000,225000,210000,217000,278338
003230,삼양식품,KOSPI,66290.532,20240414,217000,250500,213000,240000,332180
003230,삼양식품,KOSPI,66290.532,20240421,238500,277000,231500,271000,554211
003230,삼양식품,KOSPI,66290.532,20240428,274500,296500,271000,287000,540763
003230,삼양식품,KOSPI,66290.532,20240505,285000,310500,284500,303000,276457
003230,삼양식품,KOSPI,66290.532,20240512,304000,333000,295500,325500,301077
003230,삼양식품,KOSPI,66290.532,20240519,331500,446500,322000,446500,369118
003230,삼양식품,KOSPI,66290.532,20240526,487500,579000,478500,501000,1501354
003230,삼양식품,KOSPI,66290.532,20240602,505000,566000,492000,529000,660824
003230,삼양식품,KOSPI,66290.532,20240609,553000,641000,526000,603000,851535
003230,삼양식품,KOSPI,66290.532,20240616,611000,688000,582000,647000,920108
003230,삼양식품,KOSPI,66290.532,20240623,655000,718000,625000,700000,1272258
003230,삼양식품,KOSPI,66290.532,20240630,710000,712000,636000,669000,644440
003230,삼양식품,KOSPI,66290.532,20240707,668000,679000,581000,596000,836714
003230,삼양식품,KOSPI,66290.532,20240714,598000,675000,586000,593000,724193
003230,삼양식품,KOSPI,66290.532,20240721,597000,650000,594000,636000,669025
003230,삼양식품,KOSPI,66290.532,20240728,644000,686000,611000,623000,680667
003230,삼양식품,KOSPI,66290.532,20240804,623000,653000,573000,578000,530198
003230,삼양식품,KOSPI,66290.532,20240811,545000,608000,486000,599000,695260
003230,삼양식품,KOSPI,66290.532,20240818,601000,609000,523000,548000,881649
003230,삼양식품,KOSPI,66290.532,20240825,551000,551000,492000,500000,596108
003230,삼양식품,KOSPI,66290.532,20240901,501000,504000,469500,494500,469024
003230,삼양식품,KOSPI,66290.532,20240908,507000,511000,458000,470000,388981
003230,삼양식품,KOSPI,66290.532,20240915,461500,533000,455500,510000,463473
003230,삼양식품,KOSPI,66290.532,20240922,514000,528000,504000,522000,133810
003230,삼양식품,KOSPI,66290.532,20240929,540000,560000,515000,538000,369019
003230,삼양식품,KOSPI,66290.532,20241006,541000,557000,500000,515000,304027
003230,삼양식품,KOSPI,66290.532,20241013,518000,555000,514000,545000,312005
003230,삼양식품,KOSPI,66290.532,20241020,549000,580000,542000,547000,297251
003230,삼양식품,KOSPI,66290.532,20241027,550000,566000,525000,529000,280994
003230,삼양식품,KOSPI,66290.532,20241103,534000,538000,502000,520000,211484
003230,삼양식품,KOSPI,66290.532,20241110,525000,621000,518000,584000,532900
003230,삼양식품,KOSPI,66290.532,20241117,576000,592000,510000,537000,439430
003230,삼양식품,KOSPI,66290.532,20241124,535000,558000,511000,532000,285106
003230,삼양식품,KOSPI,66290.532,20241201,533000,541000,500000,519000,244918
003230,삼양식품,KOSPI,66290.532,20241208,530000,634000,528000,606000,623869
003230,삼양식품,KOSPI,66290.532,20241215,593000,700000,585000,687000,474397
003230,삼양식품,KOSPI,66290.532,20241222,707000,785000,686000,748000,693437
003230,삼양식품,KOSPI,66290.532,20241229,745000,800000,730000,759000,379056
003230,삼양식품,KOSPI,66290.532,20250105,754000,775000,731000,741000,181136
003230,삼양식품,KOSPI,66290.532,20250112,737000,759000,710000,750000,376486
003230,삼양식품,KOSPI,66290.532,20250119,750000,798000,746000,762000,274105
003230,삼양식품,KOSPI,66290.532,20250126,768000,791000,686000,710000,400379
003230,삼양식품,KOSPI,66290.532,20250202,718000,718000,681000,684000,68996
003230,삼양식품,KOSPI,66290.532,20250209,678000,828000,667000,810000,646578
003230,삼양식품,KOSPI,66290.532,20250216,812000,882000,785000,872000,400443
003230,삼양식품,KOSPI,66290.532,20250223,880000,920000,867000,906000,309724
003230,삼양식품,KOSPI,66290.532,20250302,900000,908000,848000,860000,212829
003230,삼양식품,KOSPI,66290.532,20250309,868000,940000,848000,906000,289572
003230,삼양식품,KOSPI,66290.532,20250316,905000,925000,865000,917000,251042
