종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
010120,엘에스일렉트릭,KOSPI,59370.0,20240324,87900,95800,87300,92800,2209665
010120,엘에스일렉트릭,KOSPI,59370.0,20240331,93800,101700,91600,97800,1868652
010120,엘에스일렉트릭,KOSPI,59370.0,20240407,98700,120000,92300,118600,4190561
010120,엘에스일렉트릭,KOSPI,59370.0,20240414,115800,157700,113900,139700,6127148
010120,엘에스일렉트릭,KOSPI,59370.0,20240421,139300,170000,131600,167000,7720060
010120,엘에스일렉트릭,KOSPI,59370.0,20240428,167100,178300,148000,163900,7937432
010120,엘에스일렉트릭,KOSPI,59370.0,20240505,166700,180500,159100,159800,4708708
010120,엘에스일렉트릭,KOSPI,59370.0,20240512,163000,179300,160500,178000,2837897
010120,엘에스일렉트릭,KOSPI,59370.0,20240519,179600,199000,166000,192000,4050130
010120,엘에스일렉트릭,KOSPI,59370.0,20240526,194100,235500,191600,231000,6049192
010120,엘에스일렉트릭,KOSPI,59370.0,20240602,235000,244000,213500,213500,3208111
010120,엘에스일렉트릭,KOSPI,59370.0,20240609,212500,216500,185000,186400,2706606
010120,엘에스일렉트릭,KOSPI,59370.0,20240616,184000,206000,182700,199000,3407144
010120,엘에스일렉트릭,KOSPI,59370.0,20240623,202500,213500,187500,210000,3086794
010120,엘에스일렉트릭,KOSPI,59370.0,20240630,209000,232000,194000,220500,3675706
010120,엘에스일렉트릭,KOSPI,59370.0,20240707,218000,220000,192500,193600,3099083
010120,엘에스일렉트릭,KOSPI,59370.0,20240714,194400,234000,194400,219500,4259148
010120,엘에스일렉트릭,KOSPI,59370.0,20240721,223000,236000,205500,223000,2978027
010120,엘에스일렉트릭,KOSPI,59370.0,20240728,221000,274500,198800,200500,7693996
010120,엘에스일렉트릭,KOSPI,59370.0,20240804,203000,209000,167900,169900,3971030
010120,엘에스일렉트릭,KOSPI,59370.0,20240811,161000,175900,145000,172100,3273708
010120,엘에스일렉트릭,KOSPI,59370.0,20240818,177000,183800,165200,179300,2712467
010120,엘에스일렉트릭,KOSPI,59370.0,20240825,179700,180000,166500,170300,2041069
010120,엘에스일렉트릭,KOSPI,59370.0,20240901,172100,178000,157200,166900,4095552
010120,엘에스일렉트릭,KOSPI,59370.0,20240908,166000,166100,129300,133000,3233989
010120,엘에스일렉트릭,KOSPI,59370.0,20240915,130200,150300,126200,145000,2487345
010120,엘에스일렉트릭,KOSPI,59370.0,20240922,147600,157300,147600,153100,1353159
010120,엘에스일렉트릭,KOSPI,59370.0,20240929,153100,169000,151400,160200,2047773
010120,엘에스일렉트릭,KOSPI,59370.0,20241006,160400,163600,154200,160300,706553
010120,엘에스일렉트릭,KOSPI,59370.0,20241013,161400,167500,155500,158000,969418
010120,엘에스일렉트릭,KOSPI,59370.0,20241020,158200,171700,150000,150800,2117687
010120,엘에스일렉트릭,KOSPI,59370.0,20241027,150100,158900,148700,149500,1394835
010120,엘에스일렉트릭,KOSPI,59370.0,20241103,150200,152500,141800,142700,829319
010120,엘에스일렉트릭,KOSPI,59370.0,20241110,142700,164800,140700,162000,1753921
010120,엘에스일렉트릭,KOSPI,59370.0,20241117,161900,168100,133700,139100,1851347
010120,엘에스일렉트릭,KOSPI,59370.0,20241124,137800,143900,130900,131700,1209901
010120,엘에스일렉트릭,KOSPI,59370.0,20241201,137800,151100,137200,144000,1798048
010120,엘에스일렉트릭,KOSPI,59370.0,20241208,145300,157600,141100,150900,1334660
010120,엘에스일렉트릭,KOSPI,59370.0,20241215,144900,157300,142400,157300,1342154
010120,엘에스일렉트릭,KOSPI,59370.0,20241222,158900,162500,149100,152400,1093767
010120,엘에스일렉트릭,KOSPI,59370.0,20241229,154200,164500,153000,160000,836377
010120,엘에스일렉트릭,KOSPI,59370.0,20250105,158400,176000,156700,174200,1011563
010120,엘에스일렉트릭,KOSPI,59370.0,20250112,179100,186400,168600,179100,1823982
010120,엘에스일렉트릭,KOSPI,59370.0,20250119,181300,228500,177800,222500,4159104
010120,엘에스일렉트릭,KOSPI,59370.0,20250126,222500,249000,205000,244000,4617053
010120,엘에스일렉트릭,KOSPI,59370.0,20250202,220000,231000,217000,231000,858184
010120,엘에스일렉트릭,KOSPI,59370.0,20250209,222500,229000,214500,217500,1820259
010120,엘에스일렉트릭,KOSPI,59370.0,20250216,211500,267500,206000,241500,4405896
010120,엘에스일렉트릭,KOSPI,59370.0,20250223,245000,303500,233500,276000,5934251
010120,엘에스일렉트릭,KOSPI,59370.0,20250302,268000,272500,233500,240000,2593671
010120,엘에스일렉트릭,KOSPI,59370.0,20250309,234500,260500,212500,216500,2190240
010120,엘에스일렉트릭,KOSPI,59370.0,20250316,215500,218500,197900,206500,2988102
