종목코드,종목명,시장구분,시가총액,날짜,시가,고가,저가,종가,거래량
950160,코오롱티슈진,KOSDAQ,37541.70069,20240324,12640,16900,12030,15070,6013113
950160,코오롱티슈진,KOSDAQ,37541.70069,20240331,15280,16250,12860,12950,2680695
950160,코오롱티슈진,KOSDAQ,37541.70069,20240407,12910,13450,11590,11950,893205
950160,코오롱티슈진,KOSDAQ,37541.70069,20240414,11990,12130,11200,11350,447326
950160,코오롱티슈진,KOSDAQ,37541.70069,20240421,11100,11240,10350,10630,651630
950160,코오롱티슈진,KOSDAQ,37541.70069,20240428,10580,11990,10490,11330,868604
950160,코오롱티슈진,KOSDAQ,37541.70069,20240505,11300,12440,11250,12430,290493
950160,코오롱티슈진,KOSDAQ,37541.70069,20240512,12400,12620,11930,12550,308764
950160,코오롱티슈진,KOSDAQ,37541.70069,20240519,12550,12920,12150,12440,347428
950160,코오롱티슈진,KOSDAQ,37541.70069,20240526,12450,16030,12040,13100,3629609
950160,코오롱티슈진,KOSDAQ,37541.70069,20240602,13100,14920,13000,14260,1660667
950160,코오롱티슈진,KOSDAQ,37541.70069,20240609,14460,15580,13680,14450,1189926
950160,코오롱티슈진,KOSDAQ,37541.70069,20240616,14280,15270,13950,13950,693688
950160,코오롱티슈진,KOSDAQ,37541.70069,20240623,13940,14560,13110,13310,608001
950160,코오롱티슈진,KOSDAQ,37541.70069,20240630,13310,14880,13160,13990,610963
950160,코오롱티슈진,KOSDAQ,37541.70069,20240707,14000,14870,13330,13880,745223
950160,코오롱티슈진,KOSDAQ,37541.70069,20240714,13900,18120,13420,18120,8490557
950160,코오롱티슈진,KOSDAQ,37541.70069,20240721,18490,21800,16630,17720,13348425
950160,코오롱티슈진,KOSDAQ,37541.70069,20240728,17430,18320,17030,17510,2132233
950160,코오롱티슈진,KOSDAQ,37541.70069,20240804,17590,19150,17240,17370,2205992
950160,코오롱티슈진,KOSDAQ,37541.70069,20240811,17000,17700,15090,17270,1704389
950160,코오롱티슈진,KOSDAQ,37541.70069,20240818,17330,17490,15940,16830,831938
950160,코오롱티슈진,KOSDAQ,37541.70069,20240825,16840,16840,14700,15000,947399
950160,코오롱티슈진,KOSDAQ,37541.70069,20240901,15100,15870,14730,15600,608144
950160,코오롱티슈진,KOSDAQ,37541.70069,20240908,15600,15830,13430,13890,666516
950160,코오롱티슈진,KOSDAQ,37541.70069,20240915,13500,14230,13190,13670,447723
950160,코오롱티슈진,KOSDAQ,37541.70069,20240922,13670,15280,13670,14840,371609
950160,코오롱티슈진,KOSDAQ,37541.70069,20240929,14950,15120,13700,13780,544388
950160,코오롱티슈진,KOSDAQ,37541.70069,20241006,13780,14450,13320,13840,231712
950160,코오롱티슈진,KOSDAQ,37541.70069,20241013,14040,18170,13750,16910,2341327
950160,코오롱티슈진,KOSDAQ,37541.70069,20241020,17300,17900,15800,16020,1431484
950160,코오롱티슈진,KOSDAQ,37541.70069,20241027,16020,17800,15490,16050,1251902
950160,코오롱티슈진,KOSDAQ,37541.70069,20241103,16060,16760,15700,15700,549535
950160,코오롱티슈진,KOSDAQ,37541.70069,20241110,15550,17910,15250,16570,760188
950160,코오롱티슈진,KOSDAQ,37541.70069,20241117,16580,17100,14600,16670,1109756
950160,코오롱티슈진,KOSDAQ,37541.70069,20241124,16670,17740,15600,15880,1027912
950160,코오롱티슈진,KOSDAQ,37541.70069,20241201,15880,18390,15880,17550,1760225
950160,코오롱티슈진,KOSDAQ,37541.70069,20241208,18460,24250,18320,22850,7281705
950160,코오롱티슈진,KOSDAQ,37541.70069,20241215,21550,28600,20350,27600,5191584
950160,코오롱티슈진,KOSDAQ,37541.70069,20241222,28350,28600,22100,23300,3681423
950160,코오롱티슈진,KOSDAQ,37541.70069,20241229,23400,26500,22200,22400,1941834
950160,코오롱티슈진,KOSDAQ,37541.70069,20250105,22400,26100,21950,25000,869671
950160,코오롱티슈진,KOSDAQ,37541.70069,20250112,26350,30400,25550,28600,3755694
950160,코오롱티슈진,KOSDAQ,37541.70069,20250119,28600,31450,27250,30500,1991081
950160,코오롱티슈진,KOSDAQ,37541.70069,20250126,30450,30500,27500,29150,1242212
950160,코오롱티슈진,KOSDAQ,37541.70069,20250202,29200,29900,28450,28700,137931
950160,코오롱티슈진,KOSDAQ,37541.70069,20250209,28200,32250,27250,31800,1821705
950160,코오롱티슈진,KOSDAQ,37541.70069,20250216,32000,37250,31150,36050,2752310
950160,코오롱티슈진,KOSDAQ,37541.70069,20250223,36200,40850,34850,35300,3137881
950160,코오롱티슈진,KOSDAQ,37541.70069,20250302,34000,38000,33900,36300,1094149
950160,코오롱티슈진,KOSDAQ,37541.70069,20250309,35500,41550,35500,38800,1534934
950160,코오롱티슈진,KOSDAQ,37541.70069,20250316,38750,52400,38100,51700,4235035
