날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼천당제약,000250,KOSPI,169500,174700,166800,172200,336947,0.0,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-21,삼천당제약,000250,KOSPI,172200,177000,160500,163600,582143,-4.99,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-22,삼천당제약,000250,KOSPI,169600,174800,162500,170700,941021,4.34,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-23,삼천당제약,000250,KOSPI,169700,176000,167500,173000,420755,1.35,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-24,삼천당제약,000250,KOSPI,174000,177300,170700,172000,450591,-0.58,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-31,삼천당제약,000250,KOSPI,175000,184300,174600,184000,601031,6.98,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-03,삼천당제약,000250,KOSPI,177000,177900,168200,170800,612032,-7.17,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-04,삼천당제약,000250,KOSPI,174900,175900,162000,166000,442344,-2.81,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-05,삼천당제약,000250,KOSPI,192900,211000,186000,202000,2333599,21.69,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-06,삼천당제약,000250,KOSPI,202000,212500,197000,211000,868927,4.46,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-07,삼천당제약,000250,KOSPI,207500,210500,197700,201000,740621,-4.74,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-10,삼천당제약,000250,KOSPI,197100,198600,185600,187300,748589,-6.82,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-11,삼천당제약,000250,KOSPI,189300,189500,181700,182700,410529,-2.46,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-12,삼천당제약,000250,KOSPI,186000,188500,179900,180200,433644,-1.37,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-13,삼천당제약,000250,KOSPI,180300,184100,178500,180200,364952,0.0,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-14,삼천당제약,000250,KOSPI,181300,183400,171300,175200,550392,-2.77,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-17,삼천당제약,000250,KOSPI,172900,184300,171300,181100,439052,3.37,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-18,삼천당제약,000250,KOSPI,184900,184900,176100,179500,330166,-0.88,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-19,삼천당제약,000250,KOSPI,180200,184200,177200,181000,293858,0.84,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-20,삼천당제약,000250,KOSPI,180900,183900,176300,180900,239690,-0.06,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-21,삼천당제약,000250,KOSPI,179700,183400,177300,179900,210025,-0.55,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-24,삼천당제약,000250,KOSPI,179700,188900,176800,187000,479944,3.95,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-25,삼천당제약,000250,KOSPI,185900,198500,184200,197000,506496,5.35,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-26,삼천당제약,000250,KOSPI,197000,198700,189300,190400,416248,-3.35,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-27,삼천당제약,000250,KOSPI,190400,195200,188600,188800,227110,-0.84,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-28,삼천당제약,000250,KOSPI,185200,191600,185000,185600,275344,-1.69,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-04,삼천당제약,000250,KOSPI,182200,183900,175500,181600,294140,-2.16,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-05,삼천당제약,000250,KOSPI,181800,197500,181800,192900,486522,6.22,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-06,삼천당제약,000250,KOSPI,192900,200000,191700,195100,487431,1.14,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-07,삼천당제약,000250,KOSPI,194600,204000,190600,194500,445635,-0.31,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-10,삼천당제약,000250,KOSPI,194400,199700,190600,194300,244622,-0.1,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-11,삼천당제약,000250,KOSPI,188900,195600,186400,194000,333891,-0.15,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-12,삼천당제약,000250,KOSPI,194000,197400,192700,193100,185149,-0.46,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-13,삼천당제약,000250,KOSPI,193100,201500,185500,188100,617908,-2.59,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-14,삼천당제약,000250,KOSPI,188000,197400,185600,191400,375060,1.75,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-17,삼천당제약,000250,KOSPI,191500,194900,190100,190800,217276,-0.31,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-18,삼천당제약,000250,KOSPI,190800,194500,188600,188600,253378,-1.15,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-19,삼천당제약,000250,KOSPI,189300,190500,180400,180500,407144,-4.29,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-20,삼천당제약,000250,KOSPI,180500,182000,172100,175400,410881,-2.83,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-21,삼천당제약,000250,KOSPI,174700,188800,172900,188800,461872,7.64,97,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
