날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,기아,000270,KOSPI,101500,102000,100800,101000,411505,0.0,31,KODEX 자동차
2025-01-21,기아,000270,KOSPI,102100,105300,100700,101000,1033495,0.0,31,KODEX 자동차
2025-01-22,기아,000270,KOSPI,101900,103400,100700,103000,856499,1.98,31,KODEX 자동차
2025-01-23,기아,000270,KOSPI,102500,104000,101100,102700,730474,-0.29,31,KODEX 자동차
2025-01-24,기아,000270,KOSPI,104400,104400,101000,101700,1296839,-0.97,31,KODEX 자동차
2025-01-31,기아,000270,KOSPI,100800,102800,100200,102000,909716,0.29,31,KODEX 자동차
2025-02-03,기아,000270,KOSPI,100200,100700,95000,96100,2040413,-5.78,31,KODEX 자동차
2025-02-04,기아,000270,KOSPI,99100,99200,96300,96700,1255891,0.62,31,KODEX 자동차
2025-02-05,기아,000270,KOSPI,97400,99300,97000,98100,923434,1.45,31,KODEX 자동차
2025-02-06,기아,000270,KOSPI,98300,98800,97200,98800,563800,0.71,31,KODEX 자동차
2025-02-07,기아,000270,KOSPI,97600,98900,96300,96500,991140,-2.33,31,KODEX 자동차
2025-02-10,기아,000270,KOSPI,94000,95100,93000,94600,1722666,-1.97,31,KODEX 자동차
2025-02-11,기아,000270,KOSPI,93200,95100,93200,93800,1172529,-0.85,31,KODEX 자동차
2025-02-12,기아,000270,KOSPI,93300,94100,91400,91700,1688145,-2.24,31,KODEX 자동차
2025-02-13,기아,000270,KOSPI,93800,95600,93300,94300,2326740,2.84,31,KODEX 자동차
2025-02-14,기아,000270,KOSPI,94400,95900,93700,95000,1349332,0.74,31,KODEX 자동차
2025-02-17,기아,000270,KOSPI,94300,94900,93100,94300,1049521,-0.74,31,KODEX 자동차
2025-02-18,기아,000270,KOSPI,94300,95300,93700,93900,883917,-0.42,31,KODEX 자동차
2025-02-19,기아,000270,KOSPI,92800,95800,92800,95000,1053531,1.17,31,KODEX 자동차
2025-02-20,기아,000270,KOSPI,94100,94800,93500,94500,1078110,-0.53,31,KODEX 자동차
2025-02-21,기아,000270,KOSPI,95800,96700,94300,94600,960186,0.11,31,KODEX 자동차
2025-02-24,기아,000270,KOSPI,93700,94900,93600,94900,659841,0.32,31,KODEX 자동차
2025-02-25,기아,000270,KOSPI,94000,94300,93200,93200,1001392,-1.79,31,KODEX 자동차
2025-02-26,기아,000270,KOSPI,93200,94200,93100,94100,789301,0.97,31,KODEX 자동차
2025-02-27,기아,000270,KOSPI,93700,94700,93600,94600,841391,0.53,31,KODEX 자동차
2025-02-28,기아,000270,KOSPI,93500,94400,93000,93200,1640049,-1.48,31,KODEX 자동차
2025-03-04,기아,000270,KOSPI,93100,96300,91900,93300,1312252,0.11,31,KODEX 자동차
2025-03-05,기아,000270,KOSPI,94600,96600,94400,95900,1593290,2.79,31,KODEX 자동차
2025-03-06,기아,000270,KOSPI,99000,99300,97300,98000,1778981,2.19,31,KODEX 자동차
2025-03-07,기아,000270,KOSPI,96700,97800,96100,96800,1138412,-1.22,31,KODEX 자동차
2025-03-10,기아,000270,KOSPI,95900,98400,95900,98000,1190280,1.24,31,KODEX 자동차
2025-03-11,기아,000270,KOSPI,96100,98500,96100,98400,1137146,0.41,31,KODEX 자동차
2025-03-12,기아,000270,KOSPI,98400,99400,97600,99100,1144714,0.71,31,KODEX 자동차
2025-03-13,기아,000270,KOSPI,98600,101300,98300,100400,2279252,1.31,31,KODEX 자동차
2025-03-14,기아,000270,KOSPI,100000,100600,99400,99500,1408638,-0.9,31,KODEX 자동차
2025-03-17,기아,000270,KOSPI,99700,100100,98200,98800,1892886,-0.7,31,KODEX 자동차
2025-03-18,기아,000270,KOSPI,93300,96400,93300,96400,2330983,-2.43,31,KODEX 자동차
