날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,현대건설,000720,KOSPI,26400,26500,26100,26350,378379,0.0,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-01-21,현대건설,000720,KOSPI,26350,26500,25850,26100,555259,-0.95,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-01-22,현대건설,000720,KOSPI,26200,28450,25850,28450,3258966,9.0,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-01-23,현대건설,000720,KOSPI,29000,30600,28950,29700,3642136,4.39,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-01-24,현대건설,000720,KOSPI,30000,31500,29700,31500,2539185,6.06,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-01-31,현대건설,000720,KOSPI,30600,31350,30150,31050,2004842,-1.43,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-03,현대건설,000720,KOSPI,30650,31050,29800,30800,1335046,-0.81,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-04,현대건설,000720,KOSPI,31100,31600,30650,30900,929053,0.32,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-05,현대건설,000720,KOSPI,30850,31050,30200,30450,692117,-1.46,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-06,현대건설,000720,KOSPI,30750,31800,30500,31600,1216620,3.78,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-07,현대건설,000720,KOSPI,31600,32800,31300,32400,1592325,2.53,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-10,현대건설,000720,KOSPI,32150,32750,31700,32000,959930,-1.23,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-11,현대건설,000720,KOSPI,32200,33000,32100,32700,752967,2.19,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-12,현대건설,000720,KOSPI,32050,32650,31600,32300,648044,-1.22,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-13,현대건설,000720,KOSPI,33000,34200,33000,33750,1966180,4.49,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-14,현대건설,000720,KOSPI,34400,35000,33800,34600,1532263,2.52,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-17,현대건설,000720,KOSPI,34900,35100,33950,34200,936671,-1.16,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-18,현대건설,000720,KOSPI,34450,37550,34200,37000,2889194,8.19,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-19,현대건설,000720,KOSPI,37400,37400,35950,36200,1333552,-2.16,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-20,현대건설,000720,KOSPI,36150,36150,34750,35650,1166312,-1.52,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-21,현대건설,000720,KOSPI,35700,35900,35000,35300,582188,-0.98,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-24,현대건설,000720,KOSPI,35300,35700,34400,35300,713061,0.0,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-25,현대건설,000720,KOSPI,35200,36300,33050,34450,3262793,-2.41,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-26,현대건설,000720,KOSPI,34600,35850,34550,35500,1133838,3.05,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-27,현대건설,000720,KOSPI,35450,35900,34950,35250,564298,-0.7,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-02-28,현대건설,000720,KOSPI,34850,34900,33500,33500,1098638,-4.96,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-04,현대건설,000720,KOSPI,33150,33700,32700,33250,732153,-0.75,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-05,현대건설,000720,KOSPI,33700,35400,33600,35250,1075181,6.02,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-06,현대건설,000720,KOSPI,35400,35700,35100,35250,762523,0.0,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-07,현대건설,000720,KOSPI,35200,36500,34800,35650,1163254,1.13,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-10,현대건설,000720,KOSPI,35650,36050,34900,35900,690379,0.7,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-11,현대건설,000720,KOSPI,35000,35700,33875,34000,1158249,-5.29,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-12,현대건설,000720,KOSPI,34350,35000,33450,33700,1013232,-0.88,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-13,현대건설,000720,KOSPI,33800,33900,32250,32300,1688948,-4.15,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-14,현대건설,000720,KOSPI,32500,33000,32350,32600,593839,0.93,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-17,현대건설,000720,KOSPI,32700,33000,31650,32950,578450,1.07,81,"ACE 원자력테마딥서치,TIGER 200 건설"
2025-03-18,현대건설,000720,KOSPI,32950,33600,32900,33550,558565,1.82,81,"ACE 원자력테마딥서치,TIGER 200 건설"
