날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼성화재,000810,KOSPI,365500,370000,356500,358000,76360,0.0,77,"TIGER 200 금융,KODEX 보험"
2025-01-21,삼성화재,000810,KOSPI,360000,360500,354000,355000,58112,-0.84,77,"TIGER 200 금융,KODEX 보험"
2025-01-22,삼성화재,000810,KOSPI,354000,356000,342500,344500,128716,-2.96,77,"TIGER 200 금융,KODEX 보험"
2025-01-23,삼성화재,000810,KOSPI,347000,350500,342000,342000,92061,-0.73,77,"TIGER 200 금융,KODEX 보험"
2025-01-24,삼성화재,000810,KOSPI,344500,347000,340000,341500,89258,-0.15,77,"TIGER 200 금융,KODEX 보험"
2025-01-31,삼성화재,000810,KOSPI,350000,383500,348000,381500,272051,11.71,77,"TIGER 200 금융,KODEX 보험"
2025-02-03,삼성화재,000810,KOSPI,370500,375000,366500,373500,140953,-2.1,77,"TIGER 200 금융,KODEX 보험"
2025-02-04,삼성화재,000810,KOSPI,379000,383000,369000,370000,150434,-0.94,77,"TIGER 200 금융,KODEX 보험"
2025-02-05,삼성화재,000810,KOSPI,373500,379500,361500,361500,115425,-2.3,77,"TIGER 200 금융,KODEX 보험"
2025-02-06,삼성화재,000810,KOSPI,363500,372500,361000,372500,128537,3.04,77,"TIGER 200 금융,KODEX 보험"
2025-02-07,삼성화재,000810,KOSPI,369000,374000,367000,370000,63895,-0.67,77,"TIGER 200 금융,KODEX 보험"
2025-02-10,삼성화재,000810,KOSPI,369500,372500,366000,366000,99049,-1.08,77,"TIGER 200 금융,KODEX 보험"
2025-02-11,삼성화재,000810,KOSPI,369500,370000,365500,367500,47216,0.41,77,"TIGER 200 금융,KODEX 보험"
2025-02-12,삼성화재,000810,KOSPI,363500,376000,363500,373500,115460,1.63,77,"TIGER 200 금융,KODEX 보험"
2025-02-13,삼성화재,000810,KOSPI,368000,370000,354000,358500,265042,-4.02,77,"TIGER 200 금융,KODEX 보험"
2025-02-14,삼성화재,000810,KOSPI,363000,393500,362000,392000,238237,9.34,77,"TIGER 200 금융,KODEX 보험"
2025-02-17,삼성화재,000810,KOSPI,392000,427500,389500,425000,212310,8.42,77,"TIGER 200 금융,KODEX 보험"
2025-02-18,삼성화재,000810,KOSPI,408500,413500,398500,404000,167273,-4.94,77,"TIGER 200 금융,KODEX 보험"
2025-02-19,삼성화재,000810,KOSPI,399500,412000,399000,403000,104249,-0.25,77,"TIGER 200 금융,KODEX 보험"
2025-02-20,삼성화재,000810,KOSPI,403500,413500,394000,396000,111448,-1.74,77,"TIGER 200 금융,KODEX 보험"
2025-02-21,삼성화재,000810,KOSPI,396000,396000,388000,389500,72004,-1.64,77,"TIGER 200 금융,KODEX 보험"
2025-02-24,삼성화재,000810,KOSPI,385000,395500,383000,388000,80703,-0.39,77,"TIGER 200 금융,KODEX 보험"
2025-02-25,삼성화재,000810,KOSPI,384000,391500,381000,387000,69735,-0.26,77,"TIGER 200 금융,KODEX 보험"
2025-02-26,삼성화재,000810,KOSPI,391000,400000,388000,393500,69020,1.68,77,"TIGER 200 금융,KODEX 보험"
2025-02-27,삼성화재,000810,KOSPI,394000,394000,385000,391000,52682,-0.64,77,"TIGER 200 금융,KODEX 보험"
2025-02-28,삼성화재,000810,KOSPI,391000,391000,381500,382500,166189,-2.17,77,"TIGER 200 금융,KODEX 보험"
2025-03-04,삼성화재,000810,KOSPI,378000,388000,378000,382500,54895,0.0,77,"TIGER 200 금융,KODEX 보험"
2025-03-05,삼성화재,000810,KOSPI,389000,398500,379000,387500,82538,1.31,77,"TIGER 200 금융,KODEX 보험"
2025-03-06,삼성화재,000810,KOSPI,386000,388000,374500,386000,89012,-0.39,77,"TIGER 200 금융,KODEX 보험"
2025-03-07,삼성화재,000810,KOSPI,386000,386500,372500,372500,139336,-3.5,77,"TIGER 200 금융,KODEX 보험"
2025-03-10,삼성화재,000810,KOSPI,369000,396500,369000,396500,90915,6.44,77,"TIGER 200 금융,KODEX 보험"
2025-03-11,삼성화재,000810,KOSPI,391500,394500,385500,391500,79701,-1.26,77,"TIGER 200 금융,KODEX 보험"
2025-03-12,삼성화재,000810,KOSPI,395000,398500,388500,394500,82752,0.77,77,"TIGER 200 금융,KODEX 보험"
2025-03-13,삼성화재,000810,KOSPI,391500,398000,381500,387500,105647,-1.77,77,"TIGER 200 금융,KODEX 보험"
2025-03-14,삼성화재,000810,KOSPI,389500,390000,376000,377000,77786,-2.71,77,"TIGER 200 금융,KODEX 보험"
2025-03-17,삼성화재,000810,KOSPI,380500,388000,379500,388000,57489,2.92,77,"TIGER 200 금융,KODEX 보험"
2025-03-18,삼성화재,000810,KOSPI,393000,395000,389000,394500,57910,1.68,77,"TIGER 200 금융,KODEX 보험"
