날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한화,000880,KOSPI,29800,29800,28950,29300,140401,0.0,92,PLUS 태양광&ESS
2025-01-21,한화,000880,KOSPI,29200,29500,29000,29300,112600,0.0,92,PLUS 태양광&ESS
2025-01-22,한화,000880,KOSPI,29450,31150,29200,31150,595505,6.31,92,PLUS 태양광&ESS
2025-01-23,한화,000880,KOSPI,31000,31100,30500,31000,182673,-0.48,92,PLUS 태양광&ESS
2025-01-24,한화,000880,KOSPI,31000,31500,30700,31350,310942,1.13,92,PLUS 태양광&ESS
2025-01-31,한화,000880,KOSPI,31650,31650,30350,30500,248066,-2.71,92,PLUS 태양광&ESS
2025-02-03,한화,000880,KOSPI,30050,30050,29150,29200,156855,-4.26,92,PLUS 태양광&ESS
2025-02-04,한화,000880,KOSPI,29500,30150,29250,30150,182754,3.25,92,PLUS 태양광&ESS
2025-02-05,한화,000880,KOSPI,30200,30350,29350,29400,178868,-2.49,92,PLUS 태양광&ESS
2025-02-06,한화,000880,KOSPI,29500,30950,29400,30900,259954,5.1,92,PLUS 태양광&ESS
2025-02-07,한화,000880,KOSPI,30650,31300,30400,30400,181669,-1.62,92,PLUS 태양광&ESS
2025-02-10,한화,000880,KOSPI,30000,30750,29850,30300,154652,-0.33,92,PLUS 태양광&ESS
2025-02-11,한화,000880,KOSPI,31100,32650,31050,32500,967725,7.26,92,PLUS 태양광&ESS
2025-02-12,한화,000880,KOSPI,33000,38550,32400,37700,3596243,16.0,92,PLUS 태양광&ESS
2025-02-13,한화,000880,KOSPI,37550,44100,37050,42150,4957313,11.8,92,PLUS 태양광&ESS
2025-02-14,한화,000880,KOSPI,42300,45800,40700,42700,2544526,1.3,92,PLUS 태양광&ESS
2025-02-17,한화,000880,KOSPI,42450,44300,42400,44250,401440,3.63,92,PLUS 태양광&ESS
2025-02-18,한화,000880,KOSPI,45000,50000,45000,50000,737503,12.99,92,PLUS 태양광&ESS
2025-02-19,한화,000880,KOSPI,52000,52000,47000,47900,688527,-4.2,92,PLUS 태양광&ESS
2025-02-20,한화,000880,KOSPI,46200,47400,42600,44050,2338660,-8.04,92,PLUS 태양광&ESS
2025-02-21,한화,000880,KOSPI,43100,44200,42350,43000,1018636,-2.38,92,PLUS 태양광&ESS
2025-02-24,한화,000880,KOSPI,42400,43400,41000,41800,731529,-2.79,92,PLUS 태양광&ESS
2025-02-25,한화,000880,KOSPI,41300,44600,41250,43450,1217761,3.95,92,PLUS 태양광&ESS
2025-02-26,한화,000880,KOSPI,43450,43550,41850,42550,435293,-2.07,92,PLUS 태양광&ESS
2025-02-27,한화,000880,KOSPI,43300,44200,42000,42250,689448,-0.71,92,PLUS 태양광&ESS
2025-02-28,한화,000880,KOSPI,41400,42600,40500,40550,592316,-4.02,92,PLUS 태양광&ESS
2025-03-04,한화,000880,KOSPI,41100,46100,41050,44550,1683294,9.86,92,PLUS 태양광&ESS
2025-03-05,한화,000880,KOSPI,44500,45550,43150,44350,680179,-0.45,92,PLUS 태양광&ESS
2025-03-06,한화,000880,KOSPI,44700,45900,43950,44950,692515,1.35,92,PLUS 태양광&ESS
2025-03-07,한화,000880,KOSPI,44300,48700,44100,47650,1102869,6.01,92,PLUS 태양광&ESS
2025-03-10,한화,000880,KOSPI,48550,54100,48400,52300,2278092,9.76,92,PLUS 태양광&ESS
2025-03-11,한화,000880,KOSPI,51200,54900,50600,51000,2048639,-2.49,92,PLUS 태양광&ESS
2025-03-12,한화,000880,KOSPI,50200,51300,45400,45700,2854509,-10.39,92,PLUS 태양광&ESS
2025-03-13,한화,000880,KOSPI,46050,47550,45100,45650,1433951,-0.11,92,PLUS 태양광&ESS
2025-03-14,한화,000880,KOSPI,45800,46950,45600,46050,771865,0.88,92,PLUS 태양광&ESS
2025-03-17,한화,000880,KOSPI,46800,48250,46200,46900,612089,1.85,92,PLUS 태양광&ESS
2025-03-18,한화,000880,KOSPI,49200,51400,47850,48600,1222518,3.62,92,PLUS 태양광&ESS
2025-03-19,한화,000880,KOSPI,50000,50600,48050,48650,468512,0.1,92,PLUS 태양광&ESS
2025-03-20,한화,000880,KOSPI,48850,49300,46150,47500,587898,-2.36,92,PLUS 태양광&ESS
2025-03-21,한화,000880,KOSPI,43200,43750,40900,41550,1780305,-12.53,92,PLUS 태양광&ESS
