날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,대한전선,001440,KOSPI,14190,14190,13580,13600,3508820,0.0,89,KODEX AI전력핵심설비
2025-01-21,대한전선,001440,KOSPI,13780,14100,13700,13780,2220935,1.32,89,KODEX AI전력핵심설비
2025-01-22,대한전선,001440,KOSPI,13890,14130,13790,13970,3095649,1.38,89,KODEX AI전력핵심설비
2025-01-23,대한전선,001440,KOSPI,14080,14100,13490,13530,2559723,-3.15,89,KODEX AI전력핵심설비
2025-01-24,대한전선,001440,KOSPI,13680,13910,13610,13830,1894206,2.22,89,KODEX AI전력핵심설비
2025-01-31,대한전선,001440,KOSPI,13270,13480,13020,13090,2362854,-5.35,89,KODEX AI전력핵심설비
2025-02-03,대한전선,001440,KOSPI,12850,12860,12500,12650,1793901,-3.36,89,KODEX AI전력핵심설비
2025-02-04,대한전선,001440,KOSPI,12840,13030,12750,12930,1363339,2.21,89,KODEX AI전력핵심설비
2025-02-05,대한전선,001440,KOSPI,13130,13230,12290,12790,1977570,-1.08,89,KODEX AI전력핵심설비
2025-02-06,대한전선,001440,KOSPI,13080,13220,12820,13020,2495328,1.8,89,KODEX AI전력핵심설비
2025-02-07,대한전선,001440,KOSPI,13020,13090,12570,12900,1926677,-0.92,89,KODEX AI전력핵심설비
2025-02-10,대한전선,001440,KOSPI,13090,13090,12750,12770,1465829,-1.01,89,KODEX AI전력핵심설비
2025-02-11,대한전선,001440,KOSPI,12850,13030,12690,12720,1273524,-0.39,89,KODEX AI전력핵심설비
2025-02-12,대한전선,001440,KOSPI,12660,13000,12540,12930,1760636,1.65,89,KODEX AI전력핵심설비
2025-02-13,대한전선,001440,KOSPI,13080,13240,12940,13170,2344194,1.86,89,KODEX AI전력핵심설비
2025-02-14,대한전선,001440,KOSPI,13320,13320,12900,12920,1578323,-1.9,89,KODEX AI전력핵심설비
2025-02-17,대한전선,001440,KOSPI,13000,13250,12810,13160,1727439,1.86,89,KODEX AI전력핵심설비
2025-02-18,대한전선,001440,KOSPI,13320,13780,13250,13630,4387445,3.57,89,KODEX AI전력핵심설비
2025-02-19,대한전선,001440,KOSPI,13900,13950,13290,13420,3296007,-1.54,89,KODEX AI전력핵심설비
2025-02-20,대한전선,001440,KOSPI,13370,13420,12960,12970,1962813,-3.35,89,KODEX AI전력핵심설비
2025-02-21,대한전선,001440,KOSPI,12980,13030,12830,12910,957214,-0.46,89,KODEX AI전력핵심설비
2025-02-24,대한전선,001440,KOSPI,12700,12830,12660,12750,977634,-1.24,89,KODEX AI전력핵심설비
2025-02-25,대한전선,001440,KOSPI,12650,12670,12460,12600,1000655,-1.18,89,KODEX AI전력핵심설비
2025-02-26,대한전선,001440,KOSPI,12590,12760,12580,12680,881760,0.63,89,KODEX AI전력핵심설비
2025-02-27,대한전선,001440,KOSPI,12710,12810,12500,12520,822921,-1.26,89,KODEX AI전력핵심설비
2025-02-28,대한전선,001440,KOSPI,12360,12390,12020,12020,1369681,-3.99,89,KODEX AI전력핵심설비
2025-03-04,대한전선,001440,KOSPI,11740,12180,11710,12040,674774,0.17,89,KODEX AI전력핵심설비
2025-03-05,대한전선,001440,KOSPI,12020,12340,12020,12330,714557,2.41,89,KODEX AI전력핵심설비
2025-03-06,대한전선,001440,KOSPI,12510,12770,12410,12450,1380608,0.97,89,KODEX AI전력핵심설비
2025-03-07,대한전선,001440,KOSPI,12450,12450,12220,12290,589820,-1.29,89,KODEX AI전력핵심설비
2025-03-10,대한전선,001440,KOSPI,12290,12290,12120,12150,580238,-1.14,89,KODEX AI전력핵심설비
2025-03-11,대한전선,001440,KOSPI,11800,11860,11590,11790,1139862,-2.96,89,KODEX AI전력핵심설비
2025-03-12,대한전선,001440,KOSPI,11820,11960,11730,11940,740796,1.27,89,KODEX AI전력핵심설비
2025-03-13,대한전선,001440,KOSPI,11940,12850,11940,12120,2542527,1.51,89,KODEX AI전력핵심설비
2025-03-14,대한전선,001440,KOSPI,12610,13560,12120,13010,11322204,7.34,89,KODEX AI전력핵심설비
2025-03-17,대한전선,001440,KOSPI,13150,13240,12650,12750,2775346,-2.0,89,KODEX AI전력핵심설비
2025-03-18,대한전선,001440,KOSPI,12990,13280,12790,12820,1881306,0.55,89,KODEX AI전력핵심설비
