날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,현대해상,001450,KOSPI,25550,25600,25250,25350,177878,0.0,20,KODEX 보험
2025-01-21,현대해상,001450,KOSPI,25500,25500,24950,25150,243540,-0.79,20,KODEX 보험
2025-01-22,현대해상,001450,KOSPI,25300,25400,24650,24750,324714,-1.59,20,KODEX 보험
2025-01-23,현대해상,001450,KOSPI,24750,24850,24350,24400,235126,-1.41,20,KODEX 보험
2025-01-24,현대해상,001450,KOSPI,24500,24500,23850,24000,412936,-1.64,20,KODEX 보험
2025-01-31,현대해상,001450,KOSPI,24250,24800,24200,24750,529541,3.12,20,KODEX 보험
2025-02-03,현대해상,001450,KOSPI,24400,24400,23800,24050,239853,-2.83,20,KODEX 보험
2025-02-04,현대해상,001450,KOSPI,24250,24700,24200,24500,258938,1.87,20,KODEX 보험
2025-02-05,현대해상,001450,KOSPI,24600,24750,24350,24450,296813,-0.2,20,KODEX 보험
2025-02-06,현대해상,001450,KOSPI,24500,24750,24200,24400,252342,-0.2,20,KODEX 보험
2025-02-07,현대해상,001450,KOSPI,24400,24700,24300,24450,282202,0.2,20,KODEX 보험
2025-02-10,현대해상,001450,KOSPI,24600,24600,23650,23700,388582,-3.07,20,KODEX 보험
2025-02-11,현대해상,001450,KOSPI,23700,24000,23700,24000,238417,1.27,20,KODEX 보험
2025-02-12,현대해상,001450,KOSPI,23950,24050,23800,23900,198097,-0.42,20,KODEX 보험
2025-02-13,현대해상,001450,KOSPI,23850,24000,23700,23700,367017,-0.84,20,KODEX 보험
2025-02-14,현대해상,001450,KOSPI,23850,24400,23700,24400,436893,2.95,20,KODEX 보험
2025-02-17,현대해상,001450,KOSPI,24500,24700,24200,24700,304444,1.23,20,KODEX 보험
2025-02-18,현대해상,001450,KOSPI,24700,24750,24400,24600,277374,-0.4,20,KODEX 보험
2025-02-19,현대해상,001450,KOSPI,24500,24800,24450,24600,257936,0.0,20,KODEX 보험
2025-02-20,현대해상,001450,KOSPI,24500,24750,24150,24450,320030,-0.61,20,KODEX 보험
2025-02-21,현대해상,001450,KOSPI,24350,24400,24000,24000,458272,-1.84,20,KODEX 보험
2025-02-24,현대해상,001450,KOSPI,24100,24650,24000,24350,380756,1.46,20,KODEX 보험
2025-02-25,현대해상,001450,KOSPI,24050,24350,23850,24000,421925,-1.44,20,KODEX 보험
2025-02-26,현대해상,001450,KOSPI,23950,24250,23800,23950,231388,-0.21,20,KODEX 보험
2025-02-27,현대해상,001450,KOSPI,24000,24050,23750,23950,350646,0.0,20,KODEX 보험
2025-02-28,현대해상,001450,KOSPI,23950,24000,23250,23250,699799,-2.92,20,KODEX 보험
2025-03-04,현대해상,001450,KOSPI,23250,23350,22300,22300,579788,-4.09,20,KODEX 보험
2025-03-05,현대해상,001450,KOSPI,22450,22850,22450,22700,294667,1.79,20,KODEX 보험
2025-03-06,현대해상,001450,KOSPI,22850,23200,22850,23050,275418,1.54,20,KODEX 보험
2025-03-07,현대해상,001450,KOSPI,23150,23150,22500,22500,243816,-2.39,20,KODEX 보험
2025-03-10,현대해상,001450,KOSPI,22400,23100,22200,22850,247158,1.56,20,KODEX 보험
2025-03-11,현대해상,001450,KOSPI,22300,22550,22250,22300,301805,-2.41,20,KODEX 보험
2025-03-12,현대해상,001450,KOSPI,22300,25400,22250,24750,1226862,10.99,20,KODEX 보험
2025-03-13,현대해상,001450,KOSPI,24600,24900,23300,23300,824487,-5.86,20,KODEX 보험
2025-03-14,현대해상,001450,KOSPI,23400,23400,22950,22950,296244,-1.5,20,KODEX 보험
2025-03-17,현대해상,001450,KOSPI,23100,23350,22850,22900,207197,-0.22,20,KODEX 보험
2025-03-18,현대해상,001450,KOSPI,23100,23450,23100,23200,313739,1.31,20,KODEX 보험
