날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼양식품,003230,KOSPI,768000,791000,736000,737000,98946,0.0,98,HANARO Fn K-푸드
2025-01-21,삼양식품,003230,KOSPI,748000,761000,717000,725000,87598,-1.63,98,HANARO Fn K-푸드
2025-01-22,삼양식품,003230,KOSPI,728000,730000,713000,719000,62134,-0.83,98,HANARO Fn K-푸드
2025-01-23,삼양식품,003230,KOSPI,723000,728000,686000,698000,91236,-2.92,98,HANARO Fn K-푸드
2025-01-24,삼양식품,003230,KOSPI,698000,716000,697000,710000,60465,1.72,98,HANARO Fn K-푸드
2025-01-31,삼양식품,003230,KOSPI,718000,718000,681000,684000,68996,-3.66,98,HANARO Fn K-푸드
2025-02-03,삼양식품,003230,KOSPI,678000,716000,667000,708000,87408,3.51,98,HANARO Fn K-푸드
2025-02-04,삼양식품,003230,KOSPI,708000,713000,695000,699000,51971,-1.27,98,HANARO Fn K-푸드
2025-02-05,삼양식품,003230,KOSPI,703000,720000,698000,704000,48074,0.72,98,HANARO Fn K-푸드
2025-02-06,삼양식품,003230,KOSPI,748000,828000,735000,809000,384687,14.91,98,HANARO Fn K-푸드
2025-02-07,삼양식품,003230,KOSPI,811000,817000,790000,810000,74438,0.12,98,HANARO Fn K-푸드
2025-02-10,삼양식품,003230,KOSPI,812000,813000,790000,798000,57486,-1.48,98,HANARO Fn K-푸드
2025-02-11,삼양식품,003230,KOSPI,791000,818000,785000,815000,75994,2.13,98,HANARO Fn K-푸드
2025-02-12,삼양식품,003230,KOSPI,818000,837000,804000,823000,61945,0.98,98,HANARO Fn K-푸드
2025-02-13,삼양식품,003230,KOSPI,830000,847000,797000,803000,91377,-2.43,98,HANARO Fn K-푸드
2025-02-14,삼양식품,003230,KOSPI,803000,882000,803000,872000,113641,8.59,98,HANARO Fn K-푸드
2025-02-17,삼양식품,003230,KOSPI,880000,920000,876000,886000,101666,1.61,98,HANARO Fn K-푸드
2025-02-18,삼양식품,003230,KOSPI,888000,890000,870000,874000,50957,-1.35,98,HANARO Fn K-푸드
2025-02-19,삼양식품,003230,KOSPI,885000,900000,872000,886000,48721,1.37,98,HANARO Fn K-푸드
2025-02-20,삼양식품,003230,KOSPI,886000,888000,867000,880000,36227,-0.68,98,HANARO Fn K-푸드
2025-02-21,삼양식품,003230,KOSPI,880000,919000,870000,906000,72153,2.95,98,HANARO Fn K-푸드
2025-02-24,삼양식품,003230,KOSPI,900000,908000,879000,895000,33729,-1.21,98,HANARO Fn K-푸드
2025-02-25,삼양식품,003230,KOSPI,892000,894000,863000,879000,56323,-1.79,98,HANARO Fn K-푸드
2025-02-26,삼양식품,003230,KOSPI,875000,891000,870000,876000,35620,-0.34,98,HANARO Fn K-푸드
2025-02-27,삼양식품,003230,KOSPI,873000,887000,867000,884000,33779,0.91,98,HANARO Fn K-푸드
2025-02-28,삼양식품,003230,KOSPI,870000,881000,848000,860000,53378,-2.71,98,HANARO Fn K-푸드
2025-03-04,삼양식품,003230,KOSPI,868000,889000,848000,852000,64460,-0.93,98,HANARO Fn K-푸드
2025-03-05,삼양식품,003230,KOSPI,858000,905000,851000,893000,83464,4.81,98,HANARO Fn K-푸드
2025-03-06,삼양식품,003230,KOSPI,895000,933000,875000,927000,78207,3.81,98,HANARO Fn K-푸드
2025-03-07,삼양식품,003230,KOSPI,935000,940000,894000,906000,63441,-2.27,98,HANARO Fn K-푸드
2025-03-10,삼양식품,003230,KOSPI,905000,925000,894000,897000,38094,-0.99,98,HANARO Fn K-푸드
2025-03-11,삼양식품,003230,KOSPI,885000,906000,872000,874000,60987,-2.56,98,HANARO Fn K-푸드
2025-03-12,삼양식품,003230,KOSPI,876000,890000,865000,880000,48838,0.69,98,HANARO Fn K-푸드
2025-03-13,삼양식품,003230,KOSPI,875000,906000,873000,881000,59674,0.11,98,HANARO Fn K-푸드
2025-03-14,삼양식품,003230,KOSPI,882000,920000,881000,917000,43648,4.09,98,HANARO Fn K-푸드
2025-03-17,삼양식품,003230,KOSPI,919000,927000,889000,926000,57800,0.98,98,HANARO Fn K-푸드
2025-03-18,삼양식품,003230,KOSPI,920000,949000,920000,926000,39278,0.0,98,HANARO Fn K-푸드
