날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,대한항공,003490,KOSPI,24000,24200,23850,24150,904772,0.0,45,KODEX 운송
2025-01-21,대한항공,003490,KOSPI,24200,24250,23750,24050,721888,-0.41,45,KODEX 운송
2025-01-22,대한항공,003490,KOSPI,24200,24250,23900,24050,882474,0.0,45,KODEX 운송
2025-01-23,대한항공,003490,KOSPI,24100,24650,24050,24250,1244085,0.83,45,KODEX 운송
2025-01-24,대한항공,003490,KOSPI,24400,24800,24350,24600,1282772,1.44,45,KODEX 운송
2025-01-31,대한항공,003490,KOSPI,24550,24800,24350,24800,1162529,0.81,45,KODEX 운송
2025-02-03,대한항공,003490,KOSPI,24450,24450,23350,23500,1447966,-5.24,45,KODEX 운송
2025-02-04,대한항공,003490,KOSPI,23950,24100,23550,23600,922442,0.43,45,KODEX 운송
2025-02-05,대한항공,003490,KOSPI,23750,23900,23650,23750,516309,0.64,45,KODEX 운송
2025-02-06,대한항공,003490,KOSPI,23900,24150,23850,24050,585812,1.26,45,KODEX 운송
2025-02-07,대한항공,003490,KOSPI,23950,24100,23500,23600,974946,-1.87,45,KODEX 운송
2025-02-10,대한항공,003490,KOSPI,23950,24050,23700,23900,1062228,1.27,45,KODEX 운송
2025-02-11,대한항공,003490,KOSPI,23850,23900,23500,23600,922976,-1.26,45,KODEX 운송
2025-02-12,대한항공,003490,KOSPI,23700,23700,23450,23550,609590,-0.21,45,KODEX 운송
2025-02-13,대한항공,003490,KOSPI,23700,23950,23550,23600,1069613,0.21,45,KODEX 운송
2025-02-14,대한항공,003490,KOSPI,23650,23700,23150,23250,1216982,-1.48,45,KODEX 운송
2025-02-17,대한항공,003490,KOSPI,23350,23850,23300,23850,1110851,2.58,45,KODEX 운송
2025-02-18,대한항공,003490,KOSPI,23900,24400,23850,24050,1249710,0.84,45,KODEX 운송
2025-02-19,대한항공,003490,KOSPI,24150,24400,23950,24000,945878,-0.21,45,KODEX 운송
2025-02-20,대한항공,003490,KOSPI,24000,24600,23900,24250,1283384,1.04,45,KODEX 운송
2025-02-21,대한항공,003490,KOSPI,24300,24700,24200,24450,1613177,0.82,45,KODEX 운송
2025-02-24,대한항공,003490,KOSPI,24200,24650,24200,24650,742954,0.82,45,KODEX 운송
2025-02-25,대한항공,003490,KOSPI,24600,24600,24050,24250,990384,-1.62,45,KODEX 운송
2025-02-26,대한항공,003490,KOSPI,24300,24450,24100,24150,673551,-0.41,45,KODEX 운송
2025-02-27,대한항공,003490,KOSPI,24250,24950,24200,24400,2015027,1.04,45,KODEX 운송
2025-02-28,대한항공,003490,KOSPI,24050,24150,23500,23600,1840528,-3.28,45,KODEX 운송
2025-03-04,대한항공,003490,KOSPI,23600,23950,23300,23650,775272,0.21,45,KODEX 운송
2025-03-05,대한항공,003490,KOSPI,23550,23850,23450,23650,844548,0.0,45,KODEX 운송
2025-03-06,대한항공,003490,KOSPI,24000,24350,23850,24200,1213338,2.33,45,KODEX 운송
2025-03-07,대한항공,003490,KOSPI,24150,24300,23950,24250,652015,0.21,45,KODEX 운송
2025-03-10,대한항공,003490,KOSPI,24150,24600,24000,24300,938261,0.21,45,KODEX 운송
2025-03-11,대한항공,003490,KOSPI,23800,24000,23050,23250,2136888,-4.32,45,KODEX 운송
2025-03-12,대한항공,003490,KOSPI,23300,23450,23150,23300,830046,0.22,45,KODEX 운송
2025-03-13,대한항공,003490,KOSPI,23200,23300,22700,23000,2260967,-1.29,45,KODEX 운송
2025-03-14,대한항공,003490,KOSPI,22750,22900,22500,22700,1095616,-1.3,45,KODEX 운송
2025-03-17,대한항공,003490,KOSPI,22850,23050,22750,22850,972604,0.66,45,KODEX 운송
2025-03-18,대한항공,003490,KOSPI,23000,23050,22650,22700,1074679,-0.66,45,KODEX 운송
