날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,현대제철,004020,KOSPI,21650,22700,21450,22400,801231,0.0,78,TIGER 200 철강소재
2025-01-21,현대제철,004020,KOSPI,22400,22800,22100,22400,510797,0.0,78,TIGER 200 철강소재
2025-01-22,현대제철,004020,KOSPI,22600,23300,21950,22850,707796,2.01,78,TIGER 200 철강소재
2025-01-23,현대제철,004020,KOSPI,22800,22950,22450,22850,516563,0.0,78,TIGER 200 철강소재
2025-01-24,현대제철,004020,KOSPI,22950,23600,22750,23450,670296,2.63,78,TIGER 200 철강소재
2025-01-31,현대제철,004020,KOSPI,23700,23700,23000,23150,368383,-1.28,78,TIGER 200 철강소재
2025-02-03,현대제철,004020,KOSPI,22600,22950,21750,22000,629529,-4.97,78,TIGER 200 철강소재
2025-02-04,현대제철,004020,KOSPI,22200,22550,21900,22550,363622,2.5,78,TIGER 200 철강소재
2025-02-05,현대제철,004020,KOSPI,22500,22650,22050,22150,288347,-1.77,78,TIGER 200 철강소재
2025-02-06,현대제철,004020,KOSPI,22250,22350,21950,22350,373135,0.9,78,TIGER 200 철강소재
2025-02-07,현대제철,004020,KOSPI,22150,22400,22100,22150,244164,-0.89,78,TIGER 200 철강소재
2025-02-10,현대제철,004020,KOSPI,21850,21850,21450,21700,599870,-2.03,78,TIGER 200 철강소재
2025-02-11,현대제철,004020,KOSPI,21550,21950,21400,21700,442476,0.0,78,TIGER 200 철강소재
2025-02-12,현대제철,004020,KOSPI,22050,22500,21500,21950,641621,1.15,78,TIGER 200 철강소재
2025-02-13,현대제철,004020,KOSPI,22150,23700,22050,23500,1256421,7.06,78,TIGER 200 철강소재
2025-02-14,현대제철,004020,KOSPI,23900,24400,23300,24200,893839,2.98,78,TIGER 200 철강소재
2025-02-17,현대제철,004020,KOSPI,24200,24650,24000,24550,459928,1.45,78,TIGER 200 철강소재
2025-02-18,현대제철,004020,KOSPI,24350,24650,23850,24500,483044,-0.2,78,TIGER 200 철강소재
2025-02-19,현대제철,004020,KOSPI,24350,24900,24050,24150,569136,-1.43,78,TIGER 200 철강소재
2025-02-20,현대제철,004020,KOSPI,24200,25800,23900,25550,1446196,5.8,78,TIGER 200 철강소재
2025-02-21,현대제철,004020,KOSPI,26900,28200,26350,26450,2663414,3.52,78,TIGER 200 철강소재
2025-02-24,현대제철,004020,KOSPI,26200,26500,25700,25900,742802,-2.08,78,TIGER 200 철강소재
2025-02-25,현대제철,004020,KOSPI,25600,26150,25250,25250,580468,-2.51,78,TIGER 200 철강소재
2025-02-26,현대제철,004020,KOSPI,25200,26000,25200,25900,431328,2.57,78,TIGER 200 철강소재
2025-02-27,현대제철,004020,KOSPI,25700,26900,25700,26900,736290,3.86,78,TIGER 200 철강소재
2025-02-28,현대제철,004020,KOSPI,26400,26900,25950,26650,844057,-0.93,78,TIGER 200 철강소재
2025-03-04,현대제철,004020,KOSPI,26900,27300,26000,26350,732548,-1.13,78,TIGER 200 철강소재
2025-03-05,현대제철,004020,KOSPI,26350,26900,25850,26650,454715,1.14,78,TIGER 200 철강소재
2025-03-06,현대제철,004020,KOSPI,26900,29650,26700,29300,3113389,9.94,78,TIGER 200 철강소재
2025-03-07,현대제철,004020,KOSPI,28900,32200,28750,31850,4818669,8.7,78,TIGER 200 철강소재
2025-03-10,현대제철,004020,KOSPI,31350,31400,29050,29650,1914995,-6.91,78,TIGER 200 철강소재
2025-03-11,현대제철,004020,KOSPI,28750,29250,28150,28450,1464951,-4.05,78,TIGER 200 철강소재
2025-03-12,현대제철,004020,KOSPI,28300,29750,27650,29150,1501263,2.46,78,TIGER 200 철강소재
2025-03-13,현대제철,004020,KOSPI,29150,30000,27950,30000,1716940,2.92,78,TIGER 200 철강소재
2025-03-14,현대제철,004020,KOSPI,29700,29850,28750,28800,950513,-4.0,78,TIGER 200 철강소재
2025-03-17,현대제철,004020,KOSPI,28800,29150,28300,29150,403375,1.22,78,TIGER 200 철강소재
2025-03-18,현대제철,004020,KOSPI,29250,29900,28900,29350,467568,0.69,78,TIGER 200 철강소재
2025-03-19,현대제철,004020,KOSPI,29400,29450,28400,28650,698341,-2.39,78,TIGER 200 철강소재
2025-03-20,현대제철,004020,KOSPI,28650,30300,28600,29300,961871,2.27,78,TIGER 200 철강소재
2025-03-21,현대제철,004020,KOSPI,29200,29250,28400,28800,678029,-1.71,78,TIGER 200 철강소재
