날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,현대차,005380,KOSPI,211000,212000,207500,208500,571176,0.0,29,"KODEX 200,KODEX 자동차"
2025-01-21,현대차,005380,KOSPI,210500,213000,206500,206500,833996,-0.96,29,"KODEX 200,KODEX 자동차"
2025-01-22,현대차,005380,KOSPI,207500,210000,206500,208500,832710,0.97,29,"KODEX 200,KODEX 자동차"
2025-01-23,현대차,005380,KOSPI,208000,213500,205500,209000,1032782,0.24,29,"KODEX 200,KODEX 자동차"
2025-01-24,현대차,005380,KOSPI,208000,208500,203000,205000,1077548,-1.91,29,"KODEX 200,KODEX 자동차"
2025-01-31,현대차,005380,KOSPI,204500,207500,200000,206000,986621,0.49,29,"KODEX 200,KODEX 자동차"
2025-02-03,현대차,005380,KOSPI,201000,203500,200000,202000,911137,-1.94,29,"KODEX 200,KODEX 자동차"
2025-02-04,현대차,005380,KOSPI,205000,208500,201000,201000,841947,-0.5,29,"KODEX 200,KODEX 자동차"
2025-02-05,현대차,005380,KOSPI,201500,206500,201000,204500,710413,1.74,29,"KODEX 200,KODEX 자동차"
2025-02-06,현대차,005380,KOSPI,206000,207000,203000,203500,605308,-0.49,29,"KODEX 200,KODEX 자동차"
2025-02-07,현대차,005380,KOSPI,203500,204500,200000,200500,834221,-1.47,29,"KODEX 200,KODEX 자동차"
2025-02-10,현대차,005380,KOSPI,199500,201000,197700,199400,992303,-0.55,29,"KODEX 200,KODEX 자동차"
2025-02-11,현대차,005380,KOSPI,199500,202500,198500,199400,842452,0.0,29,"KODEX 200,KODEX 자동차"
2025-02-12,현대차,005380,KOSPI,199000,200500,198100,198100,567219,-0.65,29,"KODEX 200,KODEX 자동차"
2025-02-13,현대차,005380,KOSPI,202500,210000,202000,208500,1493929,5.25,29,"KODEX 200,KODEX 자동차"
2025-02-14,현대차,005380,KOSPI,208000,210000,205500,206000,823619,-1.2,29,"KODEX 200,KODEX 자동차"
2025-02-17,현대차,005380,KOSPI,201000,202500,199500,199800,894545,-3.01,29,"KODEX 200,KODEX 자동차"
2025-02-18,현대차,005380,KOSPI,200000,201500,198900,200500,560363,0.35,29,"KODEX 200,KODEX 자동차"
2025-02-19,현대차,005380,KOSPI,198900,204500,198800,204000,854114,1.75,29,"KODEX 200,KODEX 자동차"
2025-02-20,현대차,005380,KOSPI,202500,204000,201500,203000,354026,-0.49,29,"KODEX 200,KODEX 자동차"
2025-02-21,현대차,005380,KOSPI,209000,211000,204000,206000,713842,1.48,29,"KODEX 200,KODEX 자동차"
2025-02-24,현대차,005380,KOSPI,204000,207000,203500,207000,497135,0.49,29,"KODEX 200,KODEX 자동차"
2025-02-25,현대차,005380,KOSPI,205000,205000,202000,202500,651155,-2.17,29,"KODEX 200,KODEX 자동차"
2025-02-26,현대차,005380,KOSPI,203500,207000,203000,205000,750341,1.23,29,"KODEX 200,KODEX 자동차"
2025-02-27,현대차,005380,KOSPI,200500,201000,199300,200500,890406,-2.2,29,"KODEX 200,KODEX 자동차"
2025-02-28,현대차,005380,KOSPI,198600,198800,193000,193000,1187503,-3.74,29,"KODEX 200,KODEX 자동차"
2025-03-04,현대차,005380,KOSPI,190000,195100,189200,190300,592292,-1.4,29,"KODEX 200,KODEX 자동차"
2025-03-05,현대차,005380,KOSPI,191800,197000,191800,194700,798748,2.31,29,"KODEX 200,KODEX 자동차"
2025-03-06,현대차,005380,KOSPI,199200,201000,196500,197600,659716,1.49,29,"KODEX 200,KODEX 자동차"
2025-03-07,현대차,005380,KOSPI,194800,197200,194100,196600,574321,-0.51,29,"KODEX 200,KODEX 자동차"
2025-03-10,현대차,005380,KOSPI,196600,198600,195200,197400,318730,0.41,29,"KODEX 200,KODEX 자동차"
2025-03-11,현대차,005380,KOSPI,194500,196000,192700,195600,456616,-0.91,29,"KODEX 200,KODEX 자동차"
2025-03-12,현대차,005380,KOSPI,195800,198200,195000,198200,351293,1.33,29,"KODEX 200,KODEX 자동차"
2025-03-13,현대차,005380,KOSPI,199300,201000,196200,201000,578677,1.41,29,"KODEX 200,KODEX 자동차"
2025-03-14,현대차,005380,KOSPI,199800,200500,197500,198500,473953,-1.24,29,"KODEX 200,KODEX 자동차"
2025-03-17,현대차,005380,KOSPI,198400,199000,195300,199000,369290,0.25,29,"KODEX 200,KODEX 자동차"
2025-03-18,현대차,005380,KOSPI,199500,202000,199300,200500,529458,0.75,29,"KODEX 200,KODEX 자동차"
