날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,POSCO홀딩스,005490,KOSPI,262500,272500,262000,271000,440938,0.0,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-21,POSCO홀딩스,005490,KOSPI,270000,272000,257000,258000,407749,-4.8,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-22,POSCO홀딩스,005490,KOSPI,260500,266500,260500,264000,242748,2.33,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-23,POSCO홀딩스,005490,KOSPI,262500,263000,257000,259500,189906,-1.7,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-24,POSCO홀딩스,005490,KOSPI,259500,263000,257000,261500,182584,0.77,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-01-31,POSCO홀딩스,005490,KOSPI,266000,266500,258000,260500,210802,-0.38,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-03,POSCO홀딩스,005490,KOSPI,256500,256500,247000,248500,402340,-4.61,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-04,POSCO홀딩스,005490,KOSPI,250000,252000,236000,236500,839230,-4.83,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-05,POSCO홀딩스,005490,KOSPI,238000,243500,238000,242000,370345,2.33,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-06,POSCO홀딩스,005490,KOSPI,242500,243000,239000,242500,243074,0.21,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-07,POSCO홀딩스,005490,KOSPI,240500,244500,239000,239000,219950,-1.44,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-10,POSCO홀딩스,005490,KOSPI,233500,237500,227500,237000,455071,-0.84,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-11,POSCO홀딩스,005490,KOSPI,234500,238500,233000,235000,310281,-0.84,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-12,POSCO홀딩스,005490,KOSPI,233000,234000,229500,230500,345800,-1.91,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-13,POSCO홀딩스,005490,KOSPI,232500,246500,232000,246500,823835,6.94,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-14,POSCO홀딩스,005490,KOSPI,246500,249500,242500,247000,267360,0.2,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-17,POSCO홀딩스,005490,KOSPI,247000,252000,246000,250000,268640,1.21,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-18,POSCO홀딩스,005490,KOSPI,250500,251000,246500,248500,179534,-0.6,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-19,POSCO홀딩스,005490,KOSPI,248500,262000,248500,258500,530138,4.02,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-20,POSCO홀딩스,005490,KOSPI,260500,271000,258500,268500,596260,3.87,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-21,POSCO홀딩스,005490,KOSPI,276000,290000,273500,282000,1048438,5.03,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-24,POSCO홀딩스,005490,KOSPI,281000,284500,278500,281000,420927,-0.35,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-25,POSCO홀딩스,005490,KOSPI,283000,284000,274000,274500,350848,-2.31,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-26,POSCO홀딩스,005490,KOSPI,272500,285000,272000,282000,465225,2.73,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-27,POSCO홀딩스,005490,KOSPI,282000,284000,277000,281000,289593,-0.35,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-02-28,POSCO홀딩스,005490,KOSPI,275500,279000,271000,272500,462786,-3.02,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-04,POSCO홀딩스,005490,KOSPI,274500,276500,266000,268000,397751,-1.65,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-05,POSCO홀딩스,005490,KOSPI,266000,280000,266000,276500,334927,3.17,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-06,POSCO홀딩스,005490,KOSPI,283500,303500,282000,295500,1097274,6.87,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-07,POSCO홀딩스,005490,KOSPI,295500,322500,292500,317000,1586405,7.28,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-10,POSCO홀딩스,005490,KOSPI,314000,314500,302500,310500,701440,-2.05,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-11,POSCO홀딩스,005490,KOSPI,298500,301000,294000,296500,624586,-4.51,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-12,POSCO홀딩스,005490,KOSPI,296500,320000,296000,314000,742490,5.9,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-13,POSCO홀딩스,005490,KOSPI,319500,319500,309500,312500,596974,-0.48,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-14,POSCO홀딩스,005490,KOSPI,311000,314500,304500,304500,366199,-2.56,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-17,POSCO홀딩스,005490,KOSPI,304500,314000,304500,307000,328872,0.82,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
2025-03-18,POSCO홀딩스,005490,KOSPI,309000,314000,305000,305000,302175,-0.65,43,"TIGER 200 철강소재,TIGER 2차전지TOP10,SOL 2차전지소부장Fn"
