날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,파미셀,005690,KOSPI,8350,8650,8210,8500,479838,0.0,97,KIWOOM Fn유전자혁신기술
2025-01-21,파미셀,005690,KOSPI,8480,8880,8430,8700,564569,2.35,97,KIWOOM Fn유전자혁신기술
2025-01-22,파미셀,005690,KOSPI,8780,9250,8780,9030,814846,3.79,97,KIWOOM Fn유전자혁신기술
2025-01-23,파미셀,005690,KOSPI,8970,9230,8870,9080,587391,0.55,97,KIWOOM Fn유전자혁신기술
2025-01-24,파미셀,005690,KOSPI,9080,9200,8960,9170,398441,0.99,97,KIWOOM Fn유전자혁신기술
2025-01-31,파미셀,005690,KOSPI,8970,8970,7520,7980,2371460,-12.98,97,KIWOOM Fn유전자혁신기술
2025-02-03,파미셀,005690,KOSPI,7780,7890,7150,7340,1653938,-8.02,97,KIWOOM Fn유전자혁신기술
2025-02-04,파미셀,005690,KOSPI,7410,8100,7400,7940,835491,8.17,97,KIWOOM Fn유전자혁신기술
2025-02-05,파미셀,005690,KOSPI,8190,8790,7960,8500,971614,7.05,97,KIWOOM Fn유전자혁신기술
2025-02-06,파미셀,005690,KOSPI,8780,8790,8420,8790,474201,3.41,97,KIWOOM Fn유전자혁신기술
2025-02-07,파미셀,005690,KOSPI,8780,9200,8750,8890,539377,1.14,97,KIWOOM Fn유전자혁신기술
2025-02-10,파미셀,005690,KOSPI,8830,10350,8760,9690,6201282,9.0,97,KIWOOM Fn유전자혁신기술
2025-02-11,파미셀,005690,KOSPI,9690,9890,9390,9550,1323491,-1.44,97,KIWOOM Fn유전자혁신기술
2025-02-12,파미셀,005690,KOSPI,9590,9620,9140,9370,707323,-1.88,97,KIWOOM Fn유전자혁신기술
2025-02-13,파미셀,005690,KOSPI,9380,11140,9110,10820,5972051,15.47,97,KIWOOM Fn유전자혁신기술
2025-02-14,파미셀,005690,KOSPI,10990,11800,10640,11000,4210099,1.66,97,KIWOOM Fn유전자혁신기술
2025-02-17,파미셀,005690,KOSPI,11000,11020,10340,10670,1612133,-3.0,97,KIWOOM Fn유전자혁신기술
2025-02-18,파미셀,005690,KOSPI,10850,11610,10320,11480,2993913,7.59,97,KIWOOM Fn유전자혁신기술
2025-02-19,파미셀,005690,KOSPI,11450,11580,10990,11090,1021769,-3.4,97,KIWOOM Fn유전자혁신기술
2025-02-20,파미셀,005690,KOSPI,11090,11170,10580,10830,884037,-2.34,97,KIWOOM Fn유전자혁신기술
2025-02-21,파미셀,005690,KOSPI,10930,11750,10880,11300,2665227,4.34,97,KIWOOM Fn유전자혁신기술
2025-02-24,파미셀,005690,KOSPI,11300,11430,10590,10620,1414545,-6.02,97,KIWOOM Fn유전자혁신기술
2025-02-25,파미셀,005690,KOSPI,10500,10800,10270,10680,879135,0.56,97,KIWOOM Fn유전자혁신기술
2025-02-26,파미셀,005690,KOSPI,10840,11250,10540,11130,1455083,4.21,97,KIWOOM Fn유전자혁신기술
2025-02-27,파미셀,005690,KOSPI,11230,11650,10400,10490,1236271,-5.75,97,KIWOOM Fn유전자혁신기술
2025-02-28,파미셀,005690,KOSPI,10090,10320,9610,10100,1215167,-3.72,97,KIWOOM Fn유전자혁신기술
2025-03-04,파미셀,005690,KOSPI,9980,10260,9580,10050,962403,-0.5,97,KIWOOM Fn유전자혁신기술
2025-03-05,파미셀,005690,KOSPI,10120,10940,10120,10700,1486178,6.47,97,KIWOOM Fn유전자혁신기술
2025-03-06,파미셀,005690,KOSPI,10880,10890,10140,10200,702377,-4.67,97,KIWOOM Fn유전자혁신기술
2025-03-07,파미셀,005690,KOSPI,10070,10640,9920,10150,828822,-0.49,97,KIWOOM Fn유전자혁신기술
2025-03-10,파미셀,005690,KOSPI,10220,10470,9950,10270,605556,1.18,97,KIWOOM Fn유전자혁신기술
2025-03-11,파미셀,005690,KOSPI,9880,11640,9770,11270,5241549,9.74,97,KIWOOM Fn유전자혁신기술
2025-03-12,파미셀,005690,KOSPI,11420,12400,11340,12250,6148489,8.7,97,KIWOOM Fn유전자혁신기술
2025-03-13,파미셀,005690,KOSPI,12300,12920,12180,12640,2727424,3.18,97,KIWOOM Fn유전자혁신기술
2025-03-14,파미셀,005690,KOSPI,12700,12700,11470,12360,2093136,-2.22,97,KIWOOM Fn유전자혁신기술
2025-03-17,파미셀,005690,KOSPI,12360,12530,12110,12290,967960,-0.57,97,KIWOOM Fn유전자혁신기술
2025-03-18,파미셀,005690,KOSPI,12290,12440,11800,12340,1581296,0.41,97,KIWOOM Fn유전자혁신기술
