날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,DB손해보험,005830,KOSPI,93800,95200,93100,93800,107594,0.0,46,KODEX 보험
2025-01-21,DB손해보험,005830,KOSPI,94300,94800,93000,93300,134327,-0.53,46,KODEX 보험
2025-01-22,DB손해보험,005830,KOSPI,93700,94000,90300,91600,228972,-1.82,46,KODEX 보험
2025-01-23,DB손해보험,005830,KOSPI,91800,92400,90700,91800,153139,0.22,46,KODEX 보험
2025-01-24,DB손해보험,005830,KOSPI,91800,93600,91300,91600,170187,-0.22,46,KODEX 보험
2025-01-31,DB손해보험,005830,KOSPI,93400,97300,92000,97100,266219,6.0,46,KODEX 보험
2025-02-03,DB손해보험,005830,KOSPI,96100,99200,95500,98800,334597,1.75,46,KODEX 보험
2025-02-04,DB손해보험,005830,KOSPI,99900,101500,99100,100000,363305,1.21,46,KODEX 보험
2025-02-05,DB손해보험,005830,KOSPI,99600,101000,98400,98900,207393,-1.1,46,KODEX 보험
2025-02-06,DB손해보험,005830,KOSPI,100000,101900,99200,100400,188270,1.52,46,KODEX 보험
2025-02-07,DB손해보험,005830,KOSPI,98400,102400,97400,101200,225043,0.8,46,KODEX 보험
2025-02-10,DB손해보험,005830,KOSPI,101200,102500,100600,100600,175159,-0.59,46,KODEX 보험
2025-02-11,DB손해보험,005830,KOSPI,100500,102200,99800,100200,163368,-0.4,46,KODEX 보험
2025-02-12,DB손해보험,005830,KOSPI,101200,102000,100400,101000,135156,0.8,46,KODEX 보험
2025-02-13,DB손해보험,005830,KOSPI,100000,100800,97700,98300,291703,-2.67,46,KODEX 보험
2025-02-14,DB손해보험,005830,KOSPI,98000,103000,97700,102100,263100,3.87,46,KODEX 보험
2025-02-17,DB손해보험,005830,KOSPI,102100,103300,100800,102900,80695,0.78,46,KODEX 보험
2025-02-18,DB손해보험,005830,KOSPI,101700,103900,101300,103200,112136,0.29,46,KODEX 보험
2025-02-19,DB손해보험,005830,KOSPI,102000,102300,100900,100900,235810,-2.23,46,KODEX 보험
2025-02-20,DB손해보험,005830,KOSPI,99900,101800,99800,100800,173910,-0.1,46,KODEX 보험
2025-02-21,DB손해보험,005830,KOSPI,101300,101300,98400,98900,184220,-1.88,46,KODEX 보험
2025-02-24,DB손해보험,005830,KOSPI,98500,99200,97100,98000,147869,-0.91,46,KODEX 보험
2025-02-25,DB손해보험,005830,KOSPI,97100,98400,94600,94900,287038,-3.16,46,KODEX 보험
2025-02-26,DB손해보험,005830,KOSPI,94500,95900,93300,94400,299764,-0.53,46,KODEX 보험
2025-02-27,DB손해보험,005830,KOSPI,92900,94000,90600,93500,309722,-0.95,46,KODEX 보험
2025-02-28,DB손해보험,005830,KOSPI,92300,93000,90800,91400,418765,-2.25,46,KODEX 보험
2025-03-04,DB손해보험,005830,KOSPI,92200,93300,90800,91700,216748,0.33,46,KODEX 보험
2025-03-05,DB손해보험,005830,KOSPI,92300,94600,91900,92700,208647,1.09,46,KODEX 보험
2025-03-06,DB손해보험,005830,KOSPI,93000,94000,92100,93400,137933,0.76,46,KODEX 보험
2025-03-07,DB손해보험,005830,KOSPI,94500,94600,91500,91500,225961,-2.03,46,KODEX 보험
2025-03-10,DB손해보험,005830,KOSPI,91600,94200,91200,93600,186867,2.3,46,KODEX 보험
2025-03-11,DB손해보험,005830,KOSPI,92100,94400,91900,93600,190404,0.0,46,KODEX 보험
2025-03-12,DB손해보험,005830,KOSPI,94800,97800,94200,97200,244329,3.85,46,KODEX 보험
2025-03-13,DB손해보험,005830,KOSPI,96300,97500,95600,96100,284262,-1.13,46,KODEX 보험
2025-03-14,DB손해보험,005830,KOSPI,96600,96700,94800,94900,113583,-1.25,46,KODEX 보험
2025-03-17,DB손해보험,005830,KOSPI,94000,95600,93900,95200,215098,0.32,46,KODEX 보험
2025-03-18,DB손해보험,005830,KOSPI,95600,97700,95200,96900,132551,1.79,46,KODEX 보험
