날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼성전자,005930,KOSPI,53600,53900,53300,53400,11822531,0.0,37,"KODEX 200,KODEX 반도체"
2025-01-21,삼성전자,005930,KOSPI,53700,54300,53300,53500,13535702,0.19,37,"KODEX 200,KODEX 반도체"
2025-01-22,삼성전자,005930,KOSPI,53400,54400,53100,54300,18341991,1.5,37,"KODEX 200,KODEX 반도체"
2025-01-23,삼성전자,005930,KOSPI,53700,54100,53500,53700,15588067,-1.1,37,"KODEX 200,KODEX 반도체"
2025-01-24,삼성전자,005930,KOSPI,53600,53800,53200,53700,11867631,0.0,37,"KODEX 200,KODEX 반도체"
2025-01-31,삼성전자,005930,KOSPI,52200,53000,51700,52400,42186279,-2.42,37,"KODEX 200,KODEX 반도체"
2025-02-03,삼성전자,005930,KOSPI,51100,51400,50800,51000,32344897,-2.67,37,"KODEX 200,KODEX 반도체"
2025-02-04,삼성전자,005930,KOSPI,51600,53600,51500,52700,27214851,3.33,37,"KODEX 200,KODEX 반도체"
2025-02-05,삼성전자,005930,KOSPI,53600,53800,52800,52900,15974885,0.38,37,"KODEX 200,KODEX 반도체"
2025-02-06,삼성전자,005930,KOSPI,53400,54000,53200,54000,16466025,2.08,37,"KODEX 200,KODEX 반도체"
2025-02-07,삼성전자,005930,KOSPI,53900,54200,53600,53700,14476866,-0.56,37,"KODEX 200,KODEX 반도체"
2025-02-10,삼성전자,005930,KOSPI,53000,55900,52900,55600,27577591,3.54,37,"KODEX 200,KODEX 반도체"
2025-02-11,삼성전자,005930,KOSPI,55500,56300,55000,55700,24596196,0.18,37,"KODEX 200,KODEX 반도체"
2025-02-12,삼성전자,005930,KOSPI,55100,55900,54500,55800,26428596,0.18,37,"KODEX 200,KODEX 반도체"
2025-02-13,삼성전자,005930,KOSPI,56100,56400,55600,55800,22448377,0.0,37,"KODEX 200,KODEX 반도체"
2025-02-14,삼성전자,005930,KOSPI,56000,57300,56000,56000,23979779,0.36,37,"KODEX 200,KODEX 반도체"
2025-02-17,삼성전자,005930,KOSPI,56100,56500,55700,56000,11916027,0.0,37,"KODEX 200,KODEX 반도체"
2025-02-18,삼성전자,005930,KOSPI,56200,57200,55900,56900,22131007,1.61,37,"KODEX 200,KODEX 반도체"
2025-02-19,삼성전자,005930,KOSPI,57400,58900,57300,58700,25395151,3.16,37,"KODEX 200,KODEX 반도체"
2025-02-20,삼성전자,005930,KOSPI,59100,59100,58100,58400,21589059,-0.51,37,"KODEX 200,KODEX 반도체"
2025-02-21,삼성전자,005930,KOSPI,58400,58500,57100,58200,22198428,-0.34,37,"KODEX 200,KODEX 반도체"
2025-02-24,삼성전자,005930,KOSPI,57300,57700,57200,57300,14138471,-1.55,37,"KODEX 200,KODEX 반도체"
2025-02-25,삼성전자,005930,KOSPI,56600,57800,56500,57200,14625181,-0.17,37,"KODEX 200,KODEX 반도체"
2025-02-26,삼성전자,005930,KOSPI,57000,57100,56100,56600,18117091,-1.05,37,"KODEX 200,KODEX 반도체"
2025-02-27,삼성전자,005930,KOSPI,56500,57100,56200,56300,14975356,-0.53,37,"KODEX 200,KODEX 반도체"
2025-02-28,삼성전자,005930,KOSPI,55400,55700,54500,54500,28036698,-3.2,37,"KODEX 200,KODEX 반도체"
2025-03-04,삼성전자,005930,KOSPI,53900,55000,53800,54500,18553933,0.0,37,"KODEX 200,KODEX 반도체"
2025-03-05,삼성전자,005930,KOSPI,55100,55400,54000,54000,16578817,-0.92,37,"KODEX 200,KODEX 반도체"
2025-03-06,삼성전자,005930,KOSPI,54100,54500,54000,54300,12258101,0.56,37,"KODEX 200,KODEX 반도체"
2025-03-07,삼성전자,005930,KOSPI,53500,54200,53400,53700,14274992,-1.1,37,"KODEX 200,KODEX 반도체"
2025-03-10,삼성전자,005930,KOSPI,53500,54800,53500,53700,12921670,0.0,37,"KODEX 200,KODEX 반도체"
2025-03-11,삼성전자,005930,KOSPI,52500,54100,52500,53600,17740891,-0.19,37,"KODEX 200,KODEX 반도체"
2025-03-12,삼성전자,005930,KOSPI,53800,55300,53600,54900,17973221,2.43,37,"KODEX 200,KODEX 반도체"
2025-03-13,삼성전자,005930,KOSPI,55800,55900,54200,54700,24132151,-0.36,37,"KODEX 200,KODEX 반도체"
2025-03-14,삼성전자,005930,KOSPI,54500,55100,54400,54700,10845154,0.0,37,"KODEX 200,KODEX 반도체"
2025-03-17,삼성전자,005930,KOSPI,55500,57800,55400,57600,35559021,5.3,37,"KODEX 200,KODEX 반도체"
2025-03-18,삼성전자,005930,KOSPI,58800,59000,57300,57600,29153850,0.0,37,"KODEX 200,KODEX 반도체"
