날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,NH투자증권,005940,KOSPI,13910,14390,13910,14210,754997,0.0,78,KODEX 증권
2025-01-21,NH투자증권,005940,KOSPI,14270,14290,14110,14200,414440,-0.07,78,KODEX 증권
2025-01-22,NH투자증권,005940,KOSPI,14290,14320,14150,14250,442623,0.35,78,KODEX 증권
2025-01-23,NH투자증권,005940,KOSPI,14290,14470,14240,14290,532125,0.28,78,KODEX 증권
2025-01-24,NH투자증권,005940,KOSPI,14300,14370,14150,14270,350778,-0.14,78,KODEX 증권
2025-01-31,NH투자증권,005940,KOSPI,14460,14460,14160,14440,454127,1.19,78,KODEX 증권
2025-02-03,NH투자증권,005940,KOSPI,14170,14300,14080,14240,622515,-1.39,78,KODEX 증권
2025-02-04,NH투자증권,005940,KOSPI,14250,14350,14150,14270,335651,0.21,78,KODEX 증권
2025-02-05,NH투자증권,005940,KOSPI,14300,14400,14170,14200,457406,-0.49,78,KODEX 증권
2025-02-06,NH투자증권,005940,KOSPI,14290,14310,13930,14010,646064,-1.34,78,KODEX 증권
2025-02-07,NH투자증권,005940,KOSPI,13940,14550,13930,14530,1179462,3.71,78,KODEX 증권
2025-02-10,NH투자증권,005940,KOSPI,14510,14680,14390,14540,710042,0.07,78,KODEX 증권
2025-02-11,NH투자증권,005940,KOSPI,14540,14690,14400,14530,472395,-0.07,78,KODEX 증권
2025-02-12,NH투자증권,005940,KOSPI,14670,14900,14560,14770,572971,1.65,78,KODEX 증권
2025-02-13,NH투자증권,005940,KOSPI,14790,14800,14430,14510,717513,-1.76,78,KODEX 증권
2025-02-14,NH투자증권,005940,KOSPI,14500,14850,14500,14740,562799,1.59,78,KODEX 증권
2025-02-17,NH투자증권,005940,KOSPI,14870,15250,14800,15140,599395,2.71,78,KODEX 증권
2025-02-18,NH투자증권,005940,KOSPI,15140,15240,14970,15060,420849,-0.53,78,KODEX 증권
2025-02-19,NH투자증권,005940,KOSPI,15020,15200,14990,15160,470630,0.66,78,KODEX 증권
2025-02-20,NH투자증권,005940,KOSPI,15010,15320,15010,15150,650232,-0.07,78,KODEX 증권
2025-02-21,NH투자증권,005940,KOSPI,15150,15230,14900,15090,269074,-0.4,78,KODEX 증권
2025-02-24,NH투자증권,005940,KOSPI,15040,15110,14970,15020,220743,-0.46,78,KODEX 증권
2025-02-25,NH투자증권,005940,KOSPI,14950,15230,14940,15160,503646,0.93,78,KODEX 증권
2025-02-26,NH투자증권,005940,KOSPI,15200,15340,15160,15280,431228,0.79,78,KODEX 증권
2025-02-27,NH투자증권,005940,KOSPI,15210,15320,15080,15320,346623,0.26,78,KODEX 증권
2025-02-28,NH투자증권,005940,KOSPI,15240,15260,14890,14890,1404885,-2.81,78,KODEX 증권
2025-03-04,NH투자증권,005940,KOSPI,15000,15140,14800,14920,379737,0.2,78,KODEX 증권
2025-03-05,NH투자증권,005940,KOSPI,14990,15060,14470,14680,645556,-1.61,78,KODEX 증권
2025-03-06,NH투자증권,005940,KOSPI,14850,14960,14600,14940,310420,1.77,78,KODEX 증권
2025-03-07,NH투자증권,005940,KOSPI,15050,15070,14820,14850,388194,-0.6,78,KODEX 증권
2025-03-10,NH투자증권,005940,KOSPI,14770,14850,14610,14610,630656,-1.62,78,KODEX 증권
2025-03-11,NH투자증권,005940,KOSPI,14490,14610,14430,14460,501573,-1.03,78,KODEX 증권
2025-03-12,NH투자증권,005940,KOSPI,14500,14650,14430,14600,564498,0.97,78,KODEX 증권
2025-03-13,NH투자증권,005940,KOSPI,14500,14890,14500,14730,1015834,0.89,78,KODEX 증권
2025-03-14,NH투자증권,005940,KOSPI,14660,14700,14460,14490,425011,-1.63,78,KODEX 증권
2025-03-17,NH투자증권,005940,KOSPI,14600,15040,14590,15040,717687,3.8,78,KODEX 증권
2025-03-18,NH투자증권,005940,KOSPI,15080,15340,14990,15150,590268,0.73,78,KODEX 증권
