날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,미래에셋증권,006800,KOSPI,8130,8250,8130,8160,317194,0.0,77,KODEX 증권
2025-01-21,미래에셋증권,006800,KOSPI,8250,8270,8130,8180,246672,0.25,77,KODEX 증권
2025-01-22,미래에셋증권,006800,KOSPI,8260,8290,8200,8220,412836,0.49,77,KODEX 증권
2025-01-23,미래에셋증권,006800,KOSPI,8250,8310,8130,8130,449631,-1.09,77,KODEX 증권
2025-01-24,미래에셋증권,006800,KOSPI,8170,8250,8150,8220,307114,1.11,77,KODEX 증권
2025-01-31,미래에셋증권,006800,KOSPI,8310,8450,8240,8430,663170,2.55,77,KODEX 증권
2025-02-03,미래에셋증권,006800,KOSPI,8310,8310,8120,8200,521143,-2.73,77,KODEX 증권
2025-02-04,미래에셋증권,006800,KOSPI,8250,8390,8230,8350,457614,1.83,77,KODEX 증권
2025-02-05,미래에셋증권,006800,KOSPI,8370,8450,8330,8380,294871,0.36,77,KODEX 증권
2025-02-06,미래에셋증권,006800,KOSPI,8430,8470,8290,8400,402768,0.24,77,KODEX 증권
2025-02-07,미래에셋증권,006800,KOSPI,8330,8440,8270,8270,366777,-1.55,77,KODEX 증권
2025-02-10,미래에셋증권,006800,KOSPI,8220,8310,8140,8140,568172,-1.57,77,KODEX 증권
2025-02-11,미래에셋증권,006800,KOSPI,8200,8280,8140,8190,398994,0.61,77,KODEX 증권
2025-02-12,미래에셋증권,006800,KOSPI,8240,8440,8210,8360,596493,2.08,77,KODEX 증권
2025-02-13,미래에셋증권,006800,KOSPI,8370,8370,8210,8370,599265,0.12,77,KODEX 증권
2025-02-14,미래에셋증권,006800,KOSPI,8390,8470,8330,8460,444962,1.08,77,KODEX 증권
2025-02-17,미래에셋증권,006800,KOSPI,8470,8690,8430,8620,660991,1.89,77,KODEX 증권
2025-02-18,미래에셋증권,006800,KOSPI,8570,8650,8530,8560,593805,-0.7,77,KODEX 증권
2025-02-19,미래에셋증권,006800,KOSPI,8550,8870,8550,8840,907428,3.27,77,KODEX 증권
2025-02-20,미래에셋증권,006800,KOSPI,8760,8880,8720,8860,350200,0.23,77,KODEX 증권
2025-02-21,미래에셋증권,006800,KOSPI,8860,8860,8630,8660,499080,-2.26,77,KODEX 증권
2025-02-24,미래에셋증권,006800,KOSPI,8610,8650,8510,8600,362588,-0.69,77,KODEX 증권
2025-02-25,미래에셋증권,006800,KOSPI,8550,8850,8530,8770,752590,1.98,77,KODEX 증권
2025-02-26,미래에셋증권,006800,KOSPI,8800,9000,8760,9000,968282,2.62,77,KODEX 증권
2025-02-27,미래에셋증권,006800,KOSPI,8950,9010,8790,8920,550811,-0.89,77,KODEX 증권
2025-02-28,미래에셋증권,006800,KOSPI,8800,8830,8620,8740,1198728,-2.02,77,KODEX 증권
2025-03-04,미래에셋증권,006800,KOSPI,8660,8760,8510,8510,502920,-2.63,77,KODEX 증권
2025-03-05,미래에셋증권,006800,KOSPI,8510,8660,8360,8480,435693,-0.35,77,KODEX 증권
2025-03-06,미래에셋증권,006800,KOSPI,8500,9190,8490,9120,1693231,7.55,77,KODEX 증권
2025-03-07,미래에셋증권,006800,KOSPI,9100,9200,9010,9180,1068365,0.66,77,KODEX 증권
2025-03-10,미래에셋증권,006800,KOSPI,9170,9340,9080,9290,970269,1.2,77,KODEX 증권
2025-03-11,미래에셋증권,006800,KOSPI,9070,9280,9070,9130,667761,-1.72,77,KODEX 증권
2025-03-12,미래에셋증권,006800,KOSPI,9130,9470,9130,9390,1123505,2.85,77,KODEX 증권
2025-03-13,미래에셋증권,006800,KOSPI,9430,9750,9380,9630,2343589,2.56,77,KODEX 증권
2025-03-14,미래에셋증권,006800,KOSPI,9560,9650,9440,9550,799547,-0.83,77,KODEX 증권
2025-03-17,미래에셋증권,006800,KOSPI,9560,9920,9560,9920,2323172,3.87,77,KODEX 증권
2025-03-18,미래에셋증권,006800,KOSPI,9920,9950,9810,9870,902875,-0.5,77,KODEX 증권
