날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,호텔신라,008770,KOSPI,39450,39450,38900,39250,60672,0.0,22,TIGER 여행레저
2025-01-21,호텔신라,008770,KOSPI,39400,39650,38700,39300,85569,0.13,22,TIGER 여행레저
2025-01-22,호텔신라,008770,KOSPI,39650,39650,39100,39100,59037,-0.51,22,TIGER 여행레저
2025-01-23,호텔신라,008770,KOSPI,39450,39500,38900,38950,74529,-0.38,22,TIGER 여행레저
2025-01-24,호텔신라,008770,KOSPI,38950,39650,38950,39450,103014,1.28,22,TIGER 여행레저
2025-01-31,호텔신라,008770,KOSPI,39800,39850,37500,38300,165424,-2.92,22,TIGER 여행레저
2025-02-03,호텔신라,008770,KOSPI,37500,37750,36300,37400,191131,-2.35,22,TIGER 여행레저
2025-02-04,호텔신라,008770,KOSPI,37400,38550,37350,38400,134470,2.67,22,TIGER 여행레저
2025-02-05,호텔신라,008770,KOSPI,38700,39250,38300,39200,124942,2.08,22,TIGER 여행레저
2025-02-06,호텔신라,008770,KOSPI,39250,40000,39200,39900,241790,1.79,22,TIGER 여행레저
2025-02-07,호텔신라,008770,KOSPI,39550,39900,38900,39400,71881,-1.25,22,TIGER 여행레저
2025-02-10,호텔신라,008770,KOSPI,39450,39750,38800,39600,72033,0.51,22,TIGER 여행레저
2025-02-11,호텔신라,008770,KOSPI,39500,39950,39400,39750,63156,0.38,22,TIGER 여행레저
2025-02-12,호텔신라,008770,KOSPI,39950,40650,39600,40100,111161,0.88,22,TIGER 여행레저
2025-02-13,호텔신라,008770,KOSPI,40050,40500,39900,40500,148013,1.0,22,TIGER 여행레저
2025-02-14,호텔신라,008770,KOSPI,40650,40800,39300,39650,129004,-2.1,22,TIGER 여행레저
2025-02-17,호텔신라,008770,KOSPI,39650,39700,39000,39550,54338,-0.25,22,TIGER 여행레저
2025-02-18,호텔신라,008770,KOSPI,39500,39550,39150,39350,63313,-0.51,22,TIGER 여행레저
2025-02-19,호텔신라,008770,KOSPI,39300,40400,39250,40000,139743,1.65,22,TIGER 여행레저
2025-02-20,호텔신라,008770,KOSPI,41100,42550,40700,41800,511610,4.5,22,TIGER 여행레저
2025-02-21,호텔신라,008770,KOSPI,42600,42600,41750,41800,184366,0.0,22,TIGER 여행레저
2025-02-24,호텔신라,008770,KOSPI,41100,41950,41000,41550,98299,-0.6,22,TIGER 여행레저
2025-02-25,호텔신라,008770,KOSPI,41300,41550,40450,40550,122432,-2.41,22,TIGER 여행레저
2025-02-26,호텔신라,008770,KOSPI,40650,41150,40100,41000,85067,1.11,22,TIGER 여행레저
2025-02-27,호텔신라,008770,KOSPI,41000,41850,40300,41450,108428,1.1,22,TIGER 여행레저
2025-02-28,호텔신라,008770,KOSPI,40850,41250,39750,39800,144400,-3.98,22,TIGER 여행레저
2025-03-04,호텔신라,008770,KOSPI,39450,39800,38800,39150,66880,-1.63,22,TIGER 여행레저
2025-03-05,호텔신라,008770,KOSPI,39150,39600,39050,39350,64156,0.51,22,TIGER 여행레저
2025-03-06,호텔신라,008770,KOSPI,39600,40000,39300,39700,67231,0.89,22,TIGER 여행레저
2025-03-07,호텔신라,008770,KOSPI,39700,40600,39350,39900,80591,0.5,22,TIGER 여행레저
2025-03-10,호텔신라,008770,KOSPI,39850,39900,39400,39550,61238,-0.88,22,TIGER 여행레저
2025-03-11,호텔신라,008770,KOSPI,38200,39150,38200,38900,75978,-1.64,22,TIGER 여행레저
2025-03-12,호텔신라,008770,KOSPI,38900,39200,38650,39100,41420,0.51,22,TIGER 여행레저
2025-03-13,호텔신라,008770,KOSPI,39050,39700,38650,39700,115730,1.53,22,TIGER 여행레저
2025-03-14,호텔신라,008770,KOSPI,39100,39350,38850,39150,75339,-1.39,22,TIGER 여행레저
2025-03-17,호텔신라,008770,KOSPI,39150,39450,39050,39300,48621,0.38,22,TIGER 여행레저
2025-03-18,호텔신라,008770,KOSPI,39650,39650,38850,38900,46274,-1.02,22,TIGER 여행레저
