날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼성전기,009150,KOSPI,128600,128700,126300,126600,201645,0.0,78,SOL 자동차소부장Fn
2025-01-21,삼성전기,009150,KOSPI,127200,129200,124200,126500,268429,-0.08,78,SOL 자동차소부장Fn
2025-01-22,삼성전기,009150,KOSPI,127700,130800,126000,130500,313614,3.16,78,SOL 자동차소부장Fn
2025-01-23,삼성전기,009150,KOSPI,130800,131600,127500,127500,311761,-2.3,78,SOL 자동차소부장Fn
2025-01-24,삼성전기,009150,KOSPI,127800,129700,126100,128100,271505,0.47,78,SOL 자동차소부장Fn
2025-01-31,삼성전기,009150,KOSPI,130800,135600,129300,134100,708321,4.68,78,SOL 자동차소부장Fn
2025-02-03,삼성전기,009150,KOSPI,131800,132200,129200,131100,368952,-2.24,78,SOL 자동차소부장Fn
2025-02-04,삼성전기,009150,KOSPI,132400,134200,130700,131800,351405,0.53,78,SOL 자동차소부장Fn
2025-02-05,삼성전기,009150,KOSPI,133300,134100,131000,131000,259904,-0.61,78,SOL 자동차소부장Fn
2025-02-06,삼성전기,009150,KOSPI,132100,134600,130200,134600,330138,2.75,78,SOL 자동차소부장Fn
2025-02-07,삼성전기,009150,KOSPI,136300,139200,135400,138500,770507,2.9,78,SOL 자동차소부장Fn
2025-02-10,삼성전기,009150,KOSPI,137600,146500,137100,144100,892180,4.04,78,SOL 자동차소부장Fn
2025-02-11,삼성전기,009150,KOSPI,145200,146000,143000,144700,389860,0.42,78,SOL 자동차소부장Fn
2025-02-12,삼성전기,009150,KOSPI,144800,146900,141200,144500,346112,-0.14,78,SOL 자동차소부장Fn
2025-02-13,삼성전기,009150,KOSPI,144700,146500,142600,145200,436412,0.48,78,SOL 자동차소부장Fn
2025-02-14,삼성전기,009150,KOSPI,145900,149100,144200,148200,518379,2.07,78,SOL 자동차소부장Fn
2025-02-17,삼성전기,009150,KOSPI,149700,149800,145400,147400,272783,-0.54,78,SOL 자동차소부장Fn
2025-02-18,삼성전기,009150,KOSPI,147100,147100,143500,145300,301393,-1.42,78,SOL 자동차소부장Fn
2025-02-19,삼성전기,009150,KOSPI,144900,146100,144200,144700,310954,-0.41,78,SOL 자동차소부장Fn
2025-02-20,삼성전기,009150,KOSPI,143800,144400,140700,143900,413639,-0.55,78,SOL 자동차소부장Fn
2025-02-21,삼성전기,009150,KOSPI,144200,144500,141000,143200,213753,-0.49,78,SOL 자동차소부장Fn
2025-02-24,삼성전기,009150,KOSPI,141700,143800,141600,143700,205121,0.35,78,SOL 자동차소부장Fn
2025-02-25,삼성전기,009150,KOSPI,142200,144000,140400,142100,171757,-1.11,78,SOL 자동차소부장Fn
2025-02-26,삼성전기,009150,KOSPI,141500,142100,140100,141100,389461,-0.7,78,SOL 자동차소부장Fn
2025-02-27,삼성전기,009150,KOSPI,141900,144600,141500,142500,321309,0.99,78,SOL 자동차소부장Fn
2025-02-28,삼성전기,009150,KOSPI,139000,139800,134600,135000,571810,-5.26,78,SOL 자동차소부장Fn
2025-03-04,삼성전기,009150,KOSPI,133000,137900,133000,136800,182106,1.33,78,SOL 자동차소부장Fn
2025-03-05,삼성전기,009150,KOSPI,137700,139300,135300,135700,232103,-0.8,78,SOL 자동차소부장Fn
2025-03-06,삼성전기,009150,KOSPI,136100,137800,134600,135900,200474,0.15,78,SOL 자동차소부장Fn
2025-03-07,삼성전기,009150,KOSPI,135000,137800,134400,134900,222195,-0.74,78,SOL 자동차소부장Fn
2025-03-10,삼성전기,009150,KOSPI,133800,134900,132600,132900,177602,-1.48,78,SOL 자동차소부장Fn
2025-03-11,삼성전기,009150,KOSPI,130000,138600,128700,135800,333978,2.18,78,SOL 자동차소부장Fn
2025-03-12,삼성전기,009150,KOSPI,137000,138700,135000,137300,199437,1.1,78,SOL 자동차소부장Fn
2025-03-13,삼성전기,009150,KOSPI,138500,141200,136950,138100,449549,0.58,78,SOL 자동차소부장Fn
2025-03-14,삼성전기,009150,KOSPI,139500,140700,136600,137400,269055,-0.51,78,SOL 자동차소부장Fn
2025-03-17,삼성전기,009150,KOSPI,138100,142400,138100,139800,323118,1.75,78,SOL 자동차소부장Fn
2025-03-18,삼성전기,009150,KOSPI,140600,140800,136500,137100,211056,-1.93,78,SOL 자동차소부장Fn
2025-03-19,삼성전기,009150,KOSPI,136600,138800,136400,138000,156085,0.66,78,SOL 자동차소부장Fn
2025-03-20,삼성전기,009150,KOSPI,138500,140800,137700,139500,259013,1.09,78,SOL 자동차소부장Fn
2025-03-21,삼성전기,009150,KOSPI,139200,141100,138300,138500,245822,-0.72,78,SOL 자동차소부장Fn
