날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,HD한국조선해양,009540,KOSPI,243000,249000,242000,244000,218391,0.0,91,SOL 조선TOP3플러스
2025-01-21,HD한국조선해양,009540,KOSPI,246500,251500,246000,248500,373570,1.84,91,SOL 조선TOP3플러스
2025-01-22,HD한국조선해양,009540,KOSPI,249000,249500,240000,241000,385592,-3.02,91,SOL 조선TOP3플러스
2025-01-23,HD한국조선해양,009540,KOSPI,241000,241000,225000,226000,639586,-6.22,91,SOL 조선TOP3플러스
2025-01-24,HD한국조선해양,009540,KOSPI,228500,231000,226000,228500,272883,1.11,91,SOL 조선TOP3플러스
2025-01-31,HD한국조선해양,009540,KOSPI,230500,237000,229500,232000,340308,1.53,91,SOL 조선TOP3플러스
2025-02-03,HD한국조선해양,009540,KOSPI,223500,232500,223000,226000,248059,-2.59,91,SOL 조선TOP3플러스
2025-02-04,HD한국조선해양,009540,KOSPI,229000,234000,225500,232000,209976,2.65,91,SOL 조선TOP3플러스
2025-02-05,HD한국조선해양,009540,KOSPI,234000,234000,224500,225500,228138,-2.8,91,SOL 조선TOP3플러스
2025-02-06,HD한국조선해양,009540,KOSPI,227500,237500,225000,228000,343354,1.11,91,SOL 조선TOP3플러스
2025-02-07,HD한국조선해양,009540,KOSPI,230000,230500,222500,225500,238992,-1.1,91,SOL 조선TOP3플러스
2025-02-10,HD한국조선해양,009540,KOSPI,223000,230000,217500,218500,323706,-3.1,91,SOL 조선TOP3플러스
2025-02-11,HD한국조선해양,009540,KOSPI,219500,223000,218000,221500,249486,1.37,91,SOL 조선TOP3플러스
2025-02-12,HD한국조선해양,009540,KOSPI,224500,234500,224500,234000,462622,5.64,91,SOL 조선TOP3플러스
2025-02-13,HD한국조선해양,009540,KOSPI,237000,241500,231500,236500,539857,1.07,91,SOL 조선TOP3플러스
2025-02-14,HD한국조선해양,009540,KOSPI,235000,235500,222500,225500,372442,-4.65,91,SOL 조선TOP3플러스
2025-02-17,HD한국조선해양,009540,KOSPI,229000,229500,222500,225500,170927,0.0,91,SOL 조선TOP3플러스
2025-02-18,HD한국조선해양,009540,KOSPI,228000,233000,223500,232500,228927,3.1,91,SOL 조선TOP3플러스
2025-02-19,HD한국조선해양,009540,KOSPI,233500,244500,232500,239000,431148,2.8,91,SOL 조선TOP3플러스
2025-02-20,HD한국조선해양,009540,KOSPI,234500,235000,216500,217500,714667,-9.0,91,SOL 조선TOP3플러스
2025-02-21,HD한국조선해양,009540,KOSPI,213500,217000,209500,214000,301845,-1.61,91,SOL 조선TOP3플러스
2025-02-24,HD한국조선해양,009540,KOSPI,217000,218000,206500,211500,357984,-1.17,91,SOL 조선TOP3플러스
2025-02-25,HD한국조선해양,009540,KOSPI,209000,224500,209000,223500,481497,5.67,91,SOL 조선TOP3플러스
2025-02-26,HD한국조선해양,009540,KOSPI,224000,236500,220000,222500,578436,-0.45,91,SOL 조선TOP3플러스
2025-02-27,HD한국조선해양,009540,KOSPI,219500,220500,213500,216500,265438,-2.7,91,SOL 조선TOP3플러스
2025-02-28,HD한국조선해양,009540,KOSPI,213000,215000,208000,214000,378018,-1.15,91,SOL 조선TOP3플러스
2025-03-04,HD한국조선해양,009540,KOSPI,217000,235500,215500,235500,586195,10.05,91,SOL 조선TOP3플러스
2025-03-05,HD한국조선해양,009540,KOSPI,233000,253500,226500,251000,895857,6.58,91,SOL 조선TOP3플러스
2025-03-06,HD한국조선해양,009540,KOSPI,248000,251000,245000,246500,329079,-1.79,91,SOL 조선TOP3플러스
2025-03-07,HD한국조선해양,009540,KOSPI,247500,248500,233000,233500,448650,-5.27,91,SOL 조선TOP3플러스
2025-03-10,HD한국조선해양,009540,KOSPI,233500,239500,228000,233000,295671,-0.21,91,SOL 조선TOP3플러스
2025-03-11,HD한국조선해양,009540,KOSPI,226000,229000,213000,217000,566459,-6.87,91,SOL 조선TOP3플러스
2025-03-12,HD한국조선해양,009540,KOSPI,218000,224500,210000,212500,444824,-2.07,91,SOL 조선TOP3플러스
2025-03-13,HD한국조선해양,009540,KOSPI,215500,221000,213000,214500,310393,0.94,91,SOL 조선TOP3플러스
2025-03-14,HD한국조선해양,009540,KOSPI,213000,217500,211000,214000,136430,-0.23,91,SOL 조선TOP3플러스
2025-03-17,HD한국조선해양,009540,KOSPI,214500,218000,213000,216500,232866,1.17,91,SOL 조선TOP3플러스
2025-03-18,HD한국조선해양,009540,KOSPI,218500,224500,218000,220500,259810,1.85,91,SOL 조선TOP3플러스
2025-03-19,HD한국조선해양,009540,KOSPI,221000,223000,217500,219000,218004,-0.68,91,SOL 조선TOP3플러스
2025-03-20,HD한국조선해양,009540,KOSPI,219500,220000,207500,209500,341477,-4.34,91,SOL 조선TOP3플러스
2025-03-21,HD한국조선해양,009540,KOSPI,206500,213500,205000,213500,327180,1.91,91,SOL 조선TOP3플러스
