날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한화솔루션,009830,KOSPI,21150,21150,20350,20650,2207874,0.0,73,PLUS 태양광&ESS
2025-01-21,한화솔루션,009830,KOSPI,21000,21000,18800,19350,4486542,-6.3,73,PLUS 태양광&ESS
2025-01-22,한화솔루션,009830,KOSPI,19300,20200,19060,19790,2571608,2.27,73,PLUS 태양광&ESS
2025-01-23,한화솔루션,009830,KOSPI,19760,19860,19220,19250,1309904,-2.73,73,PLUS 태양광&ESS
2025-01-24,한화솔루션,009830,KOSPI,19580,20650,19360,20100,2356731,4.42,73,PLUS 태양광&ESS
2025-01-31,한화솔루션,009830,KOSPI,20100,20450,19620,19770,1318668,-1.64,73,PLUS 태양광&ESS
2025-02-03,한화솔루션,009830,KOSPI,19670,19690,18900,19550,1232105,-1.11,73,PLUS 태양광&ESS
2025-02-04,한화솔루션,009830,KOSPI,19920,20400,19800,20000,1454331,2.3,73,PLUS 태양광&ESS
2025-02-05,한화솔루션,009830,KOSPI,20500,20700,19940,20150,1158576,0.75,73,PLUS 태양광&ESS
2025-02-06,한화솔루션,009830,KOSPI,20600,23050,20150,21450,10865312,6.45,73,PLUS 태양광&ESS
2025-02-07,한화솔루션,009830,KOSPI,20950,21150,20000,20100,3978801,-6.29,73,PLUS 태양광&ESS
2025-02-10,한화솔루션,009830,KOSPI,20200,20350,19840,19890,1341115,-1.04,73,PLUS 태양광&ESS
2025-02-11,한화솔루션,009830,KOSPI,20150,21050,20000,20450,2484469,2.82,73,PLUS 태양광&ESS
2025-02-12,한화솔루션,009830,KOSPI,20650,21350,20100,21100,2625641,3.18,73,PLUS 태양광&ESS
2025-02-13,한화솔루션,009830,KOSPI,20950,22550,20550,21900,4517206,3.79,73,PLUS 태양광&ESS
2025-02-14,한화솔루션,009830,KOSPI,22100,23350,21500,22000,4877581,0.46,73,PLUS 태양광&ESS
2025-02-17,한화솔루션,009830,KOSPI,21750,22000,21200,21700,1776930,-1.36,73,PLUS 태양광&ESS
2025-02-18,한화솔루션,009830,KOSPI,22000,22250,21600,22100,2021442,1.84,73,PLUS 태양광&ESS
2025-02-19,한화솔루션,009830,KOSPI,22100,22250,21800,21900,1618674,-0.9,73,PLUS 태양광&ESS
2025-02-20,한화솔루션,009830,KOSPI,22100,22100,20950,21050,1889695,-3.88,73,PLUS 태양광&ESS
2025-02-21,한화솔루션,009830,KOSPI,20950,21400,20650,21050,867369,0.0,73,PLUS 태양광&ESS
2025-02-24,한화솔루션,009830,KOSPI,20400,21000,20350,20650,1425652,-1.9,73,PLUS 태양광&ESS
2025-02-25,한화솔루션,009830,KOSPI,20450,20650,20050,20200,1115683,-2.18,73,PLUS 태양광&ESS
2025-02-26,한화솔루션,009830,KOSPI,20200,20900,20050,20900,900115,3.47,73,PLUS 태양광&ESS
2025-02-27,한화솔루션,009830,KOSPI,21300,23250,21300,22550,9851738,7.89,73,PLUS 태양광&ESS
2025-02-28,한화솔루션,009830,KOSPI,22150,22550,21400,21500,3060313,-4.66,73,PLUS 태양광&ESS
2025-03-04,한화솔루션,009830,KOSPI,20800,22000,20500,20600,2437066,-4.19,73,PLUS 태양광&ESS
2025-03-05,한화솔루션,009830,KOSPI,21100,21450,20250,21050,1829330,2.18,73,PLUS 태양광&ESS
2025-03-06,한화솔루션,009830,KOSPI,21300,21450,20525,20600,1430819,-2.14,73,PLUS 태양광&ESS
2025-03-07,한화솔루션,009830,KOSPI,20600,21950,20250,21400,2330582,3.88,73,PLUS 태양광&ESS
2025-03-10,한화솔루션,009830,KOSPI,21400,21400,20400,20800,1595522,-2.8,73,PLUS 태양광&ESS
2025-03-11,한화솔루션,009830,KOSPI,20100,20300,19860,20150,1694386,-3.12,73,PLUS 태양광&ESS
2025-03-12,한화솔루션,009830,KOSPI,20200,20700,20200,20400,1168511,1.24,73,PLUS 태양광&ESS
2025-03-13,한화솔루션,009830,KOSPI,20400,20750,20200,20350,1247482,-0.25,73,PLUS 태양광&ESS
2025-03-14,한화솔루션,009830,KOSPI,20100,20450,20000,20150,804392,-0.98,73,PLUS 태양광&ESS
2025-03-17,한화솔루션,009830,KOSPI,20300,20600,20150,20200,985279,0.25,73,PLUS 태양광&ESS
2025-03-18,한화솔루션,009830,KOSPI,20450,20950,20400,20600,1282657,1.98,73,PLUS 태양광&ESS
