날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,LS ELECTRIC,010120,KOSPI,222500,224500,210000,210000,930908,0.0,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-01-21,LS ELECTRIC,010120,KOSPI,213500,215000,205000,207000,411351,-1.43,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-01-22,LS ELECTRIC,010120,KOSPI,210500,218000,210500,214500,713576,3.62,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-01-23,LS ELECTRIC,010120,KOSPI,218500,237500,217000,232000,1487279,8.16,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-01-24,LS ELECTRIC,010120,KOSPI,231500,249000,229000,244000,1073939,5.17,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-01-31,LS ELECTRIC,010120,KOSPI,220000,231000,217000,231000,858184,-5.33,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-03,LS ELECTRIC,010120,KOSPI,222500,229000,219000,220500,498684,-4.55,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-04,LS ELECTRIC,010120,KOSPI,226500,228500,219500,222000,391752,0.68,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-05,LS ELECTRIC,010120,KOSPI,226000,226500,217500,220500,278569,-0.68,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-06,LS ELECTRIC,010120,KOSPI,225500,226500,217500,221000,371719,0.23,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-07,LS ELECTRIC,010120,KOSPI,219500,222500,214500,217500,279535,-1.58,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-10,LS ELECTRIC,010120,KOSPI,211500,213500,206000,208500,359439,-4.14,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-11,LS ELECTRIC,010120,KOSPI,211000,215000,208500,213000,274694,2.16,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-12,LS ELECTRIC,010120,KOSPI,210000,238500,208500,238500,1015327,11.97,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-13,LS ELECTRIC,010120,KOSPI,248500,267500,245500,263000,1843733,10.27,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-14,LS ELECTRIC,010120,KOSPI,253500,256500,237500,241500,912703,-8.17,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-17,LS ELECTRIC,010120,KOSPI,245000,254500,233500,239000,754871,-1.04,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-18,LS ELECTRIC,010120,KOSPI,241000,285500,235500,284000,1877943,18.83,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-19,LS ELECTRIC,010120,KOSPI,290500,303500,280500,286500,1654651,0.88,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-20,LS ELECTRIC,010120,KOSPI,289000,298000,273000,291500,1086648,1.75,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-21,LS ELECTRIC,010120,KOSPI,283500,287000,275500,276000,560138,-5.32,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-24,LS ELECTRIC,010120,KOSPI,268000,271000,260500,265000,527345,-3.99,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-25,LS ELECTRIC,010120,KOSPI,255000,262500,252500,259500,425466,-2.08,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-26,LS ELECTRIC,010120,KOSPI,258000,271500,253500,262500,498367,1.16,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
2025-02-27,LS ELECTRIC,010120,KOSPI,270000,272500,251000,251000,530505,-4.38,97,"PLUS 태양광&ESS,KODEX AI전력핵심설비,ACE 원자력테마딥서치"
