날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,고려아연,010130,KOSPI,860000,927000,826000,830000,107580,0.0,92,TIGER 200 철강소재
2025-01-21,고려아연,010130,KOSPI,843000,851000,759000,759000,57771,-8.55,92,TIGER 200 철강소재
2025-01-22,고려아연,010130,KOSPI,755000,779000,739000,759000,83884,0.0,92,TIGER 200 철강소재
2025-01-23,고려아연,010130,KOSPI,775000,780000,749000,757000,58612,-0.26,92,TIGER 200 철강소재
2025-01-24,고려아연,010130,KOSPI,767000,862000,754000,845000,98923,11.62,92,TIGER 200 철강소재
2025-01-31,고려아연,010130,KOSPI,860000,861000,810000,824000,35526,-2.49,92,TIGER 200 철강소재
2025-02-03,고려아연,010130,KOSPI,807000,808000,777000,789000,21922,-4.25,92,TIGER 200 철강소재
2025-02-04,고려아연,010130,KOSPI,786000,812000,782000,799000,34134,1.27,92,TIGER 200 철강소재
2025-02-05,고려아연,010130,KOSPI,798000,811000,787000,795000,21145,-0.5,92,TIGER 200 철강소재
2025-02-06,고려아연,010130,KOSPI,803000,811000,783000,790000,23450,-0.63,92,TIGER 200 철강소재
2025-02-07,고려아연,010130,KOSPI,788000,797000,780000,784000,23523,-0.76,92,TIGER 200 철강소재
2025-02-10,고려아연,010130,KOSPI,785000,785000,751000,760000,22697,-3.06,92,TIGER 200 철강소재
2025-02-11,고려아연,010130,KOSPI,761000,800000,760000,789000,25561,3.82,92,TIGER 200 철강소재
2025-02-12,고려아연,010130,KOSPI,798000,825000,786000,790000,35715,0.13,92,TIGER 200 철강소재
2025-02-13,고려아연,010130,KOSPI,800000,800000,760000,778000,78016,-1.52,92,TIGER 200 철강소재
2025-02-14,고려아연,010130,KOSPI,780000,804000,765000,796000,20623,2.31,92,TIGER 200 철강소재
2025-02-17,고려아연,010130,KOSPI,806000,836000,795000,813000,33415,2.14,92,TIGER 200 철강소재
2025-02-18,고려아연,010130,KOSPI,821000,832000,806000,814000,29635,0.12,92,TIGER 200 철강소재
2025-02-19,고려아연,010130,KOSPI,812000,849000,811000,840000,35828,3.19,92,TIGER 200 철강소재
2025-02-20,고려아연,010130,KOSPI,831000,842000,815000,840000,22223,0.0,92,TIGER 200 철강소재
2025-02-21,고려아연,010130,KOSPI,850000,850000,798000,816000,30336,-2.86,92,TIGER 200 철강소재
2025-02-24,고려아연,010130,KOSPI,821000,825000,808000,817000,17193,0.12,92,TIGER 200 철강소재
2025-02-25,고려아연,010130,KOSPI,809000,809000,772000,775000,24858,-5.14,92,TIGER 200 철강소재
2025-02-26,고려아연,010130,KOSPI,779000,784000,766000,782000,15604,0.9,92,TIGER 200 철강소재
2025-02-27,고려아연,010130,KOSPI,778000,782000,761000,774000,15206,-1.02,92,TIGER 200 철강소재
2025-02-28,고려아연,010130,KOSPI,769000,769000,742000,743000,89630,-4.01,92,TIGER 200 철강소재
2025-03-04,고려아연,010130,KOSPI,733000,755000,711000,739000,15249,-0.54,92,TIGER 200 철강소재
2025-03-05,고려아연,010130,KOSPI,740000,748000,722000,727000,20488,-1.62,92,TIGER 200 철강소재
2025-03-06,고려아연,010130,KOSPI,727000,728000,706000,720000,24579,-0.96,92,TIGER 200 철강소재
2025-03-07,고려아연,010130,KOSPI,718000,733000,696000,726000,21638,0.83,92,TIGER 200 철강소재
2025-03-10,고려아연,010130,KOSPI,731000,856000,730000,829000,137345,14.19,92,TIGER 200 철강소재
2025-03-11,고려아연,010130,KOSPI,817000,899000,794000,845000,125763,1.93,92,TIGER 200 철강소재
2025-03-12,고려아연,010130,KOSPI,833000,1070000,810000,1065000,172603,26.04,92,TIGER 200 철강소재
2025-03-13,고려아연,010130,KOSPI,1059000,1090000,955000,955000,164139,-10.33,92,TIGER 200 철강소재
2025-03-14,고려아연,010130,KOSPI,935000,991000,910000,913000,73364,-4.4,92,TIGER 200 철강소재
2025-03-17,고려아연,010130,KOSPI,924000,948000,878000,893000,42153,-2.19,92,TIGER 200 철강소재
2025-03-18,고려아연,010130,KOSPI,894000,910000,875000,882000,20798,-1.23,92,TIGER 200 철강소재
