날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼성중공업,010140,KOSPI,13590,13590,13130,13490,10569926,0.0,93,SOL 조선TOP3플러스
2025-01-21,삼성중공업,010140,KOSPI,13580,13860,13530,13670,14222288,1.33,93,SOL 조선TOP3플러스
2025-01-22,삼성중공업,010140,KOSPI,13670,13810,13230,13300,10818247,-2.71,93,SOL 조선TOP3플러스
2025-01-23,삼성중공업,010140,KOSPI,13300,13340,12700,12730,12660592,-4.29,93,SOL 조선TOP3플러스
2025-01-24,삼성중공업,010140,KOSPI,12790,13080,12700,12910,7043782,1.41,93,SOL 조선TOP3플러스
2025-01-31,삼성중공업,010140,KOSPI,13000,13270,12900,13010,7145165,0.77,93,SOL 조선TOP3플러스
2025-02-03,삼성중공업,010140,KOSPI,12800,13080,12750,12940,5261381,-0.54,93,SOL 조선TOP3플러스
2025-02-04,삼성중공업,010140,KOSPI,13100,13450,12950,13350,9177720,3.17,93,SOL 조선TOP3플러스
2025-02-05,삼성중공업,010140,KOSPI,13540,13630,13100,13400,9529635,0.37,93,SOL 조선TOP3플러스
2025-02-06,삼성중공업,010140,KOSPI,13100,13340,12770,12950,16568228,-3.36,93,SOL 조선TOP3플러스
2025-02-07,삼성중공업,010140,KOSPI,12910,12930,12630,12770,6918096,-1.39,93,SOL 조선TOP3플러스
2025-02-10,삼성중공업,010140,KOSPI,12710,13190,12520,12590,9259813,-1.41,93,SOL 조선TOP3플러스
2025-02-11,삼성중공업,010140,KOSPI,12690,12890,12470,12700,7522540,0.87,93,SOL 조선TOP3플러스
2025-02-12,삼성중공업,010140,KOSPI,12720,13490,12720,13460,18472865,5.98,93,SOL 조선TOP3플러스
2025-02-13,삼성중공업,010140,KOSPI,13600,13690,13190,13410,13407597,-0.37,93,SOL 조선TOP3플러스
2025-02-14,삼성중공업,010140,KOSPI,13440,13440,12620,12710,15311815,-5.22,93,SOL 조선TOP3플러스
2025-02-17,삼성중공업,010140,KOSPI,12720,12920,12620,12710,7181439,0.0,93,SOL 조선TOP3플러스
2025-02-18,삼성중공업,010140,KOSPI,12830,12980,12770,12930,10215821,1.73,93,SOL 조선TOP3플러스
2025-02-19,삼성중공업,010140,KOSPI,12950,15220,12870,14730,70378157,13.92,93,SOL 조선TOP3플러스
2025-02-20,삼성중공업,010140,KOSPI,14680,14680,13500,13590,31385870,-7.74,93,SOL 조선TOP3플러스
2025-02-21,삼성중공업,010140,KOSPI,13290,13570,13150,13370,13079911,-1.62,93,SOL 조선TOP3플러스
2025-02-24,삼성중공업,010140,KOSPI,13450,14400,13080,13910,37276349,4.04,93,SOL 조선TOP3플러스
2025-02-25,삼성중공업,010140,KOSPI,13970,15190,13720,15050,47508639,8.2,93,SOL 조선TOP3플러스
2025-02-26,삼성중공업,010140,KOSPI,15390,15620,14740,14950,27033764,-0.66,93,SOL 조선TOP3플러스
2025-02-27,삼성중공업,010140,KOSPI,14920,15100,14450,15020,14547065,0.47,93,SOL 조선TOP3플러스
2025-02-28,삼성중공업,010140,KOSPI,14720,15000,13950,13950,21347885,-7.12,93,SOL 조선TOP3플러스
2025-03-04,삼성중공업,010140,KOSPI,14120,14760,14030,14240,21833027,2.08,93,SOL 조선TOP3플러스
2025-03-05,삼성중공업,010140,KOSPI,14400,15150,14000,15000,33447308,5.34,93,SOL 조선TOP3플러스
2025-03-06,삼성중공업,010140,KOSPI,14990,15265,14660,14940,16372769,-0.4,93,SOL 조선TOP3플러스
2025-03-07,삼성중공업,010140,KOSPI,14740,15090,14580,14860,11696479,-0.54,93,SOL 조선TOP3플러스
2025-03-10,삼성중공업,010140,KOSPI,15010,15040,14240,14530,12163860,-2.22,93,SOL 조선TOP3플러스
2025-03-11,삼성중공업,010140,KOSPI,14000,14280,13770,14220,13593507,-2.13,93,SOL 조선TOP3플러스
2025-03-12,삼성중공업,010140,KOSPI,14740,15490,14220,14360,49016196,0.98,93,SOL 조선TOP3플러스
2025-03-13,삼성중공업,010140,KOSPI,14550,14850,14050,14080,19036020,-1.95,93,SOL 조선TOP3플러스
2025-03-14,삼성중공업,010140,KOSPI,14160,14430,14090,14320,8537547,1.7,93,SOL 조선TOP3플러스
2025-03-17,삼성중공업,010140,KOSPI,14430,15140,14260,14790,20321168,3.28,93,SOL 조선TOP3플러스
2025-03-18,삼성중공업,010140,KOSPI,14970,15450,14860,15440,26324577,4.39,93,SOL 조선TOP3플러스
2025-03-19,삼성중공업,010140,KOSPI,15480,15840,15120,15210,17296217,-1.49,93,SOL 조선TOP3플러스
2025-03-20,삼성중공업,010140,KOSPI,15330,15330,14530,14540,14987688,-4.4,93,SOL 조선TOP3플러스
2025-03-21,삼성중공업,010140,KOSPI,14450,14690,14140,14580,10733577,0.28,93,SOL 조선TOP3플러스
