날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,LG이노텍,011070,KOSPI,159000,161700,158100,160100,132000,0.0,41,SOL 자동차소부장Fn
2025-01-21,LG이노텍,011070,KOSPI,160600,163300,158000,161200,157911,0.69,41,SOL 자동차소부장Fn
2025-01-22,LG이노텍,011070,KOSPI,160100,162400,159000,161200,146724,0.0,41,SOL 자동차소부장Fn
2025-01-23,LG이노텍,011070,KOSPI,160600,160800,150000,150200,655107,-6.82,41,SOL 자동차소부장Fn
2025-01-24,LG이노텍,011070,KOSPI,150200,150300,147800,148600,230296,-1.07,41,SOL 자동차소부장Fn
2025-01-31,LG이노텍,011070,KOSPI,150000,150500,147200,148700,190020,0.07,41,SOL 자동차소부장Fn
2025-02-03,LG이노텍,011070,KOSPI,145400,145800,139700,139900,275677,-5.92,41,SOL 자동차소부장Fn
2025-02-04,LG이노텍,011070,KOSPI,142300,144000,141500,142800,122835,2.07,41,SOL 자동차소부장Fn
2025-02-05,LG이노텍,011070,KOSPI,143500,147700,143500,147100,136572,3.01,41,SOL 자동차소부장Fn
2025-02-06,LG이노텍,011070,KOSPI,148100,150300,146300,150100,148206,2.04,41,SOL 자동차소부장Fn
2025-02-07,LG이노텍,011070,KOSPI,150100,151700,149200,150500,108458,0.27,41,SOL 자동차소부장Fn
2025-02-10,LG이노텍,011070,KOSPI,149200,153500,148300,153000,157498,1.66,41,SOL 자동차소부장Fn
2025-02-11,LG이노텍,011070,KOSPI,153600,164600,151700,161800,478043,5.75,41,SOL 자동차소부장Fn
2025-02-12,LG이노텍,011070,KOSPI,162600,167400,162100,164800,298398,1.85,41,SOL 자동차소부장Fn
2025-02-13,LG이노텍,011070,KOSPI,163200,166000,161800,163500,248357,-0.79,41,SOL 자동차소부장Fn
2025-02-14,LG이노텍,011070,KOSPI,163200,165200,162700,163600,142955,0.06,41,SOL 자동차소부장Fn
2025-02-17,LG이노텍,011070,KOSPI,165200,168400,163800,164100,125336,0.31,41,SOL 자동차소부장Fn
2025-02-18,LG이노텍,011070,KOSPI,165400,166600,162600,165000,154572,0.55,41,SOL 자동차소부장Fn
2025-02-19,LG이노텍,011070,KOSPI,165000,169400,164800,168000,216997,1.82,41,SOL 자동차소부장Fn
2025-02-20,LG이노텍,011070,KOSPI,168600,169300,165000,167000,136713,-0.6,41,SOL 자동차소부장Fn
2025-02-21,LG이노텍,011070,KOSPI,167000,167600,163500,165600,123991,-0.84,41,SOL 자동차소부장Fn
2025-02-24,LG이노텍,011070,KOSPI,163500,164000,160700,164000,104251,-0.97,41,SOL 자동차소부장Fn
2025-02-25,LG이노텍,011070,KOSPI,162900,165700,160100,160300,177607,-2.26,41,SOL 자동차소부장Fn
2025-02-26,LG이노텍,011070,KOSPI,160100,162100,158200,161600,123256,0.81,41,SOL 자동차소부장Fn
2025-02-27,LG이노텍,011070,KOSPI,162200,169500,161000,168000,314234,3.96,41,SOL 자동차소부장Fn
2025-02-28,LG이노텍,011070,KOSPI,165600,168300,161600,162400,229809,-3.33,41,SOL 자동차소부장Fn
2025-03-04,LG이노텍,011070,KOSPI,160800,161600,156000,160000,110974,-1.48,41,SOL 자동차소부장Fn
2025-03-05,LG이노텍,011070,KOSPI,160800,163000,159300,162000,107910,1.25,41,SOL 자동차소부장Fn
2025-03-06,LG이노텍,011070,KOSPI,166900,178900,166000,177500,787438,9.57,41,SOL 자동차소부장Fn
2025-03-07,LG이노텍,011070,KOSPI,177500,178200,174800,175700,318109,-1.01,41,SOL 자동차소부장Fn
2025-03-10,LG이노텍,011070,KOSPI,175700,176300,172000,172900,124835,-1.59,41,SOL 자동차소부장Fn
2025-03-11,LG이노텍,011070,KOSPI,166000,172600,164300,171200,191187,-0.98,41,SOL 자동차소부장Fn
2025-03-12,LG이노텍,011070,KOSPI,173400,173800,170400,171400,129113,0.12,41,SOL 자동차소부장Fn
2025-03-13,LG이노텍,011070,KOSPI,172000,172000,159700,159700,639456,-6.83,41,SOL 자동차소부장Fn
2025-03-14,LG이노텍,011070,KOSPI,158400,160200,157800,158000,208157,-1.06,41,SOL 자동차소부장Fn
2025-03-17,LG이노텍,011070,KOSPI,158000,161200,158000,158900,166247,0.57,41,SOL 자동차소부장Fn
2025-03-18,LG이노텍,011070,KOSPI,158600,160000,157700,158000,132074,-0.57,41,SOL 자동차소부장Fn
