날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,HMM,011200,KOSPI,19700,19710,18000,18000,3805240,0.0,75,KODEX 운송
2025-01-21,HMM,011200,KOSPI,18000,18280,18000,18050,1482535,0.28,75,KODEX 운송
2025-01-22,HMM,011200,KOSPI,18240,19800,18090,19170,5410262,6.2,75,KODEX 운송
2025-01-23,HMM,011200,KOSPI,19050,19340,18710,18810,2107084,-1.88,75,KODEX 운송
2025-01-24,HMM,011200,KOSPI,19030,19170,18510,18640,1369271,-0.9,75,KODEX 운송
2025-01-31,HMM,011200,KOSPI,18800,19050,18590,19040,2315366,2.15,75,KODEX 운송
2025-02-03,HMM,011200,KOSPI,18660,18660,18100,18370,1308273,-3.52,75,KODEX 운송
2025-02-04,HMM,011200,KOSPI,18470,18680,18340,18460,1076572,0.49,75,KODEX 운송
2025-02-05,HMM,011200,KOSPI,18490,18750,18420,18420,1175783,-0.22,75,KODEX 운송
2025-02-06,HMM,011200,KOSPI,18580,18780,18480,18700,838485,1.52,75,KODEX 운송
2025-02-07,HMM,011200,KOSPI,18650,18950,18540,18580,873383,-0.64,75,KODEX 운송
2025-02-10,HMM,011200,KOSPI,18440,18770,18210,18240,1109965,-1.83,75,KODEX 운송
2025-02-11,HMM,011200,KOSPI,18260,19000,18230,18410,1829464,0.93,75,KODEX 운송
2025-02-12,HMM,011200,KOSPI,18600,19000,18290,18360,1910796,-0.27,75,KODEX 운송
2025-02-13,HMM,011200,KOSPI,18350,18360,18050,18110,1850313,-1.36,75,KODEX 운송
2025-02-14,HMM,011200,KOSPI,18310,18340,17950,18320,1419919,1.16,75,KODEX 운송
2025-02-17,HMM,011200,KOSPI,18370,18370,18060,18100,1148596,-1.2,75,KODEX 운송
2025-02-18,HMM,011200,KOSPI,18090,18250,18010,18180,966490,0.44,75,KODEX 운송
2025-02-19,HMM,011200,KOSPI,18100,18410,18070,18300,1417477,0.66,75,KODEX 운송
2025-02-20,HMM,011200,KOSPI,18200,18750,18190,18730,2105088,2.35,75,KODEX 운송
2025-02-21,HMM,011200,KOSPI,18790,19000,18350,18670,1438535,-0.32,75,KODEX 운송
2025-02-24,HMM,011200,KOSPI,19620,21650,19420,20000,28312869,7.12,75,KODEX 운송
2025-02-25,HMM,011200,KOSPI,19670,21450,19100,20900,17234939,4.5,75,KODEX 운송
2025-02-26,HMM,011200,KOSPI,21200,21350,20200,20500,4591291,-1.91,75,KODEX 운송
2025-02-27,HMM,011200,KOSPI,20450,20750,20000,20500,2855080,0.0,75,KODEX 운송
2025-02-28,HMM,011200,KOSPI,20200,20600,19210,19590,4980633,-4.44,75,KODEX 운송
2025-03-04,HMM,011200,KOSPI,19500,21200,19280,20650,6118697,5.41,75,KODEX 운송
2025-03-05,HMM,011200,KOSPI,20850,21850,20750,21500,6923107,4.12,75,KODEX 운송
2025-03-06,HMM,011200,KOSPI,21750,21750,20900,21450,2669828,-0.23,75,KODEX 운송
2025-03-07,HMM,011200,KOSPI,21350,22000,21000,21650,3248426,0.93,75,KODEX 운송
2025-03-10,HMM,011200,KOSPI,21750,22650,21150,22150,4804741,2.31,75,KODEX 운송
2025-03-11,HMM,011200,KOSPI,21400,21900,21000,21250,2997429,-4.06,75,KODEX 운송
2025-03-12,HMM,011200,KOSPI,21300,21500,20750,20950,2175055,-1.41,75,KODEX 운송
2025-03-13,HMM,011200,KOSPI,20900,21100,20500,20600,2710209,-1.67,75,KODEX 운송
2025-03-14,HMM,011200,KOSPI,20750,21150,20250,20700,1976062,0.49,75,KODEX 운송
2025-03-17,HMM,011200,KOSPI,20650,20900,20550,20850,1346575,0.72,75,KODEX 운송
2025-03-18,HMM,011200,KOSPI,20950,21150,20700,20800,1618584,-0.24,75,KODEX 운송
