날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,현대모비스,012330,KOSPI,252000,252500,243500,244000,127000,0.0,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-01-21,현대모비스,012330,KOSPI,245000,252500,245000,250000,151404,2.46,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-01-22,현대모비스,012330,KOSPI,252000,254000,248000,253000,180573,1.2,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-01-23,현대모비스,012330,KOSPI,253500,257500,251500,252000,289693,-0.4,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-01-24,현대모비스,012330,KOSPI,259000,265000,259000,263500,569055,4.56,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-01-31,현대모비스,012330,KOSPI,266000,268500,259500,263500,288546,0.0,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-03,현대모비스,012330,KOSPI,258500,261000,253500,257000,273890,-2.47,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-04,현대모비스,012330,KOSPI,264500,264500,252500,252500,185193,-1.75,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-05,현대모비스,012330,KOSPI,252500,254500,248000,251500,198039,-0.4,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-06,현대모비스,012330,KOSPI,251500,254500,249000,251500,195482,0.0,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-07,현대모비스,012330,KOSPI,248500,250000,245500,247000,172737,-1.79,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-10,현대모비스,012330,KOSPI,244000,249500,243000,246500,191841,-0.2,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-11,현대모비스,012330,KOSPI,247000,252000,245000,248500,173078,0.81,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-12,현대모비스,012330,KOSPI,249000,249500,241000,242500,123531,-2.41,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-13,현대모비스,012330,KOSPI,244000,247500,243000,243000,243167,0.21,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-14,현대모비스,012330,KOSPI,247000,252500,247000,249500,161821,2.67,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-17,현대모비스,012330,KOSPI,250000,250000,243000,245500,155375,-1.6,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-18,현대모비스,012330,KOSPI,245000,249500,245000,248000,150895,1.02,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-19,현대모비스,012330,KOSPI,246000,258500,245500,255500,191123,3.02,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-20,현대모비스,012330,KOSPI,252000,255500,249500,255500,159566,0.0,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-21,현대모비스,012330,KOSPI,260500,269000,254000,254500,243582,-0.39,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-24,현대모비스,012330,KOSPI,254500,257500,252500,256500,99865,0.79,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-25,현대모비스,012330,KOSPI,254000,259000,254000,255000,122768,-0.58,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-26,현대모비스,012330,KOSPI,254000,258000,251000,256500,135287,0.59,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-27,현대모비스,012330,KOSPI,256500,260500,255000,260500,157654,1.56,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-02-28,현대모비스,012330,KOSPI,257500,260000,245000,245500,283138,-5.76,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-04,현대모비스,012330,KOSPI,248500,256500,246500,250000,149579,1.83,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-05,현대모비스,012330,KOSPI,252500,254000,245500,251000,156230,0.4,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-06,현대모비스,012330,KOSPI,253000,259000,252500,257000,122205,2.39,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-07,현대모비스,012330,KOSPI,257000,259000,255000,256000,104329,-0.39,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-10,현대모비스,012330,KOSPI,255000,261000,255000,258500,113858,0.98,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-11,현대모비스,012330,KOSPI,251000,253000,245000,248000,226218,-4.06,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-12,현대모비스,012330,KOSPI,245000,248000,240500,248000,173718,0.0,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-13,현대모비스,012330,KOSPI,248000,256000,247500,256000,219828,3.23,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-14,현대모비스,012330,KOSPI,253500,256500,250000,255500,216811,-0.2,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-17,현대모비스,012330,KOSPI,255000,259500,254000,259500,159986,1.57,68,"KODEX 자동차,SOL 자동차소부장Fn"
2025-03-18,현대모비스,012330,KOSPI,259500,265500,258500,264000,222834,1.73,68,"KODEX 자동차,SOL 자동차소부장Fn"
