날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한화에어로스페이스,012450,KOSPI,393000,393000,374500,377500,228676,0.0,98,"PLUS K방산,TIGER 우주방산"
2025-01-21,한화에어로스페이스,012450,KOSPI,378000,392000,378000,389500,281748,3.18,98,"PLUS K방산,TIGER 우주방산"
2025-01-22,한화에어로스페이스,012450,KOSPI,392000,399500,386500,389000,234670,-0.13,98,"PLUS K방산,TIGER 우주방산"
2025-01-23,한화에어로스페이스,012450,KOSPI,390500,394000,381500,383500,128950,-1.41,98,"PLUS K방산,TIGER 우주방산"
2025-01-24,한화에어로스페이스,012450,KOSPI,383500,414000,383500,411500,483792,7.3,98,"PLUS K방산,TIGER 우주방산"
2025-01-31,한화에어로스페이스,012450,KOSPI,414500,415000,397000,400000,419665,-2.79,98,"PLUS K방산,TIGER 우주방산"
2025-02-03,한화에어로스페이스,012450,KOSPI,392000,399500,384500,392500,237337,-1.88,98,"PLUS K방산,TIGER 우주방산"
2025-02-04,한화에어로스페이스,012450,KOSPI,395000,414000,395000,406500,277489,3.57,98,"PLUS K방산,TIGER 우주방산"
2025-02-05,한화에어로스페이스,012450,KOSPI,409000,410500,399500,402500,181769,-0.98,98,"PLUS K방산,TIGER 우주방산"
2025-02-06,한화에어로스페이스,012450,KOSPI,404500,424000,393000,420500,455172,4.47,98,"PLUS K방산,TIGER 우주방산"
2025-02-07,한화에어로스페이스,012450,KOSPI,421500,439000,412000,418000,508231,-0.59,98,"PLUS K방산,TIGER 우주방산"
2025-02-10,한화에어로스페이스,012450,KOSPI,423500,425500,411000,413000,294509,-1.2,98,"PLUS K방산,TIGER 우주방산"
2025-02-11,한화에어로스페이스,012450,KOSPI,454000,498500,442500,498000,2598237,20.58,98,"PLUS K방산,TIGER 우주방산"
2025-02-12,한화에어로스페이스,012450,KOSPI,503000,524000,500000,520000,1067534,4.42,98,"PLUS K방산,TIGER 우주방산"
2025-02-13,한화에어로스페이스,012450,KOSPI,509000,526000,495000,516000,702706,-0.77,98,"PLUS K방산,TIGER 우주방산"
2025-02-14,한화에어로스페이스,012450,KOSPI,516000,539000,503000,533000,649548,3.29,98,"PLUS K방산,TIGER 우주방산"
2025-02-17,한화에어로스페이스,012450,KOSPI,533000,590000,528000,577000,1021560,8.26,98,"PLUS K방산,TIGER 우주방산"
2025-02-18,한화에어로스페이스,012450,KOSPI,600000,659000,599000,643000,1245770,11.44,98,"PLUS K방산,TIGER 우주방산"
2025-02-19,한화에어로스페이스,012450,KOSPI,639000,642000,619000,639000,527197,-0.62,98,"PLUS K방산,TIGER 우주방산"
2025-02-20,한화에어로스페이스,012450,KOSPI,627000,664000,608000,645000,890044,0.94,98,"PLUS K방산,TIGER 우주방산"
2025-02-21,한화에어로스페이스,012450,KOSPI,635000,668000,615000,660000,562770,2.33,98,"PLUS K방산,TIGER 우주방산"
2025-02-24,한화에어로스페이스,012450,KOSPI,658000,674000,652000,666000,386667,0.91,98,"PLUS K방산,TIGER 우주방산"
2025-02-25,한화에어로스페이스,012450,KOSPI,658000,695000,657000,680000,448687,2.1,98,"PLUS K방산,TIGER 우주방산"
2025-02-26,한화에어로스페이스,012450,KOSPI,689000,701000,663000,672000,351498,-1.18,98,"PLUS K방산,TIGER 우주방산"
2025-02-27,한화에어로스페이스,012450,KOSPI,663000,676000,633000,649000,486498,-3.42,98,"PLUS K방산,TIGER 우주방산"
2025-02-28,한화에어로스페이스,012450,KOSPI,643000,651000,592000,594000,763278,-8.47,98,"PLUS K방산,TIGER 우주방산"
2025-03-04,한화에어로스페이스,012450,KOSPI,633000,701000,627000,701000,1257407,18.01,98,"PLUS K방산,TIGER 우주방산"
2025-03-05,한화에어로스페이스,012450,KOSPI,688000,709000,670000,695000,778132,-0.86,98,"PLUS K방산,TIGER 우주방산"
2025-03-06,한화에어로스페이스,012450,KOSPI,714000,714000,671000,678000,582714,-2.45,98,"PLUS K방산,TIGER 우주방산"
2025-03-07,한화에어로스페이스,012450,KOSPI,680000,740000,664000,731000,952069,7.82,98,"PLUS K방산,TIGER 우주방산"
2025-03-10,한화에어로스페이스,012450,KOSPI,732000,745000,694000,702000,577521,-3.97,98,"PLUS K방산,TIGER 우주방산"
2025-03-11,한화에어로스페이스,012450,KOSPI,675000,692000,675000,678000,408683,-3.42,98,"PLUS K방산,TIGER 우주방산"
2025-03-12,한화에어로스페이스,012450,KOSPI,683000,704000,645000,665000,725675,-1.92,98,"PLUS K방산,TIGER 우주방산"
2025-03-13,한화에어로스페이스,012450,KOSPI,671000,714000,671000,707000,631379,6.32,98,"PLUS K방산,TIGER 우주방산"
2025-03-14,한화에어로스페이스,012450,KOSPI,700000,714000,696000,705000,294939,-0.28,98,"PLUS K방산,TIGER 우주방산"
2025-03-17,한화에어로스페이스,012450,KOSPI,714000,757000,709000,753000,666106,6.81,98,"PLUS K방산,TIGER 우주방산"
2025-03-18,한화에어로스페이스,012450,KOSPI,764000,781000,746000,764000,468996,1.46,98,"PLUS K방산,TIGER 우주방산"
