날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,더존비즈온,012510,KOSPI,57000,57700,56400,57000,93131,0.0,70,TIGER 인터넷TOP10
2025-01-21,더존비즈온,012510,KOSPI,57000,58200,56200,58100,146011,1.93,70,TIGER 인터넷TOP10
2025-01-22,더존비즈온,012510,KOSPI,58700,64500,58500,63600,635727,9.47,70,TIGER 인터넷TOP10
2025-01-23,더존비즈온,012510,KOSPI,63900,67900,63700,65800,465743,3.46,70,TIGER 인터넷TOP10
2025-01-24,더존비즈온,012510,KOSPI,66000,66800,65200,65900,137190,0.15,70,TIGER 인터넷TOP10
2025-01-31,더존비즈온,012510,KOSPI,69100,70900,66800,68700,499790,4.25,70,TIGER 인터넷TOP10
2025-02-03,더존비즈온,012510,KOSPI,69400,70100,66400,67100,291453,-2.33,70,TIGER 인터넷TOP10
2025-02-04,더존비즈온,012510,KOSPI,69000,71800,68200,70800,511714,5.51,70,TIGER 인터넷TOP10
2025-02-05,더존비즈온,012510,KOSPI,72200,77000,71000,74800,736914,5.65,70,TIGER 인터넷TOP10
2025-02-06,더존비즈온,012510,KOSPI,75300,88100,73900,88000,2180723,17.65,70,TIGER 인터넷TOP10
2025-02-07,더존비즈온,012510,KOSPI,88800,92000,84600,85700,922476,-2.61,70,TIGER 인터넷TOP10
2025-02-10,더존비즈온,012510,KOSPI,85700,85900,81400,81700,595654,-4.67,70,TIGER 인터넷TOP10
2025-02-11,더존비즈온,012510,KOSPI,82800,82900,79900,80800,481647,-1.1,70,TIGER 인터넷TOP10
2025-02-12,더존비즈온,012510,KOSPI,80500,81600,79300,80100,306295,-0.87,70,TIGER 인터넷TOP10
2025-02-13,더존비즈온,012510,KOSPI,80700,81900,79700,80300,231928,0.25,70,TIGER 인터넷TOP10
2025-02-14,더존비즈온,012510,KOSPI,80600,82200,79300,81400,402087,1.37,70,TIGER 인터넷TOP10
2025-02-17,더존비즈온,012510,KOSPI,82200,83900,76200,76500,483916,-6.02,70,TIGER 인터넷TOP10
2025-02-18,더존비즈온,012510,KOSPI,76500,80300,74400,79300,641682,3.66,70,TIGER 인터넷TOP10
2025-02-19,더존비즈온,012510,KOSPI,79700,80900,77200,77900,271395,-1.77,70,TIGER 인터넷TOP10
2025-02-20,더존비즈온,012510,KOSPI,78000,78900,75800,76800,189774,-1.41,70,TIGER 인터넷TOP10
2025-02-21,더존비즈온,012510,KOSPI,76400,78500,75500,77100,132250,0.39,70,TIGER 인터넷TOP10
2025-02-24,더존비즈온,012510,KOSPI,74900,75100,71500,72800,356655,-5.58,70,TIGER 인터넷TOP10
2025-02-25,더존비즈온,012510,KOSPI,72100,73200,71100,72100,203100,-0.96,70,TIGER 인터넷TOP10
2025-02-26,더존비즈온,012510,KOSPI,72200,74000,71600,72600,209418,0.69,70,TIGER 인터넷TOP10
2025-02-27,더존비즈온,012510,KOSPI,73700,74900,71700,71800,154328,-1.1,70,TIGER 인터넷TOP10
2025-02-28,더존비즈온,012510,KOSPI,70000,72200,69500,70500,241925,-1.81,70,TIGER 인터넷TOP10
2025-03-04,더존비즈온,012510,KOSPI,68300,69300,66500,67700,287842,-3.97,70,TIGER 인터넷TOP10
2025-03-05,더존비즈온,012510,KOSPI,67800,71600,67800,71400,221315,5.47,70,TIGER 인터넷TOP10
2025-03-06,더존비즈온,012510,KOSPI,72000,73500,69900,71300,170901,-0.14,70,TIGER 인터넷TOP10
2025-03-07,더존비즈온,012510,KOSPI,70600,70800,68900,69800,115065,-2.1,70,TIGER 인터넷TOP10
2025-03-10,더존비즈온,012510,KOSPI,70300,71600,69400,70000,102916,0.29,70,TIGER 인터넷TOP10
2025-03-11,더존비즈온,012510,KOSPI,67100,68700,67000,67600,116356,-3.43,70,TIGER 인터넷TOP10
2025-03-12,더존비즈온,012510,KOSPI,67300,70800,67300,70300,101408,3.99,70,TIGER 인터넷TOP10
2025-03-13,더존비즈온,012510,KOSPI,70900,70900,63700,66000,605726,-6.12,70,TIGER 인터넷TOP10
2025-03-14,더존비즈온,012510,KOSPI,65500,66700,64300,66300,140337,0.45,70,TIGER 인터넷TOP10
2025-03-17,더존비즈온,012510,KOSPI,66100,66700,56900,58200,1500704,-12.22,70,TIGER 인터넷TOP10
2025-03-18,더존비즈온,012510,KOSPI,58200,58600,56300,57700,576455,-0.86,70,TIGER 인터넷TOP10
