날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-22,한솔케미칼,014680,KOSPI,100400,100400,97100,99000,28218,0.0,93,SOL 반도체전공정
2025-01-23,한솔케미칼,014680,KOSPI,99900,99900,95300,96500,52915,-2.53,93,SOL 반도체전공정
2025-01-24,한솔케미칼,014680,KOSPI,98400,98500,95600,96000,35880,-0.52,93,SOL 반도체전공정
2025-01-31,한솔케미칼,014680,KOSPI,96900,97100,92200,92700,48005,-3.44,93,SOL 반도체전공정
2025-02-03,한솔케미칼,014680,KOSPI,90400,90900,87000,88000,83831,-5.07,93,SOL 반도체전공정
2025-02-04,한솔케미칼,014680,KOSPI,88300,91000,88100,89400,41851,1.59,93,SOL 반도체전공정
2025-02-05,한솔케미칼,014680,KOSPI,89400,92600,89400,90500,39757,1.23,93,SOL 반도체전공정
2025-02-06,한솔케미칼,014680,KOSPI,90500,92000,89500,91800,47680,1.44,93,SOL 반도체전공정
2025-02-07,한솔케미칼,014680,KOSPI,91800,95900,91200,94000,51167,2.4,93,SOL 반도체전공정
2025-02-10,한솔케미칼,014680,KOSPI,94500,100800,91200,99200,128635,5.53,93,SOL 반도체전공정
2025-02-11,한솔케미칼,014680,KOSPI,99200,100400,97100,98100,78041,-1.11,93,SOL 반도체전공정
2025-02-12,한솔케미칼,014680,KOSPI,98800,100100,96800,97700,47070,-0.41,93,SOL 반도체전공정
2025-02-13,한솔케미칼,014680,KOSPI,98900,104900,98800,102700,189083,5.12,93,SOL 반도체전공정
2025-02-14,한솔케미칼,014680,KOSPI,103100,107800,102100,106200,115078,3.41,93,SOL 반도체전공정
2025-02-17,한솔케미칼,014680,KOSPI,107000,111500,106500,107500,140743,1.22,93,SOL 반도체전공정
2025-02-18,한솔케미칼,014680,KOSPI,108000,113800,107700,112900,89210,5.02,93,SOL 반도체전공정
2025-02-19,한솔케미칼,014680,KOSPI,113800,119200,113000,117000,159693,3.63,93,SOL 반도체전공정
2025-02-20,한솔케미칼,014680,KOSPI,121500,126500,117900,119200,272463,1.88,93,SOL 반도체전공정
2025-02-21,한솔케미칼,014680,KOSPI,120200,120200,114700,118200,129208,-0.84,93,SOL 반도체전공정
2025-02-24,한솔케미칼,014680,KOSPI,116900,119800,115800,116100,89747,-1.78,93,SOL 반도체전공정
2025-02-25,한솔케미칼,014680,KOSPI,115000,119300,114600,115900,99314,-0.17,93,SOL 반도체전공정
2025-02-26,한솔케미칼,014680,KOSPI,118000,120000,114000,118300,85579,2.07,93,SOL 반도체전공정
2025-02-27,한솔케미칼,014680,KOSPI,118400,121500,116600,118300,68442,0.0,93,SOL 반도체전공정
2025-02-28,한솔케미칼,014680,KOSPI,116000,117000,109800,109800,109592,-7.19,93,SOL 반도체전공정
2025-03-04,한솔케미칼,014680,KOSPI,107100,109500,105500,107100,96208,-2.46,93,SOL 반도체전공정
2025-03-05,한솔케미칼,014680,KOSPI,108700,118200,108700,115400,91758,7.75,93,SOL 반도체전공정
2025-03-06,한솔케미칼,014680,KOSPI,115900,125000,115600,121000,198930,4.85,93,SOL 반도체전공정
2025-03-07,한솔케미칼,014680,KOSPI,119000,124900,119000,121100,125766,0.08,93,SOL 반도체전공정
2025-03-10,한솔케미칼,014680,KOSPI,121100,126300,119000,125300,91275,3.47,93,SOL 반도체전공정
2025-03-11,한솔케미칼,014680,KOSPI,119000,126900,118300,123200,130852,-1.68,93,SOL 반도체전공정
2025-03-12,한솔케미칼,014680,KOSPI,123500,133600,121500,132500,159822,7.55,93,SOL 반도체전공정
2025-03-13,한솔케미칼,014680,KOSPI,133400,139100,128500,131000,159987,-1.13,93,SOL 반도체전공정
2025-03-14,한솔케미칼,014680,KOSPI,131400,139400,131000,137500,136117,4.96,93,SOL 반도체전공정
2025-03-17,한솔케미칼,014680,KOSPI,140300,143900,138000,143700,87831,4.51,93,SOL 반도체전공정
2025-03-18,한솔케미칼,014680,KOSPI,145300,148100,134000,139000,139287,-3.27,93,SOL 반도체전공정
2025-03-19,한솔케미칼,014680,KOSPI,136300,144400,136100,141000,72607,1.44,93,SOL 반도체전공정
2025-03-20,한솔케미칼,014680,KOSPI,141000,141700,132600,134000,98859,-4.96,93,SOL 반도체전공정
2025-03-21,한솔케미칼,014680,KOSPI,133100,137900,131200,133900,86631,-0.07,93,SOL 반도체전공정
