날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,한국전력,015760,KOSPI,20750,20900,20600,20750,865294,0.0,42,ACE 원자력테마딥서치
2025-01-21,한국전력,015760,KOSPI,20900,21350,20850,21200,1664631,2.17,42,ACE 원자력테마딥서치
2025-01-22,한국전력,015760,KOSPI,21300,21400,20950,21000,1072444,-0.94,42,ACE 원자력테마딥서치
2025-01-23,한국전력,015760,KOSPI,21000,21050,20600,20800,996634,-0.95,42,ACE 원자력테마딥서치
2025-01-24,한국전력,015760,KOSPI,20800,21050,20650,21000,768592,0.96,42,ACE 원자력테마딥서치
2025-01-31,한국전력,015760,KOSPI,21250,21250,20800,21050,805990,0.24,42,ACE 원자력테마딥서치
2025-02-03,한국전력,015760,KOSPI,20850,20850,20450,20650,1088094,-1.9,42,ACE 원자력테마딥서치
2025-02-04,한국전력,015760,KOSPI,20800,20900,20550,20650,1031303,0.0,42,ACE 원자력테마딥서치
2025-02-05,한국전력,015760,KOSPI,20700,21150,20650,21050,1226805,1.94,42,ACE 원자력테마딥서치
2025-02-06,한국전력,015760,KOSPI,21200,21300,21000,21200,895892,0.71,42,ACE 원자력테마딥서치
2025-02-07,한국전력,015760,KOSPI,21050,21100,20750,20750,988722,-2.12,42,ACE 원자력테마딥서치
2025-02-10,한국전력,015760,KOSPI,20750,20900,20650,20700,793476,-0.24,42,ACE 원자력테마딥서치
2025-02-11,한국전력,015760,KOSPI,20700,20900,20550,20650,869389,-0.24,42,ACE 원자력테마딥서치
2025-02-12,한국전력,015760,KOSPI,20700,20750,20500,20650,933552,0.0,42,ACE 원자력테마딥서치
2025-02-13,한국전력,015760,KOSPI,20650,20750,20550,20700,1224800,0.24,42,ACE 원자력테마딥서치
2025-02-14,한국전력,015760,KOSPI,20700,21150,20650,21100,1445490,1.93,42,ACE 원자력테마딥서치
2025-02-17,한국전력,015760,KOSPI,21050,21300,21000,21200,940869,0.47,42,ACE 원자력테마딥서치
2025-02-18,한국전력,015760,KOSPI,21250,21300,20950,21200,1080543,0.0,42,ACE 원자력테마딥서치
2025-02-19,한국전력,015760,KOSPI,21200,21450,21150,21250,1395953,0.24,42,ACE 원자력테마딥서치
2025-02-20,한국전력,015760,KOSPI,21150,21950,21100,21900,2251248,3.06,42,ACE 원자력테마딥서치
2025-02-21,한국전력,015760,KOSPI,21950,22350,21750,21900,1489253,0.0,42,ACE 원자력테마딥서치
2025-02-24,한국전력,015760,KOSPI,21800,22100,21700,22050,1035684,0.68,42,ACE 원자력테마딥서치
2025-02-25,한국전력,015760,KOSPI,21850,23350,21800,22950,3867077,4.08,42,ACE 원자력테마딥서치
2025-02-26,한국전력,015760,KOSPI,23000,23700,22800,23500,2707503,2.4,42,ACE 원자력테마딥서치
2025-02-27,한국전력,015760,KOSPI,23350,23500,22900,23350,1881784,-0.64,42,ACE 원자력테마딥서치
2025-02-28,한국전력,015760,KOSPI,22800,22950,21050,21350,6539141,-8.57,42,ACE 원자력테마딥서치
2025-03-04,한국전력,015760,KOSPI,21250,21800,21050,21350,1747544,0.0,42,ACE 원자력테마딥서치
2025-03-05,한국전력,015760,KOSPI,21500,22250,21400,22050,1863386,3.28,42,ACE 원자력테마딥서치
2025-03-06,한국전력,015760,KOSPI,22300,22600,22150,22400,1474302,1.59,42,ACE 원자력테마딥서치
2025-03-07,한국전력,015760,KOSPI,22150,22400,21950,22250,1111305,-0.67,42,ACE 원자력테마딥서치
2025-03-10,한국전력,015760,KOSPI,22200,22950,22150,22700,1647965,2.02,42,ACE 원자력테마딥서치
2025-03-11,한국전력,015760,KOSPI,22250,22600,21950,22250,1443824,-1.98,42,ACE 원자력테마딥서치
2025-03-12,한국전력,015760,KOSPI,22100,22350,22050,22250,867592,0.0,42,ACE 원자력테마딥서치
2025-03-13,한국전력,015760,KOSPI,22100,22425,22000,22350,1407816,0.45,42,ACE 원자력테마딥서치
2025-03-14,한국전력,015760,KOSPI,22300,22650,22200,22250,992208,-0.45,42,ACE 원자력테마딥서치
2025-03-17,한국전력,015760,KOSPI,22300,22400,21800,22150,1344995,-0.45,42,ACE 원자력테마딥서치
2025-03-18,한국전력,015760,KOSPI,22150,22200,21600,21750,1566939,-1.81,42,ACE 원자력테마딥서치
