날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼성증권,016360,KOSPI,43500,44350,43450,44000,246982,0.0,75,KODEX 증권
2025-01-21,삼성증권,016360,KOSPI,44250,44450,44050,44200,213093,0.45,75,KODEX 증권
2025-01-22,삼성증권,016360,KOSPI,44500,45000,44200,44700,355772,1.13,75,KODEX 증권
2025-01-23,삼성증권,016360,KOSPI,44750,45450,44450,44500,307952,-0.45,75,KODEX 증권
2025-01-24,삼성증권,016360,KOSPI,44950,45000,44500,44650,238257,0.34,75,KODEX 증권
2025-01-31,삼성증권,016360,KOSPI,45050,45600,44650,45600,384649,2.13,75,KODEX 증권
2025-02-03,삼성증권,016360,KOSPI,45150,45850,44900,45700,335276,0.22,75,KODEX 증권
2025-02-04,삼성증권,016360,KOSPI,46000,46800,45500,46500,313503,1.75,75,KODEX 증권
2025-02-05,삼성증권,016360,KOSPI,46600,46700,46200,46650,228253,0.32,75,KODEX 증권
2025-02-06,삼성증권,016360,KOSPI,46800,47400,46250,46400,265750,-0.54,75,KODEX 증권
2025-02-07,삼성증권,016360,KOSPI,46400,47600,46400,47200,289225,1.72,75,KODEX 증권
2025-02-10,삼성증권,016360,KOSPI,47200,47600,46500,46550,228490,-1.38,75,KODEX 증권
2025-02-11,삼성증권,016360,KOSPI,46750,47050,45950,46650,243226,0.21,75,KODEX 증권
2025-02-12,삼성증권,016360,KOSPI,46900,47500,46600,46900,205757,0.54,75,KODEX 증권
2025-02-13,삼성증권,016360,KOSPI,47150,47200,45750,46750,381659,-0.32,75,KODEX 증권
2025-02-14,삼성증권,016360,KOSPI,46850,48350,46750,48250,438054,3.21,75,KODEX 증권
2025-02-17,삼성증권,016360,KOSPI,48350,49200,47900,49150,365432,1.87,75,KODEX 증권
2025-02-18,삼성증권,016360,KOSPI,49100,49450,48450,48950,228022,-0.41,75,KODEX 증권
2025-02-19,삼성증권,016360,KOSPI,48850,49350,48700,49000,218822,0.1,75,KODEX 증권
2025-02-20,삼성증권,016360,KOSPI,48800,49500,48500,48650,247094,-0.71,75,KODEX 증권
2025-02-21,삼성증권,016360,KOSPI,48650,49050,47350,47500,289559,-2.36,75,KODEX 증권
2025-02-24,삼성증권,016360,KOSPI,47200,47700,47200,47450,139013,-0.11,75,KODEX 증권
2025-02-25,삼성증권,016360,KOSPI,47250,47800,46950,47600,194679,0.32,75,KODEX 증권
2025-02-26,삼성증권,016360,KOSPI,47500,47950,47350,47750,200060,0.32,75,KODEX 증권
2025-02-27,삼성증권,016360,KOSPI,47300,47850,47000,47350,176933,-0.84,75,KODEX 증권
2025-02-28,삼성증권,016360,KOSPI,46750,46950,45400,45600,439887,-3.7,75,KODEX 증권
2025-03-04,삼성증권,016360,KOSPI,45450,46500,44200,45100,322315,-1.1,75,KODEX 증권
2025-03-05,삼성증권,016360,KOSPI,45300,45700,44350,44650,282756,-1.0,75,KODEX 증권
2025-03-06,삼성증권,016360,KOSPI,44850,46450,44800,45900,211131,2.8,75,KODEX 증권
2025-03-07,삼성증권,016360,KOSPI,45900,46450,45400,45400,183448,-1.09,75,KODEX 증권
2025-03-10,삼성증권,016360,KOSPI,45300,45925,45150,45650,184425,0.55,75,KODEX 증권
2025-03-11,삼성증권,016360,KOSPI,44600,45250,44350,44550,301849,-2.41,75,KODEX 증권
2025-03-12,삼성증권,016360,KOSPI,44400,45550,44400,45200,244320,1.46,75,KODEX 증권
2025-03-13,삼성증권,016360,KOSPI,45200,46500,45050,45500,322429,0.66,75,KODEX 증권
2025-03-14,삼성증권,016360,KOSPI,45450,45500,45000,45050,247700,-0.99,75,KODEX 증권
2025-03-17,삼성증권,016360,KOSPI,45350,46050,45300,46050,166255,2.22,75,KODEX 증권
2025-03-18,삼성증권,016360,KOSPI,46400,46750,45900,45900,142121,-0.33,75,KODEX 증권
2025-03-19,삼성증권,016360,KOSPI,46100,46550,45950,46300,130395,0.87,75,KODEX 증권
2025-03-20,삼성증권,016360,KOSPI,46350,46750,46200,46250,149235,-0.11,75,KODEX 증권
2025-03-21,삼성증권,016360,KOSPI,46150,46950,46050,46450,425283,0.43,75,KODEX 증권
