날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,SK텔레콤,017670,KOSPI,55500,55600,55100,55400,282138,0.0,56,TIGER 방송통신
2025-01-21,SK텔레콤,017670,KOSPI,55000,55500,54600,54900,694682,-0.9,56,TIGER 방송통신
2025-01-22,SK텔레콤,017670,KOSPI,55000,55200,54200,54500,712731,-0.73,56,TIGER 방송통신
2025-01-23,SK텔레콤,017670,KOSPI,54600,55200,54500,54900,454669,0.73,56,TIGER 방송통신
2025-01-24,SK텔레콤,017670,KOSPI,55100,55300,54300,54800,600388,-0.18,56,TIGER 방송통신
2025-01-31,SK텔레콤,017670,KOSPI,55300,55700,55000,55400,917281,1.09,56,TIGER 방송통신
2025-02-03,SK텔레콤,017670,KOSPI,54900,55900,54800,55900,1135847,0.9,56,TIGER 방송통신
2025-02-04,SK텔레콤,017670,KOSPI,55700,56100,55400,55700,427000,-0.36,56,TIGER 방송통신
2025-02-05,SK텔레콤,017670,KOSPI,55700,56100,55500,55800,385639,0.18,56,TIGER 방송통신
2025-02-06,SK텔레콤,017670,KOSPI,55800,56100,55500,56100,341741,0.54,56,TIGER 방송통신
2025-02-07,SK텔레콤,017670,KOSPI,55600,56000,55200,55200,425766,-1.6,56,TIGER 방송통신
2025-02-10,SK텔레콤,017670,KOSPI,55400,55800,54900,55000,666106,-0.36,56,TIGER 방송통신
2025-02-11,SK텔레콤,017670,KOSPI,55000,56000,55000,56000,502170,1.82,56,TIGER 방송통신
2025-02-12,SK텔레콤,017670,KOSPI,56500,57200,55700,56000,400834,0.0,56,TIGER 방송통신
2025-02-13,SK텔레콤,017670,KOSPI,55800,56300,55600,56300,521661,0.54,56,TIGER 방송통신
2025-02-14,SK텔레콤,017670,KOSPI,56300,56500,55900,56300,355303,0.0,56,TIGER 방송통신
2025-02-17,SK텔레콤,017670,KOSPI,56300,56700,55900,56400,369195,0.18,56,TIGER 방송통신
2025-02-18,SK텔레콤,017670,KOSPI,56200,56300,55800,56000,375811,-0.71,56,TIGER 방송통신
2025-02-19,SK텔레콤,017670,KOSPI,56100,57700,56000,57700,774212,3.04,56,TIGER 방송통신
2025-02-20,SK텔레콤,017670,KOSPI,58000,59100,57700,59100,755501,2.43,56,TIGER 방송통신
2025-02-21,SK텔레콤,017670,KOSPI,58800,58900,57800,58200,290145,-1.52,56,TIGER 방송통신
2025-02-24,SK텔레콤,017670,KOSPI,58200,59000,58100,58700,378570,0.86,56,TIGER 방송통신
2025-02-25,SK텔레콤,017670,KOSPI,58200,58200,57400,58200,423812,-0.85,56,TIGER 방송통신
2025-02-26,SK텔레콤,017670,KOSPI,58400,58500,57700,58000,613359,-0.34,56,TIGER 방송통신
2025-02-27,SK텔레콤,017670,KOSPI,57500,57500,55900,56300,949550,-2.93,56,TIGER 방송통신
2025-02-28,SK텔레콤,017670,KOSPI,56300,57200,56000,56000,1084138,-0.53,56,TIGER 방송통신
2025-03-04,SK텔레콤,017670,KOSPI,56700,57500,55800,56000,696920,0.0,56,TIGER 방송통신
2025-03-05,SK텔레콤,017670,KOSPI,56400,56800,56000,56600,538931,1.07,56,TIGER 방송통신
2025-03-06,SK텔레콤,017670,KOSPI,56300,56500,55500,56000,591270,-1.06,56,TIGER 방송통신
2025-03-07,SK텔레콤,017670,KOSPI,55900,56000,55100,55400,550882,-1.07,56,TIGER 방송통신
2025-03-10,SK텔레콤,017670,KOSPI,55000,56000,55000,55100,521608,-0.54,56,TIGER 방송통신
2025-03-11,SK텔레콤,017670,KOSPI,55000,55600,55000,55600,450300,0.91,56,TIGER 방송통신
2025-03-12,SK텔레콤,017670,KOSPI,55700,55900,55200,55900,372127,0.54,56,TIGER 방송통신
2025-03-13,SK텔레콤,017670,KOSPI,55900,56000,55300,56000,595666,0.18,56,TIGER 방송통신
2025-03-14,SK텔레콤,017670,KOSPI,56000,56000,55200,55300,510417,-1.25,56,TIGER 방송통신
2025-03-17,SK텔레콤,017670,KOSPI,55600,55800,55400,55800,550101,0.9,56,TIGER 방송통신
2025-03-18,SK텔레콤,017670,KOSPI,55700,56200,55500,55900,453085,0.18,56,TIGER 방송통신
