날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼성에스디에스,018260,KOSPI,124400,124600,122900,124600,85488,0.0,19,TIGER 소프트웨어
2025-01-21,삼성에스디에스,018260,KOSPI,125700,126400,122000,123200,153664,-1.12,19,TIGER 소프트웨어
2025-01-22,삼성에스디에스,018260,KOSPI,123400,126900,122800,126100,150220,2.35,19,TIGER 소프트웨어
2025-01-23,삼성에스디에스,018260,KOSPI,126100,128900,120900,121400,302700,-3.73,19,TIGER 소프트웨어
2025-01-24,삼성에스디에스,018260,KOSPI,121200,121200,113100,113700,793055,-6.34,19,TIGER 소프트웨어
2025-01-31,삼성에스디에스,018260,KOSPI,114900,120700,114700,120700,407844,6.16,19,TIGER 소프트웨어
2025-02-03,삼성에스디에스,018260,KOSPI,119200,123200,118300,122700,261098,1.66,19,TIGER 소프트웨어
2025-02-04,삼성에스디에스,018260,KOSPI,125000,128000,123900,125700,345751,2.44,19,TIGER 소프트웨어
2025-02-05,삼성에스디에스,018260,KOSPI,125800,129500,124800,127300,254589,1.27,19,TIGER 소프트웨어
2025-02-06,삼성에스디에스,018260,KOSPI,127900,128700,125700,127300,127379,0.0,19,TIGER 소프트웨어
2025-02-07,삼성에스디에스,018260,KOSPI,126100,127700,125300,126400,100357,-0.71,19,TIGER 소프트웨어
2025-02-10,삼성에스디에스,018260,KOSPI,126300,127100,124600,126300,116998,-0.08,19,TIGER 소프트웨어
2025-02-11,삼성에스디에스,018260,KOSPI,126300,127500,124800,125500,107139,-0.63,19,TIGER 소프트웨어
2025-02-12,삼성에스디에스,018260,KOSPI,126000,126800,125000,126300,74412,0.64,19,TIGER 소프트웨어
2025-02-13,삼성에스디에스,018260,KOSPI,126300,126700,124800,125300,130765,-0.79,19,TIGER 소프트웨어
2025-02-14,삼성에스디에스,018260,KOSPI,125400,130500,125400,129000,178851,2.95,19,TIGER 소프트웨어
2025-02-17,삼성에스디에스,018260,KOSPI,130000,131600,129500,130900,130643,1.47,19,TIGER 소프트웨어
2025-02-18,삼성에스디에스,018260,KOSPI,130100,131000,128100,129600,144008,-0.99,19,TIGER 소프트웨어
2025-02-19,삼성에스디에스,018260,KOSPI,129600,132300,129400,130900,97678,1.0,19,TIGER 소프트웨어
2025-02-20,삼성에스디에스,018260,KOSPI,129200,131000,129200,130000,98388,-0.69,19,TIGER 소프트웨어
2025-02-21,삼성에스디에스,018260,KOSPI,130000,130000,128200,129000,80338,-0.77,19,TIGER 소프트웨어
2025-02-24,삼성에스디에스,018260,KOSPI,128000,129800,128000,129700,61440,0.54,19,TIGER 소프트웨어
2025-02-25,삼성에스디에스,018260,KOSPI,129100,129500,126000,126000,131991,-2.85,19,TIGER 소프트웨어
2025-02-26,삼성에스디에스,018260,KOSPI,126000,127900,124900,127100,115438,0.87,19,TIGER 소프트웨어
2025-02-27,삼성에스디에스,018260,KOSPI,126500,126900,124500,126900,131436,-0.16,19,TIGER 소프트웨어
2025-02-28,삼성에스디에스,018260,KOSPI,125000,125600,122600,123300,179173,-2.84,19,TIGER 소프트웨어
2025-03-04,삼성에스디에스,018260,KOSPI,122900,123900,121300,121600,95668,-1.38,19,TIGER 소프트웨어
2025-03-05,삼성에스디에스,018260,KOSPI,122800,124200,121700,122900,108027,1.07,19,TIGER 소프트웨어
2025-03-06,삼성에스디에스,018260,KOSPI,122600,124100,121600,122300,124378,-0.49,19,TIGER 소프트웨어
2025-03-07,삼성에스디에스,018260,KOSPI,121200,122200,119900,120900,130135,-1.14,19,TIGER 소프트웨어
2025-03-10,삼성에스디에스,018260,KOSPI,120100,121500,119000,119600,119796,-1.08,19,TIGER 소프트웨어
2025-03-11,삼성에스디에스,018260,KOSPI,118000,119800,117100,118500,106466,-0.92,19,TIGER 소프트웨어
2025-03-12,삼성에스디에스,018260,KOSPI,118800,120100,118200,119100,121528,0.51,19,TIGER 소프트웨어
2025-03-13,삼성에스디에스,018260,KOSPI,119100,121800,118600,119200,160573,0.08,19,TIGER 소프트웨어
2025-03-14,삼성에스디에스,018260,KOSPI,119500,120900,118600,120200,109152,0.84,19,TIGER 소프트웨어
2025-03-17,삼성에스디에스,018260,KOSPI,121000,123000,120400,122800,120017,2.16,19,TIGER 소프트웨어
2025-03-18,삼성에스디에스,018260,KOSPI,123600,124200,121600,121700,107243,-0.9,19,TIGER 소프트웨어
