날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,아시아나항공,020560,KOSPI,10740,10770,10600,10640,123935,0.0,48,TIGER 여행레저
2025-01-21,아시아나항공,020560,KOSPI,10650,10700,10500,10560,162803,-0.75,48,TIGER 여행레저
2025-01-22,아시아나항공,020560,KOSPI,10650,10650,10490,10560,97252,0.0,48,TIGER 여행레저
2025-01-23,아시아나항공,020560,KOSPI,10560,10620,10420,10520,134225,-0.38,48,TIGER 여행레저
2025-01-24,아시아나항공,020560,KOSPI,10520,10660,10510,10520,87374,0.0,48,TIGER 여행레저
2025-01-31,아시아나항공,020560,KOSPI,10520,10670,10380,10560,159859,0.38,48,TIGER 여행레저
2025-02-03,아시아나항공,020560,KOSPI,10560,10560,10150,10220,146496,-3.22,48,TIGER 여행레저
2025-02-04,아시아나항공,020560,KOSPI,10310,10600,10230,10560,179734,3.33,48,TIGER 여행레저
2025-02-05,아시아나항공,020560,KOSPI,10560,10600,10460,10600,107445,0.38,48,TIGER 여행레저
2025-02-06,아시아나항공,020560,KOSPI,10630,10670,10300,10480,91141,-1.13,48,TIGER 여행레저
2025-02-07,아시아나항공,020560,KOSPI,10480,10500,10400,10430,60779,-0.48,48,TIGER 여행레저
2025-02-10,아시아나항공,020560,KOSPI,10430,10560,10380,10450,92897,0.19,48,TIGER 여행레저
2025-02-11,아시아나항공,020560,KOSPI,10450,10450,10240,10350,102010,-0.96,48,TIGER 여행레저
2025-02-12,아시아나항공,020560,KOSPI,10350,10420,10300,10350,67613,0.0,48,TIGER 여행레저
2025-02-13,아시아나항공,020560,KOSPI,10440,10440,10340,10390,110047,0.39,48,TIGER 여행레저
2025-02-14,아시아나항공,020560,KOSPI,10430,10470,10350,10360,112660,-0.29,48,TIGER 여행레저
2025-02-17,아시아나항공,020560,KOSPI,10380,10440,10340,10440,119580,0.77,48,TIGER 여행레저
2025-02-18,아시아나항공,020560,KOSPI,10440,10600,10410,10590,196777,1.44,48,TIGER 여행레저
2025-02-19,아시아나항공,020560,KOSPI,10590,10860,10530,10820,360681,2.17,48,TIGER 여행레저
2025-02-20,아시아나항공,020560,KOSPI,10820,10950,10780,10850,302593,0.28,48,TIGER 여행레저
2025-02-21,아시아나항공,020560,KOSPI,10850,10870,10730,10800,178325,-0.46,48,TIGER 여행레저
2025-02-24,아시아나항공,020560,KOSPI,10700,11020,10690,11020,246362,2.04,48,TIGER 여행레저
2025-02-25,아시아나항공,020560,KOSPI,11020,11020,10700,10900,112934,-1.09,48,TIGER 여행레저
2025-02-26,아시아나항공,020560,KOSPI,10900,11030,10700,10860,138716,-0.37,48,TIGER 여행레저
2025-02-27,아시아나항공,020560,KOSPI,10950,10990,10820,10890,116783,0.28,48,TIGER 여행레저
2025-02-28,아시아나항공,020560,KOSPI,10720,10820,10640,10680,121875,-1.93,48,TIGER 여행레저
2025-03-04,아시아나항공,020560,KOSPI,10600,10650,10530,10530,97195,-1.4,48,TIGER 여행레저
2025-03-05,아시아나항공,020560,KOSPI,10540,10700,10540,10660,91546,1.23,48,TIGER 여행레저
2025-03-06,아시아나항공,020560,KOSPI,10710,10950,10690,10920,162007,2.44,48,TIGER 여행레저
2025-03-07,아시아나항공,020560,KOSPI,10830,11090,10830,11090,294341,1.56,48,TIGER 여행레저
2025-03-10,아시아나항공,020560,KOSPI,11090,11100,10800,10880,125125,-1.89,48,TIGER 여행레저
2025-03-11,아시아나항공,020560,KOSPI,10550,10850,10520,10630,133828,-2.3,48,TIGER 여행레저
2025-03-12,아시아나항공,020560,KOSPI,10630,10740,10600,10640,91061,0.09,48,TIGER 여행레저
2025-03-13,아시아나항공,020560,KOSPI,10700,10700,10470,10570,122392,-0.66,48,TIGER 여행레저
2025-03-14,아시아나항공,020560,KOSPI,10550,10615,10490,10580,64895,0.09,48,TIGER 여행레저
2025-03-17,아시아나항공,020560,KOSPI,10590,10680,10460,10480,106565,-0.95,48,TIGER 여행레저
2025-03-18,아시아나항공,020560,KOSPI,10460,10540,10440,10450,76699,-0.29,48,TIGER 여행레저
