날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼성E&A,028050,KOSPI,18510,18530,18120,18220,912367,0.0,69,TIGER 200 건설
2025-01-21,삼성E&A,028050,KOSPI,18310,18900,18310,18810,1415032,3.24,69,TIGER 200 건설
2025-01-22,삼성E&A,028050,KOSPI,18720,18850,18430,18520,1050916,-1.54,69,TIGER 200 건설
2025-01-23,삼성E&A,028050,KOSPI,18500,18580,17400,17440,1839171,-5.83,69,TIGER 200 건설
2025-01-24,삼성E&A,028050,KOSPI,17640,18020,17610,17840,1345457,2.29,69,TIGER 200 건설
2025-01-31,삼성E&A,028050,KOSPI,18000,18250,17770,18010,1234195,0.95,69,TIGER 200 건설
2025-02-03,삼성E&A,028050,KOSPI,17750,18530,17490,18330,1620062,1.78,69,TIGER 200 건설
2025-02-04,삼성E&A,028050,KOSPI,18440,18470,18060,18070,1406457,-1.42,69,TIGER 200 건설
2025-02-05,삼성E&A,028050,KOSPI,18080,18150,17730,17730,1456226,-1.88,69,TIGER 200 건설
2025-02-06,삼성E&A,028050,KOSPI,17840,18160,17730,18040,1452550,1.75,69,TIGER 200 건설
2025-02-07,삼성E&A,028050,KOSPI,17970,18080,17660,17660,1139444,-2.11,69,TIGER 200 건설
2025-02-10,삼성E&A,028050,KOSPI,17610,17940,17460,17830,691292,0.96,69,TIGER 200 건설
2025-02-11,삼성E&A,028050,KOSPI,17890,18910,17890,18790,3160308,5.38,69,TIGER 200 건설
2025-02-12,삼성E&A,028050,KOSPI,18750,18760,18210,18210,1711955,-3.09,69,TIGER 200 건설
2025-02-13,삼성E&A,028050,KOSPI,18270,19190,18180,18910,2616550,3.84,69,TIGER 200 건설
2025-02-14,삼성E&A,028050,KOSPI,19080,19250,18410,18540,2113500,-1.96,69,TIGER 200 건설
2025-02-17,삼성E&A,028050,KOSPI,18560,19020,18440,18730,1285447,1.02,69,TIGER 200 건설
2025-02-18,삼성E&A,028050,KOSPI,18780,19120,18480,18510,1425265,-1.17,69,TIGER 200 건설
2025-02-19,삼성E&A,028050,KOSPI,18540,18870,18360,18720,1112739,1.13,69,TIGER 200 건설
2025-02-20,삼성E&A,028050,KOSPI,18640,18700,18250,18620,1090157,-0.53,69,TIGER 200 건설
2025-02-21,삼성E&A,028050,KOSPI,18560,18740,18420,18470,503131,-0.81,69,TIGER 200 건설
2025-02-24,삼성E&A,028050,KOSPI,18270,18350,17660,17920,1757135,-2.98,69,TIGER 200 건설
2025-02-25,삼성E&A,028050,KOSPI,17770,18180,17670,17680,1887794,-1.34,69,TIGER 200 건설
2025-02-26,삼성E&A,028050,KOSPI,17650,18230,17620,18010,1619123,1.87,69,TIGER 200 건설
2025-02-27,삼성E&A,028050,KOSPI,18120,18390,17590,17850,1984394,-0.89,69,TIGER 200 건설
2025-02-28,삼성E&A,028050,KOSPI,17580,17600,16380,16380,18276555,-8.24,69,TIGER 200 건설
2025-03-04,삼성E&A,028050,KOSPI,16380,17240,16380,16870,2381924,2.99,69,TIGER 200 건설
2025-03-05,삼성E&A,028050,KOSPI,16800,17840,16800,17700,2290404,4.92,69,TIGER 200 건설
2025-03-06,삼성E&A,028050,KOSPI,17890,18840,17580,18720,3613044,5.76,69,TIGER 200 건설
2025-03-07,삼성E&A,028050,KOSPI,18460,18840,18260,18440,1983036,-1.5,69,TIGER 200 건설
2025-03-10,삼성E&A,028050,KOSPI,18440,18440,17960,18070,1020065,-2.01,69,TIGER 200 건설
2025-03-11,삼성E&A,028050,KOSPI,17650,18380,17620,18350,2156573,1.55,69,TIGER 200 건설
2025-03-12,삼성E&A,028050,KOSPI,18350,18800,18020,18550,1603864,1.09,69,TIGER 200 건설
2025-03-13,삼성E&A,028050,KOSPI,18780,19650,18720,19300,4118117,4.04,69,TIGER 200 건설
2025-03-14,삼성E&A,028050,KOSPI,19330,19570,18740,18740,1658343,-2.9,69,TIGER 200 건설
2025-03-17,삼성E&A,028050,KOSPI,18800,19420,18800,19420,1658310,3.63,69,TIGER 200 건설
2025-03-18,삼성E&A,028050,KOSPI,19580,20750,19570,20600,4186740,6.08,69,TIGER 200 건설
