날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼성물산,028260,KOSPI,121200,123000,120000,120700,141994,0.0,35,TIGER 200 건설
2025-01-21,삼성물산,028260,KOSPI,121200,121400,118700,119400,133769,-1.08,35,TIGER 200 건설
2025-01-22,삼성물산,028260,KOSPI,120300,123600,119200,122600,210404,2.68,35,TIGER 200 건설
2025-01-23,삼성물산,028260,KOSPI,123600,123900,115600,115600,678881,-5.71,35,TIGER 200 건설
2025-01-24,삼성물산,028260,KOSPI,116400,116600,114200,115000,392757,-0.52,35,TIGER 200 건설
2025-01-31,삼성물산,028260,KOSPI,116100,119900,114200,119900,630392,4.26,35,TIGER 200 건설
2025-02-03,삼성물산,028260,KOSPI,118600,119600,116000,118700,420051,-1.0,35,TIGER 200 건설
2025-02-04,삼성물산,028260,KOSPI,119000,121400,117600,118600,296534,-0.08,35,TIGER 200 건설
2025-02-05,삼성물산,028260,KOSPI,119600,119900,117700,118500,177434,-0.08,35,TIGER 200 건설
2025-02-06,삼성물산,028260,KOSPI,119100,119600,118000,119600,185334,0.93,35,TIGER 200 건설
2025-02-07,삼성물산,028260,KOSPI,118500,120300,118200,120000,217647,0.33,35,TIGER 200 건설
2025-02-10,삼성물산,028260,KOSPI,119200,119700,116600,118600,289759,-1.17,35,TIGER 200 건설
2025-02-11,삼성물산,028260,KOSPI,118600,120000,117800,118800,215247,0.17,35,TIGER 200 건설
2025-02-12,삼성물산,028260,KOSPI,119900,121600,119000,121000,226397,1.85,35,TIGER 200 건설
2025-02-13,삼성물산,028260,KOSPI,121400,122100,120300,121600,269261,0.5,35,TIGER 200 건설
2025-02-14,삼성물산,028260,KOSPI,121800,129000,121800,127600,678715,4.93,35,TIGER 200 건설
2025-02-17,삼성물산,028260,KOSPI,129700,131900,128500,130400,467897,2.19,35,TIGER 200 건설
2025-02-18,삼성물산,028260,KOSPI,129800,133500,129100,132900,394727,1.92,35,TIGER 200 건설
2025-02-19,삼성물산,028260,KOSPI,132100,136800,131100,134400,392444,1.13,35,TIGER 200 건설
2025-02-20,삼성물산,028260,KOSPI,133100,135000,131800,132700,323264,-1.26,35,TIGER 200 건설
2025-02-21,삼성물산,028260,KOSPI,132700,132700,127800,128900,397648,-2.86,35,TIGER 200 건설
2025-02-24,삼성물산,028260,KOSPI,128900,130100,127700,130100,237007,0.93,35,TIGER 200 건설
2025-02-25,삼성물산,028260,KOSPI,128800,130600,127100,129100,249280,-0.77,35,TIGER 200 건설
2025-02-26,삼성물산,028260,KOSPI,128000,128600,124300,125200,465642,-3.02,35,TIGER 200 건설
2025-02-27,삼성물산,028260,KOSPI,125700,126900,125200,126000,212770,0.64,35,TIGER 200 건설
2025-02-28,삼성물산,028260,KOSPI,124700,124800,121500,121500,499389,-3.57,35,TIGER 200 건설
2025-03-04,삼성물산,028260,KOSPI,121300,124400,121200,122200,199433,0.58,35,TIGER 200 건설
2025-03-05,삼성물산,028260,KOSPI,122100,123000,121000,121500,239312,-0.57,35,TIGER 200 건설
2025-03-06,삼성물산,028260,KOSPI,122100,123700,121700,122300,210702,0.66,35,TIGER 200 건설
2025-03-07,삼성물산,028260,KOSPI,121200,123000,119300,122200,231386,-0.08,35,TIGER 200 건설
2025-03-10,삼성물산,028260,KOSPI,121000,122900,120900,122200,135883,0.0,35,TIGER 200 건설
2025-03-11,삼성물산,028260,KOSPI,119500,120200,118200,119200,203070,-2.45,35,TIGER 200 건설
2025-03-12,삼성물산,028260,KOSPI,119100,120200,118200,119600,281555,0.34,35,TIGER 200 건설
2025-03-13,삼성물산,028260,KOSPI,119600,121600,118600,118900,285549,-0.59,35,TIGER 200 건설
2025-03-14,삼성물산,028260,KOSPI,119100,119800,118300,119600,275806,0.59,35,TIGER 200 건설
2025-03-17,삼성물산,028260,KOSPI,120500,124500,120500,123500,373791,3.26,35,TIGER 200 건설
2025-03-18,삼성물산,028260,KOSPI,124000,124100,121900,122300,177144,-0.97,35,TIGER 200 건설
