날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,HLB,028300,KOSPI,78100,79000,77100,77100,462952,0.0,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-21,HLB,028300,KOSPI,77300,80900,76700,80300,794567,4.15,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-22,HLB,028300,KOSPI,79800,81400,79600,79600,668716,-0.87,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-23,HLB,028300,KOSPI,79300,80500,78700,80400,422155,1.01,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-24,HLB,028300,KOSPI,79100,80400,74700,79100,1075796,-1.62,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-01-31,HLB,028300,KOSPI,77000,81200,77000,80400,927124,1.64,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-03,HLB,028300,KOSPI,80500,81000,78000,79600,822939,-1.0,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-04,HLB,028300,KOSPI,79600,81500,79600,80200,806018,0.75,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-05,HLB,028300,KOSPI,80700,80700,78800,78800,597863,-1.75,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-06,HLB,028300,KOSPI,78500,79100,75400,75900,1335816,-3.68,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-07,HLB,028300,KOSPI,75600,78300,75600,76600,751500,0.92,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-10,HLB,028300,KOSPI,76600,77000,75200,75300,612383,-1.7,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-11,HLB,028300,KOSPI,75300,76000,74200,75100,529604,-0.27,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-12,HLB,028300,KOSPI,75200,75800,74400,75400,365923,0.4,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-13,HLB,028300,KOSPI,75600,75700,74100,74300,561293,-1.46,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-14,HLB,028300,KOSPI,74500,84100,74300,81300,3609591,9.42,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-17,HLB,028300,KOSPI,82300,86400,81000,85400,2181135,5.04,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-18,HLB,028300,KOSPI,86400,88500,85000,87700,1496996,2.69,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-19,HLB,028300,KOSPI,87800,88400,85500,88000,947663,0.34,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-20,HLB,028300,KOSPI,86800,88400,82300,84500,1490970,-3.98,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-21,HLB,028300,KOSPI,84300,86200,81500,81800,869213,-3.2,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-24,HLB,028300,KOSPI,81000,88900,80600,88000,2085752,7.58,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-25,HLB,028300,KOSPI,86500,89000,85900,87700,1322836,-0.34,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-26,HLB,028300,KOSPI,87800,88200,84500,84600,1121582,-3.53,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-27,HLB,028300,KOSPI,85500,97600,85400,92500,6153670,9.34,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-02-28,HLB,028300,KOSPI,91500,92500,88400,89300,1796215,-3.46,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-04,HLB,028300,KOSPI,90000,91500,87000,89400,1231071,0.11,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-05,HLB,028300,KOSPI,90300,92000,88100,89300,965337,-0.11,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-06,HLB,028300,KOSPI,89900,91000,84500,85500,1467748,-4.26,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-07,HLB,028300,KOSPI,85400,88000,84500,85800,831026,0.35,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-10,HLB,028300,KOSPI,85800,85800,67600,79800,2982122,-6.99,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-11,HLB,028300,KOSPI,79000,83800,77100,78500,1267720,-1.63,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-12,HLB,028300,KOSPI,78600,81000,77700,78500,774381,0.0,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-13,HLB,028300,KOSPI,78600,79900,71800,74200,2615081,-5.48,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-14,HLB,028300,KOSPI,74200,77300,71500,72000,1877712,-2.96,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
2025-03-17,HLB,028300,KOSPI,73400,78000,73100,75600,2111602,5.0,67,"TIGER 코스닥150바이오테크,KODEX 코스닥150"
