날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,KT,030200,KOSPI,45850,46600,45550,46050,332417,0.0,84,TIGER 방송통신
2025-01-21,KT,030200,KOSPI,46150,46900,45600,46000,351925,-0.11,84,TIGER 방송통신
2025-01-22,KT,030200,KOSPI,46500,46700,45350,45550,592090,-0.98,84,TIGER 방송통신
2025-01-23,KT,030200,KOSPI,45900,46200,45650,45650,237013,0.22,84,TIGER 방송통신
2025-01-24,KT,030200,KOSPI,45700,47000,45700,47000,366537,2.96,84,TIGER 방송통신
2025-01-31,KT,030200,KOSPI,47450,48200,47050,48000,679942,2.13,84,TIGER 방송통신
2025-02-03,KT,030200,KOSPI,48500,48550,46750,46900,395742,-2.29,84,TIGER 방송통신
2025-02-04,KT,030200,KOSPI,46950,47200,46500,46700,620994,-0.43,84,TIGER 방송통신
2025-02-05,KT,030200,KOSPI,46750,47750,46450,46450,458850,-0.54,84,TIGER 방송통신
2025-02-06,KT,030200,KOSPI,46600,47000,45450,46050,696822,-0.86,84,TIGER 방송통신
2025-02-07,KT,030200,KOSPI,45600,45900,45250,45350,490595,-1.52,84,TIGER 방송통신
2025-02-10,KT,030200,KOSPI,45350,45850,45200,45850,290170,1.1,84,TIGER 방송통신
2025-02-11,KT,030200,KOSPI,45500,46000,45350,46000,713574,0.33,84,TIGER 방송통신
2025-02-12,KT,030200,KOSPI,46300,46300,45100,45150,555153,-1.85,84,TIGER 방송통신
2025-02-13,KT,030200,KOSPI,45250,45850,45050,45200,695896,0.11,84,TIGER 방송통신
2025-02-14,KT,030200,KOSPI,45400,46950,45300,46950,638050,3.87,84,TIGER 방송통신
2025-02-17,KT,030200,KOSPI,46950,47700,46600,46800,620264,-0.32,84,TIGER 방송통신
2025-02-18,KT,030200,KOSPI,47200,47200,46450,46550,406036,-0.53,84,TIGER 방송통신
2025-02-19,KT,030200,KOSPI,46250,47150,46250,46800,527839,0.54,84,TIGER 방송통신
2025-02-20,KT,030200,KOSPI,46350,47650,46300,47650,894518,1.82,84,TIGER 방송통신
2025-02-21,KT,030200,KOSPI,47700,47750,47200,47200,544496,-0.94,84,TIGER 방송통신
2025-02-24,KT,030200,KOSPI,47200,48350,47200,48000,596474,1.69,84,TIGER 방송통신
2025-02-25,KT,030200,KOSPI,47550,48150,47500,47800,427938,-0.42,84,TIGER 방송통신
2025-02-26,KT,030200,KOSPI,48200,48400,47900,48050,882045,0.52,84,TIGER 방송통신
2025-02-27,KT,030200,KOSPI,47900,48050,46900,47650,784894,-0.83,84,TIGER 방송통신
2025-02-28,KT,030200,KOSPI,47300,47650,46800,47000,545342,-1.36,84,TIGER 방송통신
2025-03-04,KT,030200,KOSPI,46850,48000,46850,47700,444485,1.49,84,TIGER 방송통신
2025-03-05,KT,030200,KOSPI,47600,47700,46900,47400,457065,-0.63,84,TIGER 방송통신
2025-03-06,KT,030200,KOSPI,47500,48500,47500,48500,639687,2.32,84,TIGER 방송통신
2025-03-07,KT,030200,KOSPI,48500,48500,48050,48050,297451,-0.93,84,TIGER 방송통신
2025-03-10,KT,030200,KOSPI,47850,48700,47850,48250,383525,0.42,84,TIGER 방송통신
2025-03-11,KT,030200,KOSPI,47750,48150,47400,47550,348493,-1.45,84,TIGER 방송통신
2025-03-12,KT,030200,KOSPI,47600,48950,47550,48850,365345,2.73,84,TIGER 방송통신
2025-03-13,KT,030200,KOSPI,48850,49800,48400,48400,748911,-0.92,84,TIGER 방송통신
2025-03-14,KT,030200,KOSPI,48550,49400,48250,49100,513610,1.45,84,TIGER 방송통신
2025-03-17,KT,030200,KOSPI,49250,49900,49150,49800,345293,1.43,84,TIGER 방송통신
2025-03-18,KT,030200,KOSPI,49800,50000,49500,49500,292814,-0.6,84,TIGER 방송통신
2025-03-19,KT,030200,KOSPI,49800,50900,49700,50700,498981,2.42,84,TIGER 방송통신
2025-03-20,KT,030200,KOSPI,50800,51500,50400,50700,399091,0.0,84,TIGER 방송통신
2025-03-21,KT,030200,KOSPI,50200,51000,49750,49750,299550,-1.87,84,TIGER 방송통신
