날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,LG유플러스,032640,KOSPI,10320,10350,10260,10340,444077,0.0,68,TIGER 방송통신
2025-01-21,LG유플러스,032640,KOSPI,10290,10320,9970,9990,1656987,-3.38,68,TIGER 방송통신
2025-01-22,LG유플러스,032640,KOSPI,10010,10030,9890,9910,960161,-0.8,68,TIGER 방송통신
2025-01-23,LG유플러스,032640,KOSPI,9950,9980,9860,9870,915268,-0.4,68,TIGER 방송통신
2025-01-24,LG유플러스,032640,KOSPI,9880,9990,9870,9940,728736,0.71,68,TIGER 방송통신
2025-01-31,LG유플러스,032640,KOSPI,10050,10080,9940,10040,963981,1.01,68,TIGER 방송통신
2025-02-03,LG유플러스,032640,KOSPI,9950,10050,9930,10020,844350,-0.2,68,TIGER 방송통신
2025-02-04,LG유플러스,032640,KOSPI,10020,10080,9950,9950,1771139,-0.7,68,TIGER 방송통신
2025-02-05,LG유플러스,032640,KOSPI,10040,10300,10030,10190,1052183,2.41,68,TIGER 방송통신
2025-02-06,LG유플러스,032640,KOSPI,10260,10410,10230,10360,1156387,1.67,68,TIGER 방송통신
2025-02-07,LG유플러스,032640,KOSPI,10260,10610,10210,10500,1469398,1.35,68,TIGER 방송통신
2025-02-10,LG유플러스,032640,KOSPI,10490,10670,10480,10510,885821,0.1,68,TIGER 방송통신
2025-02-11,LG유플러스,032640,KOSPI,10500,10650,10420,10590,1030663,0.76,68,TIGER 방송통신
2025-02-12,LG유플러스,032640,KOSPI,10690,10690,10510,10510,453289,-0.76,68,TIGER 방송통신
2025-02-13,LG유플러스,032640,KOSPI,10540,10670,10510,10550,1208359,0.38,68,TIGER 방송통신
2025-02-14,LG유플러스,032640,KOSPI,10560,10840,10550,10690,840319,1.33,68,TIGER 방송통신
2025-02-17,LG유플러스,032640,KOSPI,10720,10810,10670,10740,519704,0.47,68,TIGER 방송통신
2025-02-18,LG유플러스,032640,KOSPI,10710,10810,10590,10650,581025,-0.84,68,TIGER 방송통신
2025-02-19,LG유플러스,032640,KOSPI,10560,10730,10560,10620,739473,-0.28,68,TIGER 방송통신
2025-02-20,LG유플러스,032640,KOSPI,10540,10850,10530,10850,672967,2.17,68,TIGER 방송통신
2025-02-21,LG유플러스,032640,KOSPI,10850,10850,10640,10640,391120,-1.94,68,TIGER 방송통신
2025-02-24,LG유플러스,032640,KOSPI,10640,10770,10580,10730,530906,0.85,68,TIGER 방송통신
2025-02-25,LG유플러스,032640,KOSPI,10630,10700,10610,10640,372928,-0.84,68,TIGER 방송통신
2025-02-26,LG유플러스,032640,KOSPI,10690,10800,10640,10750,669479,1.03,68,TIGER 방송통신
2025-02-27,LG유플러스,032640,KOSPI,10690,10740,10560,10660,574116,-0.84,68,TIGER 방송통신
2025-02-28,LG유플러스,032640,KOSPI,10650,10650,10480,10580,1460358,-0.75,68,TIGER 방송통신
2025-03-04,LG유플러스,032640,KOSPI,10580,10730,10500,10500,937660,-0.76,68,TIGER 방송통신
2025-03-05,LG유플러스,032640,KOSPI,10650,10800,10510,10570,589566,0.67,68,TIGER 방송통신
2025-03-06,LG유플러스,032640,KOSPI,10630,10710,10590,10670,507081,0.95,68,TIGER 방송통신
2025-03-07,LG유플러스,032640,KOSPI,10660,10670,10520,10560,557021,-1.03,68,TIGER 방송통신
2025-03-10,LG유플러스,032640,KOSPI,10500,10600,10470,10530,450653,-0.28,68,TIGER 방송통신
2025-03-11,LG유플러스,032640,KOSPI,10400,10530,10330,10450,646973,-0.76,68,TIGER 방송통신
2025-03-12,LG유플러스,032640,KOSPI,10450,10750,10440,10690,815051,2.3,68,TIGER 방송통신
2025-03-13,LG유플러스,032640,KOSPI,10700,10820,10630,10730,1184208,0.37,68,TIGER 방송통신
2025-03-14,LG유플러스,032640,KOSPI,10740,10740,10600,10710,569189,-0.19,68,TIGER 방송통신
2025-03-17,LG유플러스,032640,KOSPI,10710,10900,10710,10900,886983,1.77,68,TIGER 방송통신
2025-03-18,LG유플러스,032640,KOSPI,10870,10890,10770,10810,715448,-0.83,68,TIGER 방송통신
2025-03-19,LG유플러스,032640,KOSPI,10870,10920,10810,10860,560142,0.46,68,TIGER 방송통신
2025-03-20,LG유플러스,032640,KOSPI,10820,10870,10750,10820,600899,-0.37,68,TIGER 방송통신
2025-03-21,LG유플러스,032640,KOSPI,10770,10840,10740,10750,1425804,-0.65,68,TIGER 방송통신
