날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,삼성생명,032830,KOSPI,91100,91500,87900,88100,255900,0.0,26,KODEX 보험
2025-01-21,삼성생명,032830,KOSPI,88500,88700,85500,85800,345576,-2.61,26,KODEX 보험
2025-01-22,삼성생명,032830,KOSPI,86400,87300,85200,85200,323289,-0.7,26,KODEX 보험
2025-01-23,삼성생명,032830,KOSPI,84500,86900,83300,83600,287898,-1.88,26,KODEX 보험
2025-01-24,삼성생명,032830,KOSPI,83500,83700,81000,81200,397120,-2.87,26,KODEX 보험
2025-01-31,삼성생명,032830,KOSPI,83100,89500,81800,89100,630866,9.73,26,KODEX 보험
2025-02-03,삼성생명,032830,KOSPI,87500,92300,85800,91600,468783,2.81,26,KODEX 보험
2025-02-04,삼성생명,032830,KOSPI,92500,95600,91800,93900,451185,2.51,26,KODEX 보험
2025-02-05,삼성생명,032830,KOSPI,94900,96900,94400,95000,331635,1.17,26,KODEX 보험
2025-02-06,삼성생명,032830,KOSPI,95000,95500,93100,94800,203849,-0.21,26,KODEX 보험
2025-02-07,삼성생명,032830,KOSPI,93700,93900,90800,90900,532899,-4.11,26,KODEX 보험
2025-02-10,삼성생명,032830,KOSPI,90600,91200,89600,89800,163286,-1.21,26,KODEX 보험
2025-02-11,삼성생명,032830,KOSPI,90100,91000,89100,89100,133169,-0.78,26,KODEX 보험
2025-02-12,삼성생명,032830,KOSPI,88400,92400,88400,90800,283889,1.91,26,KODEX 보험
2025-02-13,삼성생명,032830,KOSPI,90300,91200,88800,90000,240316,-0.88,26,KODEX 보험
2025-02-14,삼성생명,032830,KOSPI,91900,97700,91500,96600,691310,7.33,26,KODEX 보험
2025-02-17,삼성생명,032830,KOSPI,97500,103700,96800,103600,528399,7.25,26,KODEX 보험
2025-02-18,삼성생명,032830,KOSPI,102600,103600,101100,101400,277901,-2.12,26,KODEX 보험
2025-02-19,삼성생명,032830,KOSPI,100100,102300,99800,100500,280507,-0.89,26,KODEX 보험
2025-02-20,삼성생명,032830,KOSPI,100000,102600,95100,95500,367821,-4.98,26,KODEX 보험
2025-02-21,삼성생명,032830,KOSPI,96200,96300,89700,90300,568688,-5.45,26,KODEX 보험
2025-02-24,삼성생명,032830,KOSPI,90600,91500,90000,91200,312335,1.0,26,KODEX 보험
2025-02-25,삼성생명,032830,KOSPI,90200,90600,89500,89700,290433,-1.64,26,KODEX 보험
2025-02-26,삼성생명,032830,KOSPI,89800,90500,88700,90300,177923,0.67,26,KODEX 보험
2025-02-27,삼성생명,032830,KOSPI,90300,90500,87900,89300,296207,-1.11,26,KODEX 보험
2025-02-28,삼성생명,032830,KOSPI,88400,88900,86300,86800,420133,-2.8,26,KODEX 보험
2025-03-04,삼성생명,032830,KOSPI,86000,86800,85200,85700,147592,-1.27,26,KODEX 보험
2025-03-05,삼성생명,032830,KOSPI,85800,87600,84800,85200,373148,-0.58,26,KODEX 보험
2025-03-06,삼성생명,032830,KOSPI,85400,86300,84500,85400,254242,0.23,26,KODEX 보험
2025-03-07,삼성생명,032830,KOSPI,85300,85900,83600,84000,391941,-1.64,26,KODEX 보험
2025-03-10,삼성생명,032830,KOSPI,84000,85800,83500,84800,163827,0.95,26,KODEX 보험
2025-03-11,삼성생명,032830,KOSPI,83200,84100,82500,83100,274168,-2.0,26,KODEX 보험
2025-03-12,삼성생명,032830,KOSPI,82900,84600,82700,84100,237900,1.2,26,KODEX 보험
2025-03-13,삼성생명,032830,KOSPI,84100,85000,82500,83100,341093,-1.19,26,KODEX 보험
2025-03-14,삼성생명,032830,KOSPI,83400,83400,81600,82000,213583,-1.32,26,KODEX 보험
2025-03-17,삼성생명,032830,KOSPI,83100,83300,81600,82600,248719,0.73,26,KODEX 보험
2025-03-18,삼성생명,032830,KOSPI,83200,85000,82900,84100,311864,1.82,26,KODEX 보험
