날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,두산에너빌리티,034020,KOSPI,22100,22900,21600,21900,16311734,0.0,91,ACE 원자력테마딥서치
2025-01-21,두산에너빌리티,034020,KOSPI,22150,22350,21700,22050,6325422,0.68,91,ACE 원자력테마딥서치
2025-01-22,두산에너빌리티,034020,KOSPI,22550,24250,22500,23950,31258484,8.62,91,ACE 원자력테마딥서치
2025-01-23,두산에너빌리티,034020,KOSPI,24050,24100,23400,23850,10160667,-0.42,91,ACE 원자력테마딥서치
2025-01-24,두산에너빌리티,034020,KOSPI,24900,25150,24300,24700,15520011,3.56,91,ACE 원자력테마딥서치
2025-01-31,두산에너빌리티,034020,KOSPI,23500,24100,23150,23900,15303404,-3.24,91,ACE 원자력테마딥서치
2025-02-03,두산에너빌리티,034020,KOSPI,23150,23800,23100,23350,9026940,-2.3,91,ACE 원자력테마딥서치
2025-02-04,두산에너빌리티,034020,KOSPI,24000,24750,23650,24400,9612429,4.5,91,ACE 원자력테마딥서치
2025-02-05,두산에너빌리티,034020,KOSPI,24600,24600,23700,23950,5969958,-1.84,91,ACE 원자력테마딥서치
2025-02-06,두산에너빌리티,034020,KOSPI,24500,24500,23850,24000,5496725,0.21,91,ACE 원자력테마딥서치
2025-02-07,두산에너빌리티,034020,KOSPI,23250,23650,22700,23200,8864252,-3.33,91,ACE 원자력테마딥서치
2025-02-10,두산에너빌리티,034020,KOSPI,23600,23800,22900,23000,5482455,-0.86,91,ACE 원자력테마딥서치
2025-02-11,두산에너빌리티,034020,KOSPI,23050,23950,23050,23550,5280321,2.39,91,ACE 원자력테마딥서치
2025-02-12,두산에너빌리티,034020,KOSPI,23600,24350,23350,24250,7299965,2.97,91,ACE 원자력테마딥서치
2025-02-13,두산에너빌리티,034020,KOSPI,24500,24650,24050,24550,6884176,1.24,91,ACE 원자력테마딥서치
2025-02-14,두산에너빌리티,034020,KOSPI,24550,28250,24450,27600,55550815,12.42,91,ACE 원자력테마딥서치
2025-02-17,두산에너빌리티,034020,KOSPI,26900,28700,26150,28200,29333641,2.17,91,ACE 원자력테마딥서치
2025-02-18,두산에너빌리티,034020,KOSPI,29400,30550,29050,30300,35485391,7.45,91,ACE 원자력테마딥서치
2025-02-19,두산에너빌리티,034020,KOSPI,30900,30900,29500,29850,17987673,-1.49,91,ACE 원자력테마딥서치
2025-02-20,두산에너빌리티,034020,KOSPI,29400,29800,28100,28650,17575818,-4.02,91,ACE 원자력테마딥서치
2025-02-21,두산에너빌리티,034020,KOSPI,28750,29450,28300,28950,10117896,1.05,91,ACE 원자력테마딥서치
2025-02-24,두산에너빌리티,034020,KOSPI,28250,28750,27500,28100,9711056,-2.94,91,ACE 원자력테마딥서치
2025-02-25,두산에너빌리티,034020,KOSPI,27700,28600,27400,28250,8160438,0.53,91,ACE 원자력테마딥서치
2025-02-26,두산에너빌리티,034020,KOSPI,28000,28200,27200,27600,7857812,-2.3,91,ACE 원자력테마딥서치
2025-02-27,두산에너빌리티,034020,KOSPI,28000,28200,26900,27050,6824895,-1.99,91,ACE 원자력테마딥서치
2025-02-28,두산에너빌리티,034020,KOSPI,26500,26900,25250,25400,13565445,-6.1,91,ACE 원자력테마딥서치
2025-03-04,두산에너빌리티,034020,KOSPI,24750,25850,24700,25500,9094716,0.39,91,ACE 원자력테마딥서치
2025-03-05,두산에너빌리티,034020,KOSPI,26550,27200,25650,26900,13199012,5.49,91,ACE 원자력테마딥서치
2025-03-06,두산에너빌리티,034020,KOSPI,27000,27400,26325,26500,7474904,-1.49,91,ACE 원자력테마딥서치
2025-03-07,두산에너빌리티,034020,KOSPI,25850,26700,25350,26350,7395091,-0.57,91,ACE 원자력테마딥서치
2025-03-10,두산에너빌리티,034020,KOSPI,26300,26600,25650,26250,6310178,-0.38,91,ACE 원자력테마딥서치
2025-03-11,두산에너빌리티,034020,KOSPI,25150,25700,24650,25550,8281822,-2.67,91,ACE 원자력테마딥서치
2025-03-12,두산에너빌리티,034020,KOSPI,26050,26950,25800,26250,9482846,2.74,91,ACE 원자력테마딥서치
2025-03-13,두산에너빌리티,034020,KOSPI,26350,27150,25850,25850,9559895,-1.52,91,ACE 원자력테마딥서치
2025-03-14,두산에너빌리티,034020,KOSPI,26400,27100,26000,26750,11307695,3.48,91,ACE 원자력테마딥서치
2025-03-17,두산에너빌리티,034020,KOSPI,27100,27100,25550,25600,12152675,-4.3,91,ACE 원자력테마딥서치
2025-03-18,두산에너빌리티,034020,KOSPI,25300,26200,24750,25800,9464041,0.78,91,ACE 원자력테마딥서치
