날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,SBS,034120,KOSPI,24600,25450,24300,24900,254705,0.0,71,TIGER 방송통신
2025-01-21,SBS,034120,KOSPI,24800,25000,23900,24000,234586,-3.61,71,TIGER 방송통신
2025-01-22,SBS,034120,KOSPI,24850,25200,22600,22600,573863,-5.83,71,TIGER 방송통신
2025-01-23,SBS,034120,KOSPI,22900,23000,20800,21450,381356,-5.09,71,TIGER 방송통신
2025-01-24,SBS,034120,KOSPI,21600,21950,20750,21000,268785,-2.1,71,TIGER 방송통신
2025-01-31,SBS,034120,KOSPI,21000,21550,20300,20650,211806,-1.67,71,TIGER 방송통신
2025-02-03,SBS,034120,KOSPI,20150,20800,19980,19990,193296,-3.2,71,TIGER 방송통신
2025-02-04,SBS,034120,KOSPI,21300,22300,20850,22000,347222,10.06,71,TIGER 방송통신
2025-02-05,SBS,034120,KOSPI,22250,23750,22000,23200,405990,5.45,71,TIGER 방송통신
2025-02-06,SBS,034120,KOSPI,23300,23750,22800,23100,124601,-0.43,71,TIGER 방송통신
2025-02-07,SBS,034120,KOSPI,23000,25200,22250,23950,371907,3.68,71,TIGER 방송통신
2025-02-10,SBS,034120,KOSPI,23800,24700,23800,23950,184931,0.0,71,TIGER 방송통신
2025-02-11,SBS,034120,KOSPI,24200,24700,23600,23650,114333,-1.25,71,TIGER 방송통신
2025-02-12,SBS,034120,KOSPI,23800,24300,23250,24150,135208,2.11,71,TIGER 방송통신
2025-02-13,SBS,034120,KOSPI,24000,24350,23850,23850,65326,-1.24,71,TIGER 방송통신
2025-02-14,SBS,034120,KOSPI,23950,24400,23850,24000,70533,0.63,71,TIGER 방송통신
2025-02-17,SBS,034120,KOSPI,24000,24250,23550,23700,90408,-1.25,71,TIGER 방송통신
2025-02-18,SBS,034120,KOSPI,23800,23900,22300,22450,274319,-5.27,71,TIGER 방송통신
2025-02-19,SBS,034120,KOSPI,22550,22750,21900,22700,144748,1.11,71,TIGER 방송통신
2025-02-20,SBS,034120,KOSPI,24000,24600,22400,22900,403933,0.88,71,TIGER 방송통신
2025-02-21,SBS,034120,KOSPI,23450,23550,22800,23100,117219,0.87,71,TIGER 방송통신
2025-02-24,SBS,034120,KOSPI,22850,22900,22100,22400,126553,-3.03,71,TIGER 방송통신
2025-02-25,SBS,034120,KOSPI,22150,22550,22100,22350,52861,-0.22,71,TIGER 방송통신
2025-02-26,SBS,034120,KOSPI,22150,22300,21750,21800,123213,-2.46,71,TIGER 방송통신
2025-02-27,SBS,034120,KOSPI,21950,22600,21700,22300,149193,2.29,71,TIGER 방송통신
2025-02-28,SBS,034120,KOSPI,22050,23150,21900,22200,138468,-0.45,71,TIGER 방송통신
2025-03-04,SBS,034120,KOSPI,22000,22950,21800,22350,96511,0.68,71,TIGER 방송통신
2025-03-05,SBS,034120,KOSPI,22300,22450,21900,22100,92953,-1.12,71,TIGER 방송통신
2025-03-06,SBS,034120,KOSPI,22100,22100,21550,21900,99326,-0.9,71,TIGER 방송통신
2025-03-07,SBS,034120,KOSPI,21750,21950,21400,21600,82041,-1.37,71,TIGER 방송통신
2025-03-10,SBS,034120,KOSPI,21600,21600,20200,21250,132779,-1.62,71,TIGER 방송통신
2025-03-11,SBS,034120,KOSPI,20700,21450,20500,21400,59145,0.71,71,TIGER 방송통신
2025-03-12,SBS,034120,KOSPI,21400,21750,21250,21700,52182,1.4,71,TIGER 방송통신
2025-03-13,SBS,034120,KOSPI,21900,21900,21200,21200,64945,-2.3,71,TIGER 방송통신
2025-03-14,SBS,034120,KOSPI,21200,21400,20750,21000,55079,-0.94,71,TIGER 방송통신
2025-03-17,SBS,034120,KOSPI,21050,21250,20800,20850,38675,-0.71,71,TIGER 방송통신
2025-03-18,SBS,034120,KOSPI,21000,21050,20500,20600,86777,-1.2,71,TIGER 방송통신
2025-03-19,SBS,034120,KOSPI,20500,20550,19950,20000,175684,-2.91,71,TIGER 방송통신
2025-03-20,SBS,034120,KOSPI,20050,20250,19440,19490,136112,-2.55,71,TIGER 방송통신
2025-03-21,SBS,034120,KOSPI,19400,19580,19010,19280,107808,-1.08,71,TIGER 방송통신
