날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,SK,034730,KOSPI,147100,149500,146200,147000,69781,0.0,27,TIGER 200 에너지화학
2025-01-21,SK,034730,KOSPI,147200,147500,143700,144500,68249,-1.7,27,TIGER 200 에너지화학
2025-01-22,SK,034730,KOSPI,145900,146800,143800,145800,63903,0.9,27,TIGER 200 에너지화학
2025-01-23,SK,034730,KOSPI,146400,148400,144300,147700,121518,1.3,27,TIGER 200 에너지화학
2025-01-24,SK,034730,KOSPI,147800,149400,146500,148500,73043,0.54,27,TIGER 200 에너지화학
2025-01-31,SK,034730,KOSPI,145900,149000,143900,148100,139123,-0.27,27,TIGER 200 에너지화학
2025-02-03,SK,034730,KOSPI,144400,145200,137900,138800,158059,-6.28,27,TIGER 200 에너지화학
2025-02-04,SK,034730,KOSPI,140500,142000,138900,139900,94213,0.79,27,TIGER 200 에너지화학
2025-02-05,SK,034730,KOSPI,140500,142400,140100,140700,74228,0.57,27,TIGER 200 에너지화학
2025-02-06,SK,034730,KOSPI,141800,144400,140700,144400,82395,2.63,27,TIGER 200 에너지화학
2025-02-07,SK,034730,KOSPI,143000,146400,143000,144300,65155,-0.07,27,TIGER 200 에너지화학
2025-02-10,SK,034730,KOSPI,143600,143600,140900,141300,76487,-2.08,27,TIGER 200 에너지화학
2025-02-11,SK,034730,KOSPI,141300,144100,141000,143600,82162,1.63,27,TIGER 200 에너지화학
2025-02-12,SK,034730,KOSPI,144300,144300,141900,142700,64386,-0.63,27,TIGER 200 에너지화학
2025-02-13,SK,034730,KOSPI,142400,145900,141500,145600,132466,2.03,27,TIGER 200 에너지화학
2025-02-14,SK,034730,KOSPI,145600,148700,145000,147600,88984,1.37,27,TIGER 200 에너지화학
2025-02-17,SK,034730,KOSPI,148600,150000,146900,149200,56870,1.08,27,TIGER 200 에너지화학
2025-02-18,SK,034730,KOSPI,148100,149500,147000,149300,69451,0.07,27,TIGER 200 에너지화학
2025-02-19,SK,034730,KOSPI,148400,153500,148300,149300,152242,0.0,27,TIGER 200 에너지화학
2025-02-20,SK,034730,KOSPI,148300,151200,147300,148900,62060,-0.27,27,TIGER 200 에너지화학
2025-02-21,SK,034730,KOSPI,149300,149400,147400,148100,53658,-0.54,27,TIGER 200 에너지화학
2025-02-24,SK,034730,KOSPI,145500,148700,145500,148600,60110,0.34,27,TIGER 200 에너지화학
2025-02-25,SK,034730,KOSPI,148800,151500,147900,150000,99328,0.94,27,TIGER 200 에너지화학
2025-02-26,SK,034730,KOSPI,149600,151800,148100,149700,72394,-0.2,27,TIGER 200 에너지화학
2025-02-27,SK,034730,KOSPI,149700,150500,147700,149500,70396,-0.13,27,TIGER 200 에너지화학
2025-02-28,SK,034730,KOSPI,147700,148200,141500,143800,218614,-3.81,27,TIGER 200 에너지화학
2025-03-04,SK,034730,KOSPI,142100,143500,139100,139400,103392,-3.06,27,TIGER 200 에너지화학
2025-03-05,SK,034730,KOSPI,140400,142000,139200,140400,78953,0.72,27,TIGER 200 에너지화학
2025-03-06,SK,034730,KOSPI,140900,142100,139900,141700,82038,0.93,27,TIGER 200 에너지화학
2025-03-07,SK,034730,KOSPI,141000,141400,139200,139300,101753,-1.69,27,TIGER 200 에너지화학
2025-03-10,SK,034730,KOSPI,139000,140800,139000,140200,96816,0.65,27,TIGER 200 에너지화학
2025-03-11,SK,034730,KOSPI,137300,138500,135600,137000,118290,-2.28,27,TIGER 200 에너지화학
2025-03-12,SK,034730,KOSPI,137100,138000,136300,137000,145307,0.0,27,TIGER 200 에너지화학
2025-03-13,SK,034730,KOSPI,137100,140300,136700,137100,200931,0.07,27,TIGER 200 에너지화학
2025-03-14,SK,034730,KOSPI,137000,137700,136400,137100,91730,0.0,27,TIGER 200 에너지화학
2025-03-17,SK,034730,KOSPI,138100,138700,137100,138200,84352,0.8,27,TIGER 200 에너지화학
2025-03-18,SK,034730,KOSPI,137900,139400,137300,137400,74702,-0.58,27,TIGER 200 에너지화학
