날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,강원랜드,035250,KOSPI,16840,16850,16640,16660,200057,0.0,54,TIGER 여행레저
2025-01-21,강원랜드,035250,KOSPI,16720,17000,16720,16850,409654,1.14,54,TIGER 여행레저
2025-01-22,강원랜드,035250,KOSPI,16960,17010,16750,16760,349924,-0.53,54,TIGER 여행레저
2025-01-23,강원랜드,035250,KOSPI,16930,16940,16560,16570,433696,-1.13,54,TIGER 여행레저
2025-01-24,강원랜드,035250,KOSPI,16720,16800,16580,16580,389789,0.06,54,TIGER 여행레저
2025-01-31,강원랜드,035250,KOSPI,16780,16880,16630,16780,382960,1.21,54,TIGER 여행레저
2025-02-03,강원랜드,035250,KOSPI,16610,16610,16290,16300,717677,-2.86,54,TIGER 여행레저
2025-02-04,강원랜드,035250,KOSPI,16370,16480,16290,16300,452431,0.0,54,TIGER 여행레저
2025-02-05,강원랜드,035250,KOSPI,16380,16500,16340,16370,243771,0.43,54,TIGER 여행레저
2025-02-06,강원랜드,035250,KOSPI,16400,16410,16120,16140,650089,-1.41,54,TIGER 여행레저
2025-02-07,강원랜드,035250,KOSPI,16140,16170,15950,15970,558377,-1.05,54,TIGER 여행레저
2025-02-10,강원랜드,035250,KOSPI,16020,16030,15910,15910,367261,-0.38,54,TIGER 여행레저
2025-02-11,강원랜드,035250,KOSPI,15950,16090,15920,15970,301601,0.38,54,TIGER 여행레저
2025-02-12,강원랜드,035250,KOSPI,16090,16240,16010,16020,227581,0.31,54,TIGER 여행레저
2025-02-13,강원랜드,035250,KOSPI,16050,16100,15890,15920,827759,-0.62,54,TIGER 여행레저
2025-02-14,강원랜드,035250,KOSPI,15940,16180,15940,16130,400561,1.32,54,TIGER 여행레저
2025-02-17,강원랜드,035250,KOSPI,16200,16230,16120,16200,239893,0.43,54,TIGER 여행레저
2025-02-18,강원랜드,035250,KOSPI,16150,16200,16050,16130,370906,-0.43,54,TIGER 여행레저
2025-02-19,강원랜드,035250,KOSPI,16100,16220,16080,16220,380688,0.56,54,TIGER 여행레저
2025-02-20,강원랜드,035250,KOSPI,16220,16390,16200,16330,429370,0.68,54,TIGER 여행레저
2025-02-21,강원랜드,035250,KOSPI,16340,16540,16330,16460,360412,0.8,54,TIGER 여행레저
2025-02-24,강원랜드,035250,KOSPI,16400,16450,16320,16380,283951,-0.49,54,TIGER 여행레저
2025-02-25,강원랜드,035250,KOSPI,16320,16400,16220,16330,338105,-0.31,54,TIGER 여행레저
2025-02-26,강원랜드,035250,KOSPI,16260,16420,16260,16400,314572,0.43,54,TIGER 여행레저
2025-02-27,강원랜드,035250,KOSPI,16390,16410,16280,16410,343026,0.06,54,TIGER 여행레저
2025-02-28,강원랜드,035250,KOSPI,16340,16370,15990,16060,696678,-2.13,54,TIGER 여행레저
2025-03-04,강원랜드,035250,KOSPI,16060,16100,15910,15940,498802,-0.75,54,TIGER 여행레저
2025-03-05,강원랜드,035250,KOSPI,16010,16130,15940,16000,367709,0.38,54,TIGER 여행레저
2025-03-06,강원랜드,035250,KOSPI,16090,16150,16000,16150,351188,0.94,54,TIGER 여행레저
2025-03-07,강원랜드,035250,KOSPI,16130,16300,16030,16150,426249,0.0,54,TIGER 여행레저
2025-03-10,강원랜드,035250,KOSPI,16530,17000,16510,16970,1385258,5.08,54,TIGER 여행레저
2025-03-11,강원랜드,035250,KOSPI,16680,16880,16670,16790,617183,-1.06,54,TIGER 여행레저
2025-03-12,강원랜드,035250,KOSPI,16890,17060,16790,16920,511044,0.77,54,TIGER 여행레저
2025-03-13,강원랜드,035250,KOSPI,16950,16990,16570,16640,1310670,-1.65,54,TIGER 여행레저
2025-03-14,강원랜드,035250,KOSPI,16640,16810,16600,16780,345001,0.84,54,TIGER 여행레저
2025-03-17,강원랜드,035250,KOSPI,16900,16900,16770,16900,427102,0.72,54,TIGER 여행레저
2025-03-18,강원랜드,035250,KOSPI,16900,17010,16880,16930,336587,0.18,54,TIGER 여행레저
