날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,NAVER,035420,KOSPI,209000,209500,204500,205000,398841,0.0,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-01-21,NAVER,035420,KOSPI,205000,208000,203000,204500,357682,-0.24,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-01-22,NAVER,035420,KOSPI,207000,211500,204000,204000,555170,-0.24,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-01-23,NAVER,035420,KOSPI,206000,207500,204000,204500,487301,0.25,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-01-24,NAVER,035420,KOSPI,205500,209000,203500,204000,419464,-0.24,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-01-31,NAVER,035420,KOSPI,208500,218500,208500,216500,1964710,6.13,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-03,NAVER,035420,KOSPI,217500,219500,213500,217000,1410072,0.23,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-04,NAVER,035420,KOSPI,220000,224000,217000,218500,1432688,0.69,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-05,NAVER,035420,KOSPI,222500,232000,219000,229000,2336982,4.81,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-06,NAVER,035420,KOSPI,229500,232000,223500,232000,1718369,1.31,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-07,NAVER,035420,KOSPI,235500,235500,223000,225500,1908836,-2.8,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-10,NAVER,035420,KOSPI,229500,232000,227000,227500,1234703,0.89,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-11,NAVER,035420,KOSPI,227500,231500,225500,228500,808905,0.44,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-12,NAVER,035420,KOSPI,230000,230500,222500,225000,945298,-1.53,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-13,NAVER,035420,KOSPI,225000,226000,218000,220000,1028493,-2.22,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-14,NAVER,035420,KOSPI,222000,224500,220000,221000,574538,0.45,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-17,NAVER,035420,KOSPI,221500,224000,219500,221000,615576,0.0,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-18,NAVER,035420,KOSPI,221500,223000,218000,222500,630070,0.68,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-19,NAVER,035420,KOSPI,222500,224000,220000,222000,569222,-0.22,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-20,NAVER,035420,KOSPI,221000,225500,218500,221500,614258,-0.23,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-21,NAVER,035420,KOSPI,222500,228000,222000,226500,821558,2.26,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-24,NAVER,035420,KOSPI,224000,228000,224000,228000,526842,0.66,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-25,NAVER,035420,KOSPI,226000,230000,224500,228500,622624,0.22,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-26,NAVER,035420,KOSPI,228500,232000,227500,231500,708250,1.31,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-27,NAVER,035420,KOSPI,230500,230500,218000,219000,1125911,-5.4,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-02-28,NAVER,035420,KOSPI,214500,217000,206500,207000,1660981,-5.48,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-04,NAVER,035420,KOSPI,205000,210000,204500,205500,673266,-0.72,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-05,NAVER,035420,KOSPI,210500,212000,205500,207500,761832,0.97,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-06,NAVER,035420,KOSPI,208500,220000,207500,219000,998317,5.54,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-07,NAVER,035420,KOSPI,216000,216500,213000,213000,630434,-2.74,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-10,NAVER,035420,KOSPI,211500,217000,210500,215000,542653,0.94,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-11,NAVER,035420,KOSPI,205500,214500,205000,212500,586599,-1.16,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-12,NAVER,035420,KOSPI,212500,215500,211000,214000,409913,0.71,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-13,NAVER,035420,KOSPI,217500,219500,213000,216000,622944,0.93,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-14,NAVER,035420,KOSPI,215500,216500,208000,208000,519114,-3.7,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-17,NAVER,035420,KOSPI,210000,211000,207500,211000,481843,1.44,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
2025-03-18,NAVER,035420,KOSPI,211000,214000,208000,209000,669726,-0.95,64,"KODEX K-로봇액티브,TIGER 소프트웨어,TIGER 인터넷TOP10"
